region,temperature,risk,PC,ECPC,AP
AUT,1.600000,0.330000,395.456613,-587.632956,212.511237
AUT,1.600000,0.500000,524.660295,-478.698174,263.176784
AUT,2.000000,0.330000,1036.418172,-47.222606,567.384978
AUT,2.000000,0.500000,1276.567925,155.253518,700.311273
BEL,1.600000,0.330000,512.448590,-1869.165002,389.563453
BEL,1.600000,0.500000,679.875921,-1721.369228,499.982032
BEL,2.000000,0.330000,1343.032368,-1135.970658,1044.569153
BEL,2.000000,0.500000,1654.228081,-861.263949,1290.866716
BGR,1.600000,0.330000,307.859376,-705.846111,238.136235
BGR,1.600000,0.500000,408.443269,-642.576145,297.087035
BGR,2.000000,0.330000,806.842121,-391.972583,537.331969
BGR,2.000000,0.500000,993.796520,-274.373252,642.378282
CAZ,1.600000,0.330000,3044.193459,-23667.630491,4050.060864
CAZ,1.600000,0.500000,4038.793102,-22709.172079,5240.330378
CAZ,2.000000,0.330000,7978.264411,-18912.851178,10142.625630
CAZ,2.000000,0.500000,9826.918057,-17131.372922,12141.032332
CHA,1.600000,0.330000,63082.605567,-37504.068478,99917.273639
CHA,1.600000,0.500000,83692.970141,-23552.372031,127133.684661
CHA,2.000000,0.330000,165327.767039,31708.363499,222111.829269
CHA,2.000000,0.500000,203636.071145,57640.259483,260440.085226
CYP,1.600000,0.330000,55.088240,12.692326,37.278997
CYP,1.600000,0.500000,73.086683,29.340846,45.668782
CYP,2.000000,0.330000,144.376023,95.283325,75.308748
CYP,2.000000,0.500000,177.829572,126.227783,87.207595
CZE,1.600000,0.330000,469.440789,-1970.554048,449.214335
CZE,1.600000,0.500000,622.816601,-1851.603003,576.893020
CZE,2.000000,0.330000,1230.316927,-1380.454404,1155.339020
CZE,2.000000,0.500000,1515.395205,-1159.361138,1420.311785
DEU,1.600000,0.330000,3690.461460,-14561.609759,2374.336448
DEU,1.600000,0.500000,4896.209945,-13613.312313,2814.227896
DEU,2.000000,0.330000,9672.012546,-9857.237586,6314.657197
DEU,2.000000,0.500000,11913.126695,-8094.645427,7885.197572
DNK,1.600000,0.330000,258.149811,-675.041475,103.729205
DNK,1.600000,0.500000,342.492581,-600.119100,129.555829
DNK,2.000000,0.330000,676.562602,-303.361959,279.749592
DNK,2.000000,0.500000,833.329771,-164.104397,344.279933
ESP,1.600000,0.330000,2098.384466,-1306.570073,1127.723723
ESP,1.600000,0.500000,2783.969160,-729.023633,1415.678505
ESP,2.000000,0.330000,5499.475093,1558.557752,2521.001118
ESP,2.000000,0.500000,6773.765359,2632.038261,2979.302481
EST,1.600000,0.330000,59.022749,-375.209945,58.709443
EST,1.600000,0.500000,78.306676,-361.125836,72.185905
