item,from,to,set
VMVDemFinSubFuelSubsec,VMVDemFinSubFuelSubsec-1,V02GapFinalDem,DSBS $(not TRANSE(DSBS))
VMVDemFinSubFuelSubsec,imActv,V02GapFinalDem,DSBS $(not TRANSE(DSBS))
VMVDemFinSubFuelSubsec,VMVPriceFuelAvgSub,V02GapFinalDem,DSBS $(not TRANSE(DSBS))
VMVPriceFuelAvgSub,V08PriceFuelSepCarbonWght,VMVDemFinSubFuelSubsec,DSBS
V08PriceFuelSepCarbonWght,VMVPriceFuelSubsecCarVal,VMVPriceFuelAvgSub,
VMVPriceFuelSubsecCarVal,VMVPriceFuelSubsecCarVal-1,V08PriceFuelSepCarbonWght,"SBS $( not (ELCEF(EF) or HEATPUMP(EF) or ALTEF(EF))) $(not sameas(""NUC"",EF)))"
VMVPriceFuelSubsecCarVal,VMVPriceElecIndResConsu,,SBS $(ELCEF(EF) or HEATPUMP(EF))
VMVPriceElecIndResConsu,VMVPriceFuelSubsecCarVal-1,VMVPriceFuelSubsecCarVal,SBS $(ELCEF(EF) or HEATPUMP(EF))
VMVPriceElecIndResConsu,VMVCostPowGenAvgLng,VMVPriceFuelSubsecCarVal,SBS $(ELCEF(EF) or HEATPUMP(EF))
VMVCostPowGenAvgLng,VMVProdElec,VMVPriceElecIndResConsu,
VMVCostPowGenAvgLng,V04ProdElecCHP,VMVPriceElecIndResConsu,
VMVCostPowGenAvgLng,V04CostPowGenLngTechNoCp,VMVPriceElecIndResConsu,
VMVCostPowGenAvgLng,V04DemElecTot,VMVPriceElecIndResConsu,
VMVCostPowGenAvgLng,VMVCostElcAvgProdCHP,VMVPriceElecIndResConsu,
VMVProdElec,V04ProdElecReqTot,VMVCostPowGenAvgLng,
VMVProdElec,V04ProdElecReqCHP,VMVCostPowGenAvgLng,
VMVProdElec,V04ScalFacPlaDisp,VMVCostPowGenAvgLng,
VMVProdElec,V04SortPlantDispatch,VMVCostPowGenAvgLng,
