OLD NAMES,NEW NAMES,SETS,SECTOR
QCurrRenPot            ,QPotRenCurr            ,PGRENEF,Power Generation
" VCurrRenPot(runCy,PGRENEF,YTIME)"," VPotRenCurr(runCy,PGRENEF,YTIME)",PGRENEF,Power Generation
QChpElecPlants           ,QCapElecCHP            ,CHP,Power Generation
" VElecCapChpPla(runCy,CHP,YTIME)"," VCapElecCHP(runCy,CHP,YTIME)",CHP,Power Generation
QLambda              ,QLambda              ,,Power Generation
" VLoadCurveConstr(runCy,YTIME)"," VLambda(runCy,YTIME)",,Power Generation
QElecDem              ,QDemElecTot            ,,Power Generation
" VElecDem(runCy,YTIME)"," VDemElecTot(runCy,YTIME)",,Power Generation
QEstBaseLoad            ,QBsldEst              ,,Power Generation
" VEstBaseLoad(runCy,YTIME)"," VBsldEst(runCy,YTIME)",,Power Generation
QLoadFacDom            ,QLoadFacDom            ,,Power Generation
" VLoadFacDom(runCy,YTIME)"," VLoadFacDom(runCy,YTIME)",,Power Generation
QElecPeakLoad           ,QPeakLoad             ,,Power Generation
" VElecPeakLoad(runCy,YTIME)"," VPeakLoad(runCy,YTIME)",,Power Generation
QBslMaxmLoad            ,QBaseLoadMax            ,,Power Generation
" VBslMaxmLoad(runCy,YTIME)"," VBaseLoadMax(runCy,YTIME)",,Power Generation
QElecBaseLoad           ,QBaseLoad             ,,Power Generation
" VCorrBaseLoad(runCy,YTIME)"," VBaseLoad(runCy,YTIME)",,Power Generation
QTotReqElecProd          ,QProdElecReqTot          ,,Power Generation
" VTotReqElecProd(runCy,YTIME)"," VProdElecReqTot(runCy,YTIME)",,Power Generation
QTotEstElecGenCap         ,QCapElecTotEst           ,,Power Generation
" VTotElecGenCapEst(runCy,YTIME)"," VCapElecTotEst(runCy,YTIME)",,Power Generation
QTotElecGenCap           ,QCapElecTot            ,,Power Generation
" VTotElecGenCap(runCy,YTIME) "," VCapElecTot(runCy,YTIME) ",,Power Generation
QHourProdCostInv          ,QCostHourProdInvDec        ,PGALL,Power Generation
" VHourProdCostTech(runCy,PGALL,HOUR,YTIME)"," VCostHourProdInvDec(runCy,PGALL,HOUR,YTIME)",PGALL,Power Generation
QHourProdCostInvDec        ,QCostHourProdInvDecNoCCS      ,PGALL$NOCCS(PGALL),Power Generation
" VHourProdCostTechNoCCS(runCy,PGALL,HOUR,YTIME)"," VCostHourProdInvDecNoCCS(runCy,PGALL,HOUR,YTIME)",PGALL$NOCCS(PGALL),Power Generation
QGammaInCcsDecTree         ,QSensCCS              ,,Power Generation
" VSensCcs(runCy,YTIME)"," VSensCCS(runCy,YTIME)",,Power Generation
qHourProdCostInvDecisionsAfterCCS ,qCostHourProdInvCCS        ,PGALL$(CCS(PGALL) or NOCCS(PGALL)),Power Generation
" vHourProdCostTechAfterCCS(runCy,PGALL,HOUR,YTIME) "," vCostHourProdInvCCS(runCy,PGALL,HOUR,YTIME) ",PGALL$(CCS(PGALL) or NOCCS(PGALL)),Power Generation
QProdCostInvDecis         ,QCostProdSpecTech         ,PGALL$(CCS(PGALL) or NOCCS(PGALL)),Power Generation
" VProdCostTechnology(runCy,PGALL,YTIME)"," VCostProdSpecTech(runCy,PGALL,YTIME)",PGALL$(CCS(PGALL) or NOCCS(PGALL)),Power Generation
QShrcap              ,QShareNewTechCCS          ,PGALL$CCS(PGALL),Power Generation
" VPowerPlaShrNewEq(runCy,PGALL,YTIME)"," VShareNewTechCCS(runCy,PGALL,YTIME)",PGALL$CCS(PGALL),Power Generation
QShrcapNoCcs            ,QShareNewTechNoCCS         ,PGALL$NOCCS(PGALL),Power Generation
" VPowerPlantNewEq(runCy,PGALL,YTIME)"," VShareNewTechNoCCS(runCy,PGALL,YTIME)",PGALL$NOCCS(PGALL),Power Generation
QVarCostTech            ,QCostVarTech            ,PGALL,Power Generation
" VVarCostTech(runCy,PGALL,YTIME)"," VCostVarTech(runCy,PGALL,YTIME)",PGALL,Power Generation
QVarCostTechNotPGSCRN       ,QCostVarTechNotPGSCRN       ,PGALL$(not PGSCRN(PGALL)),Power Generation
" VVarCostTechNotPGSCRN(runCy,PGALL,YTIME)"," VCostVarTechNotPGSCRN(runCy,PGALL,YTIME)",PGALL$(not PGSCRN(PGALL)),Power Generation
QProdCostTechPreReplac       ,QCostProdTeCHPreReplac       ,PGALL,Power Generation
