Full Country Name,ISO3 Code,Region Code,Full Region Name
Afghanistan,AFG,RAS,Rest of Asia
Aland Islands,ALA,RWO,Rest of world
Albania,ALB,REU,Rest of Europe 2
Algeria,DZA,REP,Rest of energy producing countries
American Samoa,ASM,RAS,Rest of Asia
Andorra,AND,REU,Rest of Europe 2
Angola,AGO,RAF,Rest of Africa
Anguilla,AIA,RLA,Rest of Patin America
Antarctica,ATA,RLA,Rest of Latin America
Antigua and Barbuda,ATG,RLA,Rest of Latin America
Argentina,ARG,ARG,Argentina
Armenia,ARM,RWO,Rest of world
Aruba,ABW,RLA,Rest of Latin America
Australia,AUS,OCE,Oceania
Austria,AUT,AUT,Austria
Azerbaijan,AZE,REP,Rest of energy producing countries
Bahamas,BHS,RLA,Rest of Latin America
Bahrain,BHR,RAF,Rest of Africa
Bangladesh,BGD,RAS,Rest of Asia
Barbados,BRB,RLA,Rest of Latin America
Belarus,BLR,REU,Rest of Europe 2
Belgium,BEL,BEL,Belgium
Belize,BLZ,RLA,Rest of Latin America
Benin,BEN,RAF,Rest of Africa
Bermuda,BMU,RLA,Rest of Latin America
Bhutan,BTN,RAS,Rest of Asia
Bolivia; Plurinational State of,BOL,RLA,Rest of Latin America
Bonaire; Sint Eustatius and Saba,BES,RLA,Rest of Latin America
Bosnia and Herzegovina,BIH,REU,Rest of Europe 2
Botswana,BWA,RAF,Rest of Africa
Bouvet Island,BVT,RLA,Rest of Latin America
Brazil,BRA,BRA,Brazil
British Indian Ocean Territory,IOT,RAS,Rest of Asia
Brunei Darussalam,BRN,RAS,Rest of Asia
Bulgaria,BGR,BGR,Bulgaria
Burkina Faso,BFA,RAF,Rest of Africa
Burundi,BDI,RAF,Rest of Africa
Cambodia,KHM,RAS,Rest of Asia
Cameroon,CMR,RAF,Rest of Africa
Canada,CAN,CAN,Canada
Cape Verde,CPV,RAF,Rest of Africa
Cayman Islands,CYM,RLA,Rest of Latin America
Central African Republic,CAF,RAF,Rest of Africa
Chad,TCD,RAF,Rest of Africa
Chile,CHL,RLA,Rest of Latin America
China,CHN,CHA,China
Christmas Island,CXR,RAS,Rest of Asia
Cocos (Keeling) Islands,CCK,RAS,Rest of Asia
Colombia,COL,RLA,Rest of Latin America
Comoros,COM,RAF,Rest of Africa
Congo,COG,RAF,Rest of Africa
Congo; the Democratic Republic of the,COD,RAF,Rest of Africa
Cook Islands,COK,RAS,Rest of Asia
Costa Rica,CRI,RLA,Rest of Latin America
Cote d Ivoire,CIV,RAF,Rest of Africa
