dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
*RAS,STE1CL,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475,2.475
*RAS,STE1CH,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472,2.1472
*RAS,STE1CD,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276
*RAS,STE1CR,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003
*RAS,STE1CG,1.0216800000000001,1.0003950000000001,0.9720150000000001,0.957825,0.9507300000000001,0.9471825,0.94540875,0.944521875,0.9440784375,0.94385671875,0.97911,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.943635,0.9081600000000001
*RAS,STE1CB,2.684,2.5498000000000003,2.4491500000000004,2.3988250000000004,2.3736625000000005,2.3610812500000007,2.3547906250000006,2.3516453125000005,2.3500726562500005,2.3492863281250003,2.4156000000000004,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.3485000000000005,2.2814
RAS,STE1AL,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
RAS,STE1AH,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814,2.2814
RAS,STE1AD,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276,1.276
RAS,STE1AR,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003,1.7820000000000003
