dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,PC,GSL,19.37832889,19.28164121,19.23329737,19.20912545,19.19703949,19.19099651,19.18797502,19.18646428,19.1857089,19.18533122,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353,19.18495353
RAS,PC,LPG,20.89177849,20.79509081,20.74674697,20.72257505,20.71048909,20.70444611,20.70142462,20.69991388,20.6991585,20.69878082,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313,20.69840313
RAS,PC,GDO,22.69299913,22.41223905,22.27185901,22.20166899,22.16657398,22.14902647,22.14025272,22.13586584,22.1336724,22.13257568,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897,22.13147897
RAS,PC,NGS,21.45932209,21.36263441,21.31429057,21.29011865,21.27803269,21.27198971,21.26896822,21.26745748,21.2667021,21.26632442,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673,21.26594673
RAS,PC,ELC,31.84722705,27.94238146,25.54347133,24.12077261,23.29780142,22.83050491,22.56895119,22.42422161,22.34488045,22.30172169,24.03753586,23.14456121,22.69807389,22.47483023,22.3632084,22.30739748,22.27949202,22.26553929,22.25856293,22.25507475,22.25333066,22.25245861,22.25202259,22.25180458,22.25169557,22.25164107,22.25161382,22.25160019,22.25159338,22.25158997,22.25158827,22.25158742,22.25158699,22.25158678,22.25158667,22.25158662,22.25158659,22.25158658,22.25158657,22.25158657,22.25158657,22.25158657,22.25158657,22.25158657,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656,22.25158656
RAS,PC,ETH,20.34724533,20.24572327,20.19496224,20.16958172,20.15689147,20.15054634,20.14737377,20.14578749,20.14499435,20.14459778,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121
RAS,PC,MET,20.34724533,20.24572327,20.19496224,20.16958172,20.15689147,20.15054634,20.14737377,20.14578749,20.14499435,20.14459778,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121,20.14420121
RAS,PC,H2F,51.06698387,43.45591425,37.79241428,34.03168171,31.68682414,30.28214971,29.46368967,28.99639824,28.73372182,28.58786826,35.84484463,32.12891431,30.27094915,29.34196657,28.87747528,28.64522963,28.52910681,28.4710454,28.44201469,28.42749934,28.42024166,28.41661283,28.41479841,28.4138912,28.41343759,28.41321079,28.41309739,28.41304069,28.41301234,28.41299816,28.41299107,28.41298753,28.41298576,28.41298487,28.41298443,28.41298421,28.4129841,28.41298404,28.41298401,28.412984,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399,28.41298399
RAS,PC,CHEVGSL,22.0533318,21.51572538,21.24692218,21.11252057,21.04531977,21.01171937,20.99491917,20.98651907,20.98231902,20.98021899,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897,20.97811897
RAS,PC,CHEVGDO,24.85658224,24.31855156,24.04953622,23.91502855,23.84777472,23.8141478,23.79733434,23.78892761,23.78472425,23.78262257,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089,23.78052089
