dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
*RAS,STE1CL,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
*RAS,STE1CH,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928
*RAS,STE1CD,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667
*RAS,STE1CR,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006
*RAS,STE1CG,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663
*RAS,STE1CB,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893
RAS,STE1AL,5.197463236374963,5.10807818875155,4.650937989413906,4.422367889745084,4.308082839910673,4.250940314993468,4.222369052534865,4.208083421305563,4.200940605690913,4.197369197883587,5.0186931411281375,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,3.368902439024386
RAS,STE1AH,4.430604652251638,4.3574019701852045,4.270260969723919,4.226690469493278,4.204905219377956,4.194012594320295,4.188566281791465,4.18584312552705,4.184481547394842,4.183800758328738,4.28419928811877,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.0820406504065
RAS,STE1AD,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667
RAS,STE1AR,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006
