dummy,dummy,IC,FC,VOM,LFT,AVAIL,BOILEFF
*STE1CL,2010,2.475,40.625,3.75,35,0.85,0.699300699
*STE1CH,2010,2.1472,31.232,2.928,35,0.85,0.746268657
*STE1CD,2010,1.276,20.01,2.670416667,15,0.29,0.81300813
*STE1CR,2010,1.782,27.945,3.729375,30,0.85,0.78125
*STE1CG,2010,1.02168,19.35,2.982867858,25,0.8,0.819672131
*STE1CB,2010,2.684,57.91009352,4.345041032,30,0.85,0.746268657
STE1AL,2010,2.75,58.46208168,5.197463236,35,0.85,0.699300699
STE1AH,2010,2.2814,50.6090221,4.430604652,35,0.85,0.746268657
STE1AD,2010,1.276,20.01,2.670416667,15,0.29,0.81300813
STE1AR,2010,1.782,27.945,3.729375,30,0.8,0.78125
STE1AG,2010,1.16358,19.35,2.564612285,25,0.8,0.819672131
STE1AH2F,2010,1.16358,19.35,2.564612285,15,0.8,0.829672131
STE1AB,2010,3.2208,57.096,6.296381325,30,0.85,0.746268657
*STE1CL,2020,2.475,40.625,3.75,,,0.699300699
*STE1CH,2020,2.1472,31.232,2.928,,,0.746268657
*STE1CD,2020,1.276,20.01,2.670416667,,,0.81300813
*STE1CR,2020,1.782,27.945,3.729375,,,0.78125
*STE1CG,2020,0.97911,19.35,2.982867858,,,0.819672131
*STE1CB,2020,2.4156,48.8915427,4.345041032,,,0.746268657
STE1AL,2020,2.75,52.97020958,5.018693141,,,0.699300699
STE1AH,2020,2.2814,43.5126237,4.284199288,,,0.746268657
STE1AD,2020,1.276,20.01,2.670416667,,,0.81300813
STE1AR,2020,1.782,27.945,3.729375,,,0.78125
STE1AG,2020,1.09263,19.35,2.448614281,,,0.819672131
STE1AH2F,2020,1.09263,19.35,2.448614281,,,0.829672131
STE1AB,2020,3.0866,54.717,6.051371181,,,0.746268657
*STE1CL,2050,2.475,40.625,3.75,,,0.699300699
*STE1CH,2050,2.1472,31.232,2.928,,,0.746268657
*STE1CD,2050,1.276,20.01,2.670416667,,,0.81300813
*STE1CR,2050,1.782,27.945,3.729375,,,0.78125
*STE1CG,2050,0.90816,19.35,2.982867858,,,0.819672131
*STE1CB,2050,2.2814,46.81735604,4.345041032,,,0.746268657
STE1AL,2050,2.75,48.5080635,3.368902439,,,0.699300699
STE1AH,2050,2.2814,37.7468,4.08204065,,,0.746268657
STE1AD,2050,1.276,20.01,2.670416667,,,0.81300813
STE1AR,2050,1.782,27.945,3.729375,,,0.78125
STE1AG,2050,1.06425,19.35,2.232120817,,,0.819672131
STE1AH2F,2050,1.06425,19.35,2.232120817,,,0.829672131
STE1AB,2050,2.8853,51.1485,5.617083333,,,0.746268657
