dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CRO,0.3308,0.3484,0.3638,0.4548,0.4186,0.3834,0.4651,0.4652,0.2708,0.4983,0.4497,0.4363,0.861,0.3783,0.3504,0.3731,0.4693,0.4052,0.5044,0.4858,0.521,0.5107,0.5013,0.367,0.5262,0.6347,0.5293,0.4673,0.539375,0.54266875,0.519660938,0.517251172,0.529738965,0.527329956,0.523495258,0.524453838,0.526254504,0.525383389,0.524896747,0.525247119,0.52544544,0.525243174,0.52520812,0.525285963,0.525295674,0.525258233,0.525261998,0.525275467,0.525272843,0.525267135,0.525269361,0.525271201,0.525270135,0.525269458,0.525270039,0.525270208,0.52526996,0.525269916,0.525270031,0.525270029,0.525269984,0.52526999,0.525270008,0.525270003,0.525269996,0.525269999,0.525270002,0.52527,0.525269999,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527,0.52527
RAS,GSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,RFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224,0.0566,0.0248,0.0177,0.0153,0.0286,0.0216,0.0208,0.021575,0.02314375,0.021779688,0.021824609,0.022080762,0.022207202,0.021973065,0.02202141,0.02207061,0.022068072,0.022033289,0.022048345,0.022055079,0.022051196,0.022046977,0.022050399,0.022050913,0.022049871,0.02204954,0.022050181,0.022050126,0.02204993,0.022049944,0.022050045,0.022050011,0.022049983,0.022049996,0.022050009,0.02205,0.022049997,0.02205,0.022050001,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205,0.02205
RAS,OLQ,0.332,0.332,0.3343,0.3286,0.3102,0.3205,0.3033,0.324,0.3044,0.3309,0.324,0.3377,0.3263,0.332,0.2918,0.2964,0.3021,0.3159,0.3538,0.355,0.3619,0.3492,0.3136,0.3401,0.4171,0.4021,0.4032,0.3781,0.400125,0.39588125,0.394326563,0.392108203,0.395610254,0.394481567,0.394131647,0.394082918,0.394576596,0.394318182,0.394277336,0.394313758,0.394371468,0.394320186,0.394320687,0.394331525,0.394335966,0.394327091,0.394328817,0.39433085,0.394330681,0.39432936,0.394329927,0.394330204,0.394330043,0.394329884,0.394330015,0.394330036,0.394329994,0.394329982,0.394330007,0.394330005,0.394329997,0.394329998,0.394330002,0.39433,0.394329999,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433,0.39433
RAS,NGS,5.0005,5.2683,5.1427,5.3694,4.956,5.3039,5.1786,5.7782,5.3735,5.5512,5.4161,5.3898,5.4085,6.3115,5.0628,5.4769,5.6488,5.2523,4.5946,4.8805,4.3499,4.359,4.9189,5.0999,5.7861,4.8127,4.505,4.1019,4.801425,4.55525625,4.490895313,4.487369141,4.583736426,4.529314282,4.52282879,4.53081216,4.541672915,4.531157037,4.531617725,4.533814959,4.534565659,4.532788845,4.533196797,4.533591565,4.533535716,4.533278231,4.533400577,4.533451522,4.533416512,4.533386711,4.533413831,4.533417144,4.533408549,4.533406559,4.533411521,4.533410943,4.533409393,4.533409604,4.533410365,4.533410076,4.533409859,4.533409976,4.533410069,4.533409995,4.533409975,4.533410004,4.533410011,4.533409996,4.533409996,4.533410002,4.533410001,4.533409999,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341,4.53341
RAS,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
