dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RWO,NGS,25.098703030303,21.289903030303,18.3724310606061,18.636871969697,20.7416143939394,21.2702136363636,19.4119401515151,22.3086477272727,26.3991431818182,26.6308068181818,24.4716378787879,26.3891371212121
CHA,NGS,1.5767,1.4699,1.6966,1.2958,1.8434,1.8381,2.0047,2.2887,2.0148,1.8162,2.2003,2.4752
EGY,NGS,0,0,0,0,0,0,0,0,0,0,0,0
IND,NGS,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NGS,0,0,0,0,0,0,0,0,0,0,0,0
USA,NGS,0,0,0,0,0,0,0,0,0,0,0,0
RWO,OGS,25.099103030303,21.290403030303,18.3744310606061,18.637071969697,20.7416143939394,21.2710136363636,19.4119401515151,22.3086477272727,26.3995431818182,26.6308068181818,24.4716378787879,26.3891371212121
CHA,OGS,1.5767,1.4699,1.6966,1.2958,1.8434,1.8381,2.0047,2.2887,2.0148,1.8162,2.2003,2.4752
EGY,OGS,0,0,0,0,0,0,0,0,0,0,0,0
IND,OGS,0,0,0,0,0,0,0,0,0,0,0,0
MAR,OGS,0,0,0,0,0,0,0,0,0,0,0,0
USA,OGS,0,0,0,0,0,0,0,0,0,0,0,0
RWO,ELC,92.5798954545454,93.8928568181819,95.5784295454545,97.3312424242424,98.1571424242425,99.3687545454546,101.521153787879,102.665984090909,103.14380530303,102.847778030303,100.254829545455,103.871731818182
CHA,ELC,22.0869,23.226,24.907,27.0101,26.659,25.6956,26.3412,27.4841,28.8247,28.6389,27.8079,30.5272
EGY,ELC,1.2829,1.1462,1.5742,2.0833,1.7823,2.3484,3.1249,2.7521,2.7998,2.8916,2.7254,2.1086
IND,ELC,16.7302,17.9224,18.2519,19.1373,19.636,20.7144,21.431,22.3062,23.2344,23.2803,21.7151,23.4514
MAR,ELC,0.2303,0.23,0.2764,0.4227,0.4469,0.4743,0.4862,0.5217,0.5258,0.5743,0.5823,0.6144
USA,ELC,22.4459,22.3194,23.1128,21.9577,21.9577,21.9577,20.1934,19.4458,18.1577,20.9936,17.0253,19.3051
RWO,STE,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06
CHA,STE,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
EGY,STE,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,STE,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,STE,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,STE,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
