dummy,dummy,IC,FC,VC,LFT,USC
SE,LGN,0.323544,10.88,0,20,0.5
SE,HCL,0.323544,10.88,0,20,0.7
SE,GSL,0.323544,10.88,0,20,0.7
SE,GDO,0.24888,6.8,0,20,0.85
SE,RFO,0.24888,10.88,0,20,0.8
SE,LPG,0.24888,10.88,0,20,0.8
SE,KRS,0.24888,10.88,0,20,0.8
SE,OLQ,0.24888,10.88,0,20,0.8
SE,NGS,0.2244,6.8,0,20,0.88
SE,OGS,0.2244,10.88,0,20,0.8
*SE,STE1CL,6.8,136,136,35,0.23
*SE,STE1CH,6.8,136,136,35,0.25
*SE,STE1CD,6.8,136,136,35,0.3
*SE,STE1CR,6.8,136,136,35,0.3
*SE,STE1CG,6.8,136,136,35,0.38
*SE,STE1CB,6.8,136,136,35,0.2
SE,STE1AL,2.431328667,40.19555556,41.11627907,30,0.375
SE,STE1AH,2.431328667,40.19555556,41.11627907,30,0.375
SE,STE1AD,1.821863556,54.264,11.38604651,30,0.3475
SE,STE1AR,1.821863556,54.264,11.38604651,30,0.3475
SE,STE1AG,1.183759111,30.14666667,31.62790698,25,0.485
SE,STE1AB,2.333352,67.1517,18.97674419,30,0.3975
SE,STE1AH2F,2.680886838,80.42660513,0,20,0.465
SE,STE2LGN,0.296442222,1.004888889,2.372093023,20,0.816666667
SE,STE2OSL,0.296442222,1.004888889,2.372093023,20,0.816666667
SE,STE2GDO,0.296442222,1.004888889,2.372093023,20,0.856666667
SE,STE2RFO,0.296442222,1.004888889,2.372093023,20,0.856666667
SE,STE2OLQ,0.296442222,1.004888889,2.372093023,20,0.856666667
SE,STE2NGS,0.296442222,1.004888889,2.372093023,20,0.896666667
SE,STE2OGS,0.296442222,1.004888889,2.372093023,20,0.896666667
SE,STE2BMS,0.296442222,1.004888889,2.372093023,20,0.816666667
SE,SOL,0.86224,1.36,0,20,0.97
SE,HEATPUMP,0.432,12.92544,0,20,1.848
SE,BMSWAS,0.323544,10.88,0,20,0.5
SE,ELC,0.3,8.976,0,12,0.97
HOU,LGN,0.323544,10.88,0,20,0.5
HOU,HCL,0.323544,10.88,0,20,0.7
HOU,GSL,0.323544,10.88,0,20,0.7
HOU,GDO,0.24888,6.8,0,20,0.85
HOU,RFO,0.24888,10.88,0,20,0.8
HOU,LPG,0.24888,10.88,0,20,0.8
HOU,KRS,0.24888,10.88,0,20,0.8
HOU,OLQ,0.24888,10.88,0,20,0.8
HOU,NGS,0.2244,6.8,0,20,0.88
HOU,OGS,0.2244,10.88,0,20,0.8
*HOU,STE1CL,6.8,136,136,35,0.23
*HOU,STE1CH,6.8,136,136,35,0.25
*HOU,STE1CD,6.8,136,136,35,0.3
*HOU,STE1CR,6.8,136,136,35,0.3
*HOU,STE1CG,6.8,136,136,35,0.38
*HOU,STE1CB,6.8,136,136,35,0.2
HOU,STE1AL,2.431328667,40.19555556,41.11627907,30,0.375
HOU,STE1AH,2.431328667,40.19555556,41.11627907,30,0.375
HOU,STE1AD,1.821863556,54.264,11.38604651,30,0.3475
HOU,STE1AR,1.821863556,54.264,11.38604651,30,0.3475
HOU,STE1AG,1.183759111,30.14666667,31.62790698,25,0.485
HOU,STE1AB,2.333352,67.1517,18.97674419,30,0.3975
HOU,STE1AH2F,2.680886838,80.42660513,0,20,0.465
HOU,STE2LGN,0.296442222,1.004888889,2.372093023,20,0.816666667
HOU,STE2OSL,0.296442222,1.004888889,2.372093023,20,0.816666667
HOU,STE2GDO,0.296442222,1.004888889,2.372093023,20,0.856666667
HOU,STE2RFO,0.296442222,1.004888889,2.372093023,20,0.856666667
HOU,STE2OLQ,0.296442222,1.004888889,2.372093023,20,0.856666667
HOU,STE2NGS,0.296442222,1.004888889,2.372093023,20,0.896666667
HOU,STE2OGS,0.296442222,1.004888889,2.372093023,20,0.896666667
HOU,STE2BMS,0.296442222,1.004888889,2.372093023,20,0.816666667
HOU,SOL,0.86224,1.36,0,20,0.97
HOU,HEATPUMP,0.432,12.92544,0,20,1.848
HOU,BMSWAS,0.323544,10.88,0,20,0.5
HOU,ELC,0.3,8.976,0,12,0.97
AG,LGN,0.323544,10.88,0,20,0.5
AG,HCL,0.323544,10.88,0,20,0.7
AG,GSL,0.323544,10.88,0,20,0.7
AG,GDO,0.24888,6.8,0,20,0.85
AG,RFO,0.24888,10.88,0,20,0.8
AG,LPG,0.24888,10.88,0,20,0.8
AG,KRS,0.24888,10.88,0,20,0.8
AG,OLQ,0.24888,10.88,0,20,0.8
AG,NGS,0.2244,6.8,0,20,0.88
AG,OGS,0.2244,10.88,0,20,0.8
*AG,STE1CL,6.8,136,136,35,0.23
*AG,STE1CH,6.8,136,136,35,0.25
*AG,STE1CD,6.8,136,136,35,0.3
*AG,STE1CR,6.8,136,136,35,0.3
*AG,STE1CG,6.8,136,136,35,0.38
*AG,STE1CB,6.8,136,136,35,0.2
AG,STE1AL,2.431328667,40.19555556,41.11627907,30,0.375
AG,STE1AH,2.431328667,40.19555556,41.11627907,30,0.375
AG,STE1AD,1.821863556,54.264,11.38604651,30,0.3475
AG,STE1AR,1.821863556,54.264,11.38604651,30,0.3475
AG,STE1AG,1.183759111,30.14666667,31.62790698,25,0.485
AG,STE1AB,2.333352,67.1517,18.97674419,30,0.3975
AG,STE1AH2F,2.680886838,80.42660513,0,20,0.465
AG,STE2LGN,0.296442222,1.004888889,2.372093023,20,0.816666667
AG,STE2OSL,0.296442222,1.004888889,2.372093023,20,0.816666667
AG,STE2GDO,0.296442222,1.004888889,2.372093023,20,0.856666667
AG,STE2RFO,0.296442222,1.004888889,2.372093023,20,0.856666667
AG,STE2OLQ,0.296442222,1.004888889,2.372093023,20,0.856666667
AG,STE2NGS,0.296442222,1.004888889,2.372093023,20,0.896666667
AG,STE2OGS,0.296442222,1.004888889,2.372093023,20,0.896666667
AG,STE2BMS,0.296442222,1.004888889,2.372093023,20,0.816666667
AG,SOL,0.86224,1.36,0,20,0.97
AG,HEATPUMP,0.432,12.92544,0,20,1.848
AG,BMSWAS,0.323544,10.88,0,20,0.5
AG,ELC,0.3,8.976,0,12,0.97
