dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
RAS,STE1AB,0,0,0,0,0,0,0,0,0
RWO,STE1AB,0,0,0,0,0,0,0,0,0
REU,STE1AB,0,0,0,0,0,0,0,0,0
REP,STE1AB,0,0,0,0,0,0,0,0,0
RAF,STE1AB,0,0,0,0,0,0,0,0,0
RLA,STE1AB,0,0,0,0,0,0,0,0,0
ARG,STE1AB,0,0,0,0,0,0,0,0,0
OCE,STE1AB,0,0,0,0,0,0,0,0,0
AUT,STE1AB,0,0,0,0,0,0,0,0,0
BEL,STE1AB,0,0,0,0,0,0,0,0,0
BRA,STE1AB,0,0,0,0,0,0,0,0,0
BGR,STE1AB,0,0,0,0,0,0,0,0,0
CAN,STE1AB,0,0,0,0,0,0,0,0,0
CHA,STE1AB,0,0,0,0,0,0,0,0,0
HRV,STE1AB,0,0,0,0,0,0,0,0,0
CYP,STE1AB,0,0,0,0,0,0,0,0,0
CZE,STE1AB,0,0,0,0,0,0,0,0,0
DNK,STE1AB,0,0,0,0,0,0,0,0,0
EGY,STE1AB,0,0,0,0,0,0,0,0,0
EST,STE1AB,0,0,0,0,0,0,0,0,0
FIN,STE1AB,0,0,0,0,0,0,0,0,0
FRA,STE1AB,0,0,0,0,0,0,0,0,0
DEU,STE1AB,0,0,0,0,0,0,0,0,0
GRC,STE1AB,0,0,0,0,0,0,0,0,0
HUN,STE1AB,0,0,0,0,0,0,0,0,0
NSI,STE1AB,0,0,0,0,0,0,0,0,0
IND,STE1AB,0,0,0,0,0,0,0,0,0
IDN,STE1AB,0,0,0,0,0,0,0,0,0
IRN,STE1AB,0,0,0,0,0,0,0,0,0
IRL,STE1AB,0,0,0,0,0,0,0,0,0
ISR,STE1AB,0,0,0,0,0,0,0,0,0
ITA,STE1AB,0,0,0,0,0,0,0,0,0
JPN,STE1AB,0,0,0,0,0,0,0,0,0
KOR,STE1AB,0,0,0,0,0,0,0,0,0
LVA,STE1AB,0,0,0,0,0,0,0,0,0
LTU,STE1AB,0,0,0,0,0,0,0,0,0
LUX,STE1AB,0,0,0,0,0,0,0,0,0
MLT,STE1AB,0,0,0,0,0,0,0,0,0
MEX,STE1AB,0,0,0,0,0,0,0,0,0
MAR,STE1AB,0,0,0,0,0,0,0,0,0
NLD,STE1AB,0,0,0,0,0,0,0,0,0
NGA,STE1AB,0,0,0,0,0,0,0,0,0
POL,STE1AB,0,0,0,0,0,0,0,0,0
PRT,STE1AB,0,0,0,0,0,0,0,0,0
ROU,STE1AB,0,0,0,0,0,0,0,0,0
RUS,STE1AB,0,0,0,0,0,0,0,0,0
SAU,STE1AB,0,0,0,0,0,0,0,0,0
SVK,STE1AB,0,0,0,0,0,0,0,0,0
SVN,STE1AB,0,0,0,0,0,0,0,0,0
