dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
RWO,ATHHCL,4220179.92668943,4431503.98249968,4617132.28149778,4707338.64844908,4640308.85898419,4583696.08715876,4541875.16661227,4664074.48532195,4780606.47385249
CHA,ATHHCL,3197032,3659065,3716167,4025284,4171462,4031610,4151223,4472113.097,4634875.559
EGY,ATHHCL,11277.25,11625.25,12567.25,10957.75,11513,11568.5,10286.75,9893.5,10464.9235
IND,ATHHCL,582594,605637,625902,675867,735083,860034,921352,945024.322,959387.826
MAR,ATHHCL,10866,11679,11856,12141,15955,17113,16985,17545,21260.694
USA,ATHHCL,1019425,920700,780993,806840,845169,689901,625715,573491.332,526593.466
RWO,ATHRFO,829764.139516628,944403.32681593,1020992.21177848,966795.545835223,932684.585259464,898882.005737615,834808.496733544,760629.406984927,686420.810943914
CHA,ATHRFO,14856,12130,10937,10013,9517,9679,10367,9868.982,10861.873
EGY,ATHRFO,19782,17283,24959,29616,34043,38237,29424,22045.786,22799.783
IND,ATHRFO,21082,12909,15179,16397,16774,12664,10947,9668.306,6645.264
MAR,ATHRFO,5716,6578,6919,4630,2570,2211,2882,3493.8,1249.441
USA,ATHRFO,48086,39524,33070,36858,39877,38837,34759,32411.571,42927.742
RWO,ATHNGS,3611477.0500761,3637962.64176941,3641135.72606981,3701660.16162304,3790662.72789131,3908415.33514608,4103479.28296569,4245416.17776249,4297562.26302247
CHA,ATHNGS,78063,95935,98776,106623,114505,145346,170488,183099.311,207028.784
EGY,ATHNGS,112264,112078,110514,109179,110952,118819,132193,147334.214,147640.217
IND,ATHNGS,107389,109988,82713,60734,59212,66405,70459,74269.464,68192.696
MAR,ATHNGS,2963,4051,6201,5823,5600,5784,5909,5836,5197.833
USA,ATHNGS,1017869,1045254,1264552,1158454,1161333,1372570,1418100,1337703.377,1519217.51
RWO,ATHBMSWAS,241493.880664161,256391.556504857,279864.713065212,300681.233971777,320308.379223066,341194.597654237,377210.333330727,386737.660777252,412909.422079152
CHA,ATHBMSWAS,33863,38269,40967,49303,57356,63729,76113,92815.796,103206.343
EGY,ATHBMSWAS,0,0,0,0,0,0,0,0,0
IND,ATHBMSWAS,17086,19990,21661,23795,27642,26455,26223,33450.224,32031.626
MAR,ATHBMSWAS,0,0,0,0,0,0,0,0,0
USA,ATHBMSWAS,72606,74309,75856,78171,81769,80466,79147,78518.277,77745.878
RWO,PGLHYD,764.03734180791,761.758491525424,738.559895480226,1748.08197666421,1862.25871935642,1878.3213491771,1910.7388491771,1919.24452984525,1870.14580692704
CHA,PGLHYD,7,7,7,8,8,8,11,10.684,10.684
EGY,PGLHYD,0,0,0,0,0,0,0,0,0
IND,PGLHYD,3.10902153954802,3.09983262711864,3.00628990112994,7.08097571235569,7.54136580385655,7.60613447248833,7.74894697248833,7.78196987840825,7.58399115696389
MAR,PGLHYD,0,0,0,0,0,0,0,0,0
USA,PGLHYD,0,0,0,0,0,0,0,0,0
