dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
RWO,BASELOAD,748.06465015254,766.674144952449,783.959714831812,797.472429902599,815.911963890279,829.163328046573,845.739103353351,859.890816800265,877.579518224173
CHA,BASELOAD,67.1132200213381,74.1299848102663,79.5593312109869,89.3870661521982,98.2525829669698,108.660198034675,118.326316243934,126.990979579771,136.919158416786
EGY,BASELOAD,6.6982048848,7.2389604528,7.74041292,7.857047736,8.357315832,9.010007352,9.896161608,11.487660408,14.1610372416
IND,BASELOAD,18.8349422727613,19.5378631081639,20.3558075757869,21.2140451657982,22.5284553485698,23.6460139882752,25.5490746151337,28.2949677207074,28.9757315159217
MAR,BASELOAD,1.066754772,1.066867416,1.144173384,1.1623927464,1.1855974104,1.1944158264,1.1982875616,1.2300853536,1.28736
USA,BASELOAD,291.55175314056,294.28842849984,294.48430032384,292.37644689912,292.78017393768,289.00364673384,288.23176820664,288.54333668304,288.45331803504
RWO,CHP_Cap,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06
CHA,CHP_Cap,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
EGY,CHP_Cap,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,CHP_Cap,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,CHP_Cap,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,CHP_Cap,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
RWO,CHP_ELC,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06
CHA,CHP_ELC,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
EGY,CHP_ELC,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,CHP_ELC,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,CHP_ELC,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,CHP_ELC,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
RWO,Non_CHP_Per,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06,2.43999999999999e-06
CHA,Non_CHP_Per,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
EGY,Non_CHP_Per,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
IND,Non_CHP_Per,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
MAR,Non_CHP_Per,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
USA,Non_CHP_Per,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08
RWO,PEAKLOAD,2091.90338409547,2143.94335836815,2192.28108174444,2230.06831628244,2281.63300864172,2318.68939610339,2365.04223532816,2404.61637807681,2454.08142680138
CHA,PEAKLOAD,187.676789768843,207.298615241237,222.481351261149,249.963831521807,274.755545209647,303.859614190926,330.890146096012,355.120188981464,382.883552619647
