dummy,dummy,LFT
IS,LGN,25
IS,HCL,25
IS,GDO,25
IS,RFO,25
IS,LPG,25
IS,KRS,25
IS,OLQ,25
IS,NGS,25
IS,OGS,25
*IS,STE1CL,30
*IS,STE1CH,30
*IS,STE1CD,30
*IS,STE1CR,30
*IS,STE1CG,30
*IS,STE1CB,30
IS,STE1AL,25
IS,STE1AH,25
IS,STE1AD,25
IS,STE1AR,25
IS,STE1AG,20
IS,STE1AB,25
IS,STE1AH2F,25
IS,HEATPUMP,25
IS,BMSWAS,25
IS,ELC,25
NF,LGN,30
NF,HCL,30
NF,GDO,30
NF,RFO,30
NF,LPG,30
NF,KRS,30
NF,OLQ,30
NF,NGS,30
NF,OGS,30
*NF,STE1CL,30
*NF,STE1CH,30
*NF,STE1CD,30
*NF,STE1CR,30
*NF,STE1CG,30
*NF,STE1CB,30
NF,STE1AL,25
NF,STE1AH,25
NF,STE1AD,25
NF,STE1AR,25
NF,STE1AG,20
NF,STE1AB,25
NF,STE1AH2F,30
NF,HEATPUMP,30
NF,BMSWAS,30
NF,ELC,30
CH,LGN,25
CH,HCL,25
CH,GDO,25
CH,RFO,25
CH,LPG,25
CH,KRS,25
CH,OLQ,25
CH,NGS,25
CH,OGS,25
*CH,STE1CL,30
*CH,STE1CH,30
*CH,STE1CD,30
*CH,STE1CR,30
*CH,STE1CG,30
*CH,STE1CB,30
CH,STE1AL,25
CH,STE1AH,25
CH,STE1AD,25
CH,STE1AR,25
CH,STE1AG,20
CH,STE1AB,25
CH,STE1AH2F,25
CH,HEATPUMP,25
CH,BMSWAS,25
CH,ELC,25
BM,LGN,30
BM,HCL,30
BM,GDO,30
BM,RFO,30
BM,LPG,30
BM,KRS,30
BM,OLQ,30
BM,NGS,30
BM,OGS,30
*BM,STE1CL,30
*BM,STE1CH,30
*BM,STE1CD,30
*BM,STE1CR,30
*BM,STE1CG,30
*BM,STE1CB,30
BM,STE1AL,25
BM,STE1AH,25
BM,STE1AD,25
BM,STE1AR,25
BM,STE1AG,20
BM,STE1AB,25
BM,STE1AH2F,30
BM,HEATPUMP,30
BM,BMSWAS,30
BM,ELC,30
PP,LGN,25
PP,HCL,25
PP,GDO,25
PP,RFO,25
PP,LPG,25
PP,KRS,25
PP,OLQ,25
PP,NGS,25
PP,OGS,25
*PP,STE1CL,30
*PP,STE1CH,30
*PP,STE1CD,30
*PP,STE1CR,30
*PP,STE1CG,30
*PP,STE1CB,30
PP,STE1AL,25
PP,STE1AH,25
PP,STE1AD,25
PP,STE1AR,25
PP,STE1AG,20
PP,STE1AB,25
PP,STE1AH2F,25
PP,HEATPUMP,25
PP,BMSWAS,25
PP,ELC,25
FD,LGN,25
FD,HCL,25
FD,GDO,25
FD,RFO,25
FD,LPG,25
FD,KRS,25
FD,OLQ,25
FD,NGS,25
FD,OGS,25
*FD,STE1CL,30
*FD,STE1CH,30
*FD,STE1CD,30
*FD,STE1CR,30
*FD,STE1CG,30
*FD,STE1CB,30
FD,STE1AL,25
FD,STE1AH,25
FD,STE1AD,25
FD,STE1AR,25
FD,STE1AG,20
FD,STE1AB,25
FD,STE1AH2F,25
FD,HEATPUMP,25
FD,BMSWAS,25
FD,ELC,25
TX,LGN,20
TX,HCL,20
TX,GDO,20
TX,RFO,20
TX,LPG,20
TX,KRS,20
TX,OLQ,20
TX,NGS,20
TX,OGS,20
*TX,STE1CL,30
*TX,STE1CH,30
*TX,STE1CD,30
*TX,STE1CR,30
*TX,STE1CG,30
*TX,STE1CB,30
TX,STE1AL,25
TX,STE1AH,25
TX,STE1AD,25
TX,STE1AR,25
TX,STE1AG,20
TX,STE1AB,25
TX,STE1AH2F,20
TX,HEATPUMP,20
TX,BMSWAS,20
TX,ELC,20
EN,LGN,25
EN,HCL,25
EN,GDO,25
EN,RFO,25
EN,LPG,25
EN,KRS,25
EN,OLQ,25
EN,NGS,25
EN,OGS,25
*EN,STE1CL,30
*EN,STE1CH,30
*EN,STE1CD,30
*EN,STE1CR,30
*EN,STE1CG,30
*EN,STE1CB,30
EN,STE1AL,25
EN,STE1AH,25
EN,STE1AD,25
EN,STE1AR,25
EN,STE1AG,20
EN,STE1AB,25
EN,STE1AH2F,25
EN,HEATPUMP,25
EN,BMSWAS,25
EN,ELC,20
OE,LGN,25
OE,HCL,25
OE,GDO,25
OE,RFO,25
OE,LPG,25
OE,KRS,25
OE,OLQ,25
OE,NGS,25
OE,OGS,25
*OE,STE1CL,30
*OE,STE1CH,30
*OE,STE1CD,30
*OE,STE1CR,30
*OE,STE1CG,30
*OE,STE1CB,30
OE,STE1AL,25
OE,STE1AH,25
OE,STE1AD,25
OE,STE1AR,25
OE,STE1AG,20
OE,STE1AB,25
OE,STE1AH2F,25
OE,HEATPUMP,25
OE,BMSWAS,25
OE,ELC,25
OI,LGN,20
OI,HCL,20
OI,GDO,20
OI,RFO,20
OI,LPG,20
OI,KRS,20
OI,OLQ,20
OI,NGS,20
OI,OGS,20
*OI,STE1CL,30
*OI,STE1CH,30
*OI,STE1CD,30
*OI,STE1CR,30
*OI,STE1CG,30
*OI,STE1CB,30
OI,STE1AL,25
OI,STE1AH,25
OI,STE1AD,25
OI,STE1AR,25
OI,STE1AG,20
OI,STE1AB,25
OI,STE1AH2F,20
OI,HEATPUMP,20
OI,BMSWAS,20
OI,ELC,20
