dummy,dummy,IC,FC,VC,LFT,USC
IS,LGN,0.4829496,10.2,2.04,25,0.5
IS,HCL,0.3219664,6.8,1.36,25,2.325581395
IS,GDO,0.4829496,10.2,2.04,25,0.72
IS,RFO,0.4829496,10.2,2.04,25,0.72
IS,LPG,0.4829496,10.2,2.04,25,0.72
IS,KRS,0.4829496,10.2,2.04,25,0.72
IS,OLQ,0.4829496,10.2,2.04,25,0.72
IS,NGS,0.4829496,10.2,2.04,25,0.8
IS,OGS,0.4829496,10.2,2.04,25,0.8
*IS,STE1CL,6.8,136,136,30,0.23
*IS,STE1CH,6.8,136,136,30,0.25
*IS,STE1CD,6.8,136,136,30,0.3
*IS,STE1CR,6.8,136,136,30,0.3
*IS,STE1CG,6.8,136,136,30,0.38
*IS,STE1CB,6.8,136,136,30,0.2
IS,STE1AL,1.045471327,17.28408889,17.68,25,0.35
IS,STE1AH,1.045471327,17.28408889,17.68,25,0.35
IS,STE1AD,0.783401329,23.33352,4.896,25,0.34
IS,STE1AR,0.783401329,23.33352,4.896,25,0.34
IS,STE1AG,0.509016418,12.96306667,13.6,20,0.44
IS,STE1AB,1.00334136,28.875231,8.16,25,0.37
IS,STE1AH2F,1.34817131,40.44513931,0,25,0.5
IS,HEATPUMP,0.929742545,19.38816,3.1021056,25,1.848
IS,BMSWAS,0.4829496,10.2,2.04,25,0.5
IS,ELC,0.2936784,6.8,1.36,25,5.747126437
NF,LGN,3.852798998,63.036,0,30,0.5
NF,HCL,3.852798998,63.036,0,30,0.5
NF,GDO,3.210665832,63.036,0,30,0.72
NF,RFO,3.210665832,63.036,0,30,0.72
NF,LPG,3.210665832,63.036,0,30,0.72
NF,KRS,3.210665832,63.036,0,30,0.72
NF,OLQ,3.210665832,63.036,0,30,0.72
NF,NGS,2.568532666,63.036,0,30,0.8
NF,OGS,2.568532666,63.036,0,30,0.8
*NF,STE1CL,6.8,136,136,30,0.23
*NF,STE1CH,6.8,136,136,30,0.25
*NF,STE1CD,6.8,136,136,30,0.3
*NF,STE1CR,6.8,136,136,30,0.3
*NF,STE1CG,6.8,136,136,30,0.38
*NF,STE1CB,6.8,136,136,30,0.2
NF,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
NF,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
NF,STE1AD,1.821863556,54.264,11.38604651,25,0.34
NF,STE1AR,1.821863556,54.264,11.38604651,25,0.34
NF,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
NF,STE1AB,2.333352,67.1517,18.97674419,25,0.37
NF,STE1AH2F,3.135282117,94.05846352,0,30,0.5
NF,HEATPUMP,4.944768768,119.8188288,0,30,1.848
NF,BMSWAS,3.852798998,63.036,0,30,0.5
NF,ELC,3.4,63.036,0,30,0.97
CH,LGN,0.532941514,5.44,0,25,0.5
CH,HCL,0.532941514,5.44,0,25,0.5
CH,GDO,0.444117928,5.44,0,25,0.72
CH,RFO,0.444117928,5.44,0,25,0.72
CH,LPG,0.444117928,5.44,0,25,0.72
CH,KRS,0.444117928,5.44,0,25,0.72
CH,OLQ,0.444117928,5.44,0,25,0.72
CH,NGS,0.355294342,5.44,0,25,0.8
CH,OGS,0.355294342,5.44,0,25,0.8
*CH,STE1CL,6.8,136,136,30,0.23
*CH,STE1CH,6.8,136,136,30,0.25
*CH,STE1CD,6.8,136,136,30,0.3
*CH,STE1CR,6.8,136,136,30,0.3
*CH,STE1CG,6.8,136,136,30,0.38
*CH,STE1CB,6.8,136,136,30,0.2
CH,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
CH,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
CH,STE1AD,1.821863556,54.264,11.38604651,25,0.34
CH,STE1AR,1.821863556,54.264,11.38604651,25,0.34
CH,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
CH,STE1AB,2.333352,67.1517,18.97674419,25,0.37
CH,STE1AH2F,3.135282117,94.05846352,0,25,0.5
CH,HEATPUMP,0.683989108,10.340352,0,25,1.848
CH,BMSWAS,0.532941514,5.44,0,25,0.5
CH,ELC,0.476,5.44,0,25,0.97
BM,LGN,4.414771344,3.2096,0,30,0.5
BM,HCL,4.414771344,3.2096,0,30,0.5
BM,GDO,3.67897612,3.2096,0,30,0.72
BM,RFO,3.67897612,3.2096,0,30,0.72
BM,LPG,3.67897612,3.2096,0,30,0.72
BM,KRS,3.67897612,3.2096,0,30,0.72
BM,OLQ,3.67897612,3.2096,0,30,0.72
BM,NGS,2.943180896,3.2096,0,30,0.8
BM,OGS,2.943180896,3.2096,0,30,0.8
*BM,STE1CL,6.8,136,136,30,0.23
*BM,STE1CH,6.8,136,136,30,0.25
*BM,STE1CD,6.8,136,136,30,0.3
*BM,STE1CR,6.8,136,136,30,0.3
*BM,STE1CG,6.8,136,136,30,0.38
*BM,STE1CB,6.8,136,136,30,0.2
BM,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
BM,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
BM,STE1AD,1.821863556,54.264,11.38604651,25,0.34
BM,STE1AR,1.821863556,54.264,11.38604651,25,0.34
BM,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
BM,STE1AB,2.333352,67.1517,18.97674419,25,0.37
BM,STE1AH2F,3.135282117,94.05846352,0,30,0.5
BM,HEATPUMP,5.666016698,6.10080768,0,30,1.848
BM,BMSWAS,4.414771344,3.2096,0,30,0.5
BM,ELC,3.808,3.2096,0,30,0.97
PP,LGN,0.901794077,1.632,0,25,0.5
PP,HCL,0.901794077,1.632,0,25,0.5
PP,GDO,0.751495064,1.632,0,25,0.72
PP,RFO,0.751495064,1.632,0,25,0.72
PP,LPG,0.751495064,1.632,0,25,0.72
PP,KRS,0.751495064,1.632,0,25,0.72
PP,OLQ,0.751495064,1.632,0,25,0.72
PP,NGS,0.601196051,1.632,0,25,0.8
PP,OGS,0.601196051,1.632,0,25,0.8
*PP,STE1CL,6.8,136,136,30,0.23
*PP,STE1CH,6.8,136,136,30,0.25
*PP,STE1CD,6.8,136,136,30,0.3
*PP,STE1CR,6.8,136,136,30,0.3
*PP,STE1CG,6.8,136,136,30,0.38
*PP,STE1CB,6.8,136,136,30,0.2
PP,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
PP,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
PP,STE1AD,1.821863556,54.264,11.38604651,25,0.34
PP,STE1AR,1.821863556,54.264,11.38604651,25,0.34
PP,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
PP,STE1AB,2.333352,67.1517,18.97674419,25,0.37
PP,STE1AH2F,2.278894545,68.36683636,0,25,0.5
PP,HEATPUMP,1.157382772,3.1021056,0,25,1.68
PP,BMSWAS,0.901794077,1.632,0,25,0.5
PP,ELC,0.884,1.632,0,25,0.97
FD,LGN,0.630963432,0.5372,0,25,0.5
FD,HCL,0.630963432,0.5372,0,25,0.5
FD,GDO,0.420642288,0.5372,0,25,0.72
FD,RFO,0.420642288,0.5372,0,25,0.72
FD,LPG,0.420642288,0.5372,0,25,0.72
FD,KRS,0.420642288,0.5372,0,25,0.72
FD,OLQ,0.420642288,0.5372,0,25,0.72
FD,NGS,0.33651383,0.5372,0,25,0.8
FD,OGS,0.33651383,0.5372,0,25,0.8
*FD,STE1CL,6.8,136,136,30,0.23
