dummy,IC_05,IC_20,IC_50,FC_05,FC_20,FC_50,VC_05,VC_20,VC_50,EFF_05,EFF_20,EFF_50,AVAIL_05,AVAIL_20,AVAIL_50,LFT,CR
CTHLGN,1.98,1.98,1.98,32.5,32.5,32.5,3,3,3,0.34531061,0.354211217,0.38055,0.85,0.85,0.85,35,
CTHHCL,1.76,1.76,1.76,25.6,25.6,25.6,2.4,2.4,2.4,0.365403002,0.376710602,0.41085,0.85,0.85,0.85,35,
CTHRFO,1.32,1.32,1.32,20.7,20.7,20.7,2.7625,2.7625,2.7625,0.389546375,0.392067106,0.399,0.85,0.85,0.85,30,
CTHNGS,0.88,0.77,0.66,15,15,15,3.5,3.5,3.5,0.417147403,0.41972327,0.4268,0.85,0.85,0.85,25,
CTHBMSWAS,2.2,1.98,1.87,47.46728977,40.075035,38.374882,3.561509043,3.561509043,3.561509043,0.335049434,0.346183385,0.3801,0.85,0.85,0.85,30,
ATHLGN,2.2,2.2,2.2,46.76966535,42.37616767,38.8064508,4.157970589,4.014954513,2.695121951,0.34531061,0.354211217,0.38055,0.85,0.85,0.85,35,
ATHHCL,1.87,1.87,1.87,41.482805,35.666085,30.94,3.631643158,3.511638761,3.345934959,0.365403002,0.365403002,0.38,0.85,0.85,0.85,35,
ATHRFO,1.32,1.32,1.32,20.7,20.7,20.7,2.7625,2.7625,2.7625,0.389546375,0.392067106,0.399,0.8,0.8,0.8,30,
ATHNGS,0.88,0.77,0.66,15,15,15,3.5,3.5,3.5,0.417147403,0.41972327,0.4268,0.8,0.8,0.8,25,
ATHBMSWAS,2.2,1.98,1.87,47.46728977,40.075035,38.374882,3.561509043,3.561509043,3.561509043,0.317203147,0.34375969,0.44345,0.85,0.85,0.85,35,
SUPCRL,2.2,2.2,2.2,46.76966535,42.37616767,38.8064508,4.157970589,4.014954513,2.695121951,0.380450901,0.402366906,0.466075,0.85,0.85,0.85,35,
SUPCR,1.87,1.87,1.87,41.482805,35.666085,30.94,3.631643158,3.511638761,3.345934959,0.398884896,0.4214,0.48657,0.85,0.85,0.85,35,
FBCLGN,2.508,2.508,2.508,42.18,42.18,42.18,4.404064747,4.404064747,4.404064747,0.354310478,0.371925264,0.429225,0.85,0.85,0.85,35,
FBCHCL,2.09,2.09,2.09,35.15,35.15,35.15,2.833812055,2.833812055,2.833812055,0.393737241,0.409545279,0.459032,0.85,0.85,0.85,35,
IGCCLGN,2.64,2.53,2.365,46.8,44.85,41.925,5.160968299,4.960140312,4.604166667,0.411503744,0.435018244,0.5138653,0.85,0.85,0.85,30,
IGCCHCL,2.64,2.53,2.365,46.8,44.85,41.925,5.160968299,4.960140312,4.604166667,0.42716507,0.450242474,0.52664,0.85,0.85,0.85,30,
IGCCBMS,2.64,2.53,2.365,46.8,44.85,41.925,5.160968299,4.960140312,4.604166667,0.402926178,0.421360578,0.480375,0.85,0.85,0.85,30,
CCCGT,0.792,0.759,0.704,15,15,15,2.312300665,2.312300665,2.312300665,0.526763382,0.541388175,0.585,0.8,0.8,0.8,25,
ACCGT,0.902,0.847,0.825,15,15,15,1.988071539,1.898150606,1.730326215,0.539294975,0.559530936,0.622223834,0.8,0.8,0.8,25,
ACCHT,0.902,0.847,0.825,15,15,15,1.988071539,1.898150606,1.730326215,0.5,0.5,0.5,0.8,0.8,0.8,15,
CGTGDO,0.88,0.88,0.88,13.8,13.8,13.8,1.841666667,1.841666667,1.841666667,0.381244134,0.386397372,0.40095,0.29,0.29,0.29,15,
CGTNGS,1.032813783,1.012791895,1.004507299,23.48885392,19.96552583,17.61664044,0.708955102,0.708955102,0.708955102,0.386194194,0.391349815,0.4059,0.29,0.29,0.29,15,
AGTGDO,0.88,0.88,0.88,13.8,13.8,13.8,1.841666667,1.841666667,1.841666667,0.381244134,0.386397372,0.40095,0.29,0.29,0.29,15,
