dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PC,GSL,IC,19.1141080717123,19.1141080717123,19.1141080717123,19.1141080717123,19.1141080717123,19.1141080717123,19.6827511880921,20.251394304472,20.8200374208518,21.3886805372317,21.9573236536115,21.7693118131233,21.5812999726352,21.393288132147,21.2052762916589,21.0172644511707,20.8292526106826,20.6412407701945,20.4532289297063,20.2652170892182,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873,20.07720524873
GU,GSL,IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,GSL,IC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC,LPG,IC,20.6275576717123,20.6275576717123,20.6275576717123,20.6275576717123,20.6275576717123,20.6275576717123,21.1962007880921,21.764843904472,22.3334870208518,22.9021301372317,23.4707732536115,23.2827614131233,23.0947495726352,22.9067377321471,22.7187258916589,22.5307140511707,22.3427022106826,22.1546903701944,21.9666785297063,21.7786666892181,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873,21.59065484873
GU,LPG,IC,114.810128973018,114.810128973018,114.810128973018,114.810128973018,114.810128973018,114.810128973018,115.877728473793,116.945327974568,118.012927475343,119.080526976118,120.148126476893,119.696125754425,119.244125031956,118.792124309487,118.340123587019,117.88812286455,117.436122142082,116.984121419614,116.532120697145,116.080119974676,115.628119252208,115.614346794606,115.600574337005,115.586801879403,115.573029421802,115.559256964201,115.545484506599,115.531712048997,115.517939591396,115.504167133794,115.490394676193,115.47906237091,115.467730065628,115.456397760345,115.445065455062,115.433733149779,115.422400844497,115.411068539214,115.399736233931,115.388403928649,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366,115.377071623366
PC,GDO,IC,21.9142647910521,21.9142647910521,21.9142647910521,21.9142647910521,21.9142647910521,21.9142647910521,22.3912194492508,22.8681741074495,23.3451287656483,23.822083423847,24.2990380820457,24.1560173533356,24.0129966246254,23.8699758959153,23.7269551672052,23.583934438495,23.4409137097849,23.2978929810748,23.1548722523647,23.0118515236545,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444,22.8688307949444
PT,GDO,IC,8519.85777210084,8519.85777210084,8519.85777210084,8519.85777210084,8519.85777210084,8519.85777210084,8795.89984942101,9071.94192674118,9347.98400406136,9624.02608138153,9900.0681587017,9844.67861272331,9789.28906674492,9733.89952076653,9678.50997478814,9623.12042880975,9567.73088283137,9512.34133685298,9456.95179087459,9401.5622448962,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781,9346.17269891781
GU,GDO,IC,104.049009026778,104.049009026778,104.049009026778,104.049009026778,104.049009026778,104.049009026778,105.116608527553,106.184208028328,107.251807529103,108.319407029878,109.387006530653,108.935005808184,108.483005085716,108.031004363247,107.579003640779,107.12700291831,106.675002195842,106.223001473374,105.771000750905,105.319000028436,104.866999305968,104.853226848366,104.839454390765,104.825681933163,104.811909475562,104.79813701796,104.784364560359,104.770592102758,104.756819645156,104.743047187555,104.729274729953,104.71794242467,104.706610119388,104.695277814105,104.683945508822,104.672613203539,104.661280898257,104.649948592974,104.638616287691,104.627283982409,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126,104.615951677126
GT,GDO,IC,8800.7828121539,8800.7828121539,8800.7828121539,8800.7828121539,8800.7828121539,8800.7828121539,9433.80250386452,10066.8221955751,10699.8418872858,11332.8615789964,11965.881270707,11838.8619638694,11711.8426570317,11584.8233501941,11457.8040433564,11330.7847365188,11203.7654296812,11076.7461228435,10949.7268160059,10822.7075091682,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306,10695.6882023306
GN,GDO,IC,7015.484,7015.484,7015.484,7015.484,7015.484,7015.484,7512.32979185166,8009.17558370332,8506.02137555497,9002.86716740663,9499.71295925829,9393.13318245814,9286.553405658,9179.97362885785,9073.39385205771,8966.81407525756,8860.23429845741,8753.65452165727,8647.07474485712,8540.49496805698,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683,8433.91519125683
