dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,GSL,2.3315,2.3904,2.2459,2.6504,3.1062,2.7242,2.4995,2.1282,2.1796,2.5477,2.2534,2.1817,2.0747,2.0255,2.0041,2.3091,2.4824,2.247,2.9746,2.5862,2.8537,2.7478,2.4321,2.461,3.2175,2.9939,2.7959,2.7253,2.83872,2.914264,2.8536168,2.82556016,2.831492192,2.85273063,2.855532756,2.843786508,2.841820449,2.845072507,2.84778857,2.846800158,2.845053639,2.845307065,2.846004388,2.846190764,2.845871203,2.845685412,2.845811766,2.845912706,2.84589437,2.845835091,2.845827869,2.845856361,2.84586528,2.845855794,2.845848079,2.845850676,2.845855238,2.845855013,2.84585296,2.845852393,2.845853256,2.845853772,2.845853479,2.845853172,2.845853215,2.845853379,2.845853403,2.84585333,2.8458533,2.845853325,2.845853347,2.845853341,2.845853329,2.845853328,2.845853334,2.845853336,2.845853334,2.845853332,2.845853333,2.845853334,2.845853334,2.845853333,2.845853333,2.845853333,2.845853333,2.845853333,2.845853333,2.845853333,2.845853333,2.845853333,2.845853333
RAS,GDO,7.982,8.0678,8.1009,7.7958,6.7688,7.0987,6.3531,6.7461,6.41,6.6727,6.2135,6.6613,6.2507,6.3976,5.9363,5.8608,6.2031,6.6065,7.6562,7.7906,8.073,7.832,7.1019,7.2828,9.3357,9.1278,9.1961,8.829,8.75428,9.048576,8.9911512,8.96382144,8.917365728,8.935038874,8.971190648,8.955713578,8.948626054,8.945586976,8.951231226,8.954469696,8.951125506,8.950207892,8.950524259,8.951511716,8.951567814,8.950987437,8.950959824,8.95111021,8.9512274,8.951170537,8.951091082,8.95111181,8.951142208,8.951148607,8.951132849,8.951125311,8.951132157,8.951136227,8.95113503,8.951132315,8.951132208,8.951133587,8.951133873,8.951133403,8.951133077,8.95113323,8.951133434,8.951133403,8.951133309,8.951133291,8.951133334,8.951133354,8.951133338,8.951133325,8.951133328,8.951133336,8.951133336,8.951133333,8.951133332,8.951133333,8.951133334,8.951133334,8.951133333,8.951133333,8.951133333,8.951133333,8.951133333,8.951133333,8.951133333,8.951133333,8.951133333
RAS,RFO,5.5154,5.3339,5.4328,5.3022,4.8826,5.0929,4.7847,5.3349,4.8596,5.4568,5.3061,5.526,5.6008,5.8505,5.3378,4.7549,5.1275,5.2984,5.7698,5.3589,5.5202,5.6152,4.9114,5.1448,6.3316,6.3536,6.5966,6.1472,6.11476,6.308752,6.3041824,6.29429888,6.233838656,6.251166387,6.278447665,6.272386798,6.266027677,6.260373436,6.265680393,6.268583194,6.266610299,6.265455,6.265340464,6.26633387,6.266464565,6.26604084,6.265926948,6.266021338,6.266157512,6.266122241,6.266053776,6.266056363,6.266082246,6.266094427,6.26608181,6.266073724,6.266077714,6.266081984,6.266081932,6.266079433,6.266078958,6.266080004,6.266080462,6.266080158,6.266079803,6.266079877,6.266080061,6.266080072,6.266079994,6.266079961,6.266079993,6.266080016,6.266080008,6.266079995,6.266079995,6.266080001,6.266080003,6.26608,6.266079999,6.26608,6.266080001,6.26608,6.26608,6.26608,6.26608,6.26608,6.26608,6.26608,6.26608,6.26608,6.26608
RAS,LPG,0.5534,0.5817,0.5841,0.5735,0.531,0.5357,0.5381,0.531,0.5369,0.6691,0.6431,0.6714,0.5428,0.7174,0.6761,0.6514,0.5841,0.6561,0.6089,0.616,0.6714,0.6101,0.5546,0.7045,0.9487,0.8732,0.9027,0.8767,0.86116,0.892492,0.8812504,0.88286048,0.878892576,0.879331091,0.882965309,0.881059971,0.881021886,0.880654167,0.881006485,0.881341564,0.881016814,0.881008183,0.881005443,0.881075698,0.88108954,0.881039136,0.8810436,0.881050683,0.881059731,0.881056538,0.881049938,0.881052098,0.881053798,0.88105442,0.881053358,0.881052722,0.881053279,0.881053516,0.881053459,0.881053267,0.881053249,0.881053354,0.881053369,0.88105334,0.881053316,0.881053325,0.881053341,0.881053338,0.881053332,0.88105333,0.881053333,0.881053335,0.881053334,0.881053333,0.881053333,0.881053334,0.881053334,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333,0.881053333
RAS,KRS,0.114,0.0523,0.0544,0.0115,0.0126,0.0167,0.0105,0.0084,0.0094,0.0084,0.0094,0.0094,0.0094,0.0126,0.0115,0.0115,0.0094,0.0063,0.0021,0.001,0,0,0,0,0.0167,0.022,0.022,0.0178,0.0157,0.01884,0.019268,0.0187216,0.01806592,0.018119104,0.018602925,0.01855551,0.018413012,0.018351294,0.018408369,0.018466222,0.018438881,0.018415556,0.018416064,0.018429018,0.018433148,0.018426534,0.018424064,0.018425766,0.018427706,0.018427443,0.018426303,0.018426256,0.018426695,0.018426881,0.018426716,0.01842657,0.018426623,0.018426697,0.018426697,0.018426661,0.01842665,0.018426666,0.018426674,0.018426669,0.018426664,0.018426665,0.018426667,0.018426668,0.018426667,0.018426666,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667,0.018426667
RAS,OLQ,4.8652,4.9631,5.0829,4.8366,4.6979,5.1794,5.3372,6.0872,5.5898,5.9122,6.4217,6.7072,6.5681,6.4261,4.9028,5.5855,5.1686,5.6288,5.8706,8.0693,11.4766,10.4093,9.8473,9.8123,12.7249,11.9367,11.7507,11.7986,11.60464,11.963108,11.8107496,11.78555952,11.79253142,11.79131771,11.82865325,11.8017623,11.79996484,11.8028459,11.8049088,11.80762702,11.80342177,11.80375367,11.80451143,11.80484454,11.80483169,11.80427262,11.80444279,11.80458061,11.80459445,11.80454443,11.80448698,11.80452985,11.80454727,11.8045406,11.80452983,11.8045269,11.80453489,11.8045359,11.80453362,11.80453223,11.80453271,11.80453387,11.80453366,11.80453322,11.80453314,11.80453332,11.80453344,11.80453336,11.80453329,11.80453331,11.80453334,11.80453335,11.80453333,11.80453333,11.80453333,11.80453334,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333,11.80453333
MAR,GSL,0.4194,0.3766,0.4312,0.4248,0.4376,0.3916,0.4216,0.4376,0.3788,0.4184,0.4098,0.367,0.4034,0.1412,0.275,0.398,0.3991,0.3948,0.4323,0.3349,0.351,0.4441,0.4355,0.3948,0.3542,0.199,0.000001,0.000001,0.1896004,0.14856048,0.107432576,0.089119091,0.106942709,0.128331051,0.116077182,0.109580522,0.110010111,0.114188315,0.115637436,0.113098713,0.112503019,0.113087519,0.113703001,0.113605938,0.113199638,0.113219823,0.113363184,0.113418317,0.11336138,0.113312468,0.113335034,0.113358076,0.113357055,0.113344803,0.113341487,0.113347291,0.113349743,0.113348076,0.11334628,0.113346575,0.113347593,0.113347653,0.113347235,0.113347067,0.113347225,0.113347355,0.113347307,0.113347238,0.113347238,0.113347273,0.113347282,0.113347268,0.11334726,0.113347264,0.113347269,0.113347269,0.113347266,0.113347266,0.113347267,0.113347267,0.113347267,0.113347266,0.113347267,0.113347267,0.113347267,0.113347267,0.113347267,0.113347267,0.113347267,0.113347267,0.113347267
MAR,GDO,1.8471,1.8585,2.1501,1.9846,2.2411,2.088,2.1946,2.4759,2.3125,2.6258,2.4014,2.4976,2.4024,1.5875,2.3311,2.3735,2.1025,2.0643,1.9236,1.543,2.3332,2.4852,2.5659,2.3166,2.3528,1.178,0,0,1.16948,0.940056,0.6575072,0.55340864,0.664090368,0.796908442,0.72239413,0.678861756,0.683132667,0.709077473,0.718074893,0.702308184,0.698290995,0.702176842,0.705985677,0.705367318,0.702825803,0.702929327,0.703856994,0.704193024,0.703834493,0.703527928,0.703668353,0.703816158,0.703807991,0.703730985,0.703710283,0.703746754,0.703762434,0.70375169,0.703740429,0.703742318,0.703748725,0.703749119,0.703746456,0.70374541,0.703746406,0.703747223,0.703746923,0.703746484,0.703746489,0.703746705,0.703746765,0.703746673,0.703746623,0.703746651,0.703746683,0.703746679,0.703746662,0.70374666,0.703746667,0.70374667,0.703746668,0.703746665,0.703746666,0.703746667,0.703746667,0.703746667,0.703746666,0.703746667,0.703746667,0.703746667,0.703746667
MAR,RFO,1.9646,1.9463,2.0577,2.3611,2.4389,2.2382,1.6852,1.6429,1.8417,2.4082,2.2709,2.3054,1.9194,1.6775,2.2718,2.5724,2.2738,2.0155,1.7965,1.4873,1.8301,2.6329,2.2958,2.098,1.5901,0.531001,0.000001,0.000001,0.8438206,0.59298472,0.393561664,0.366073797,0.439288356,0.527145827,0.463810873,0.437976103,0.446858991,0.46301603,0.467761565,0.455884713,0.454299481,0.457564156,0.459705189,0.459043021,0.457299312,0.457582232,0.458238782,0.458373707,0.45810741,0.457920288,0.458044484,0.458136934,0.458116565,0.458065136,0.458056682,0.45808396,0.458091855,0.45808284,0.458076095,0.458078286,0.458082607,0.458082337,0.458080433,0.458079952,0.458080723,0.45808121,0.458080931,0.45808065,0.458080693,0.458080841,0.458080865,0.458080796,0.458080769,0.458080793,0.458080813,0.458080807,0.458080796,0.458080796,0.458080801,0.458080802,0.4580808,0.458080799,0.4580808,0.4580808,0.4580808,0.4580808,0.4580808,0.4580808,0.4580808,0.4580808,0.4580808
MAR,LPG,0.2632,0.2542,0.2643,0.279,0.2971,0.2655,0.2745,0.27,0.2847,0.3028,0.27,0.2632,0.2621,0.0757,0.1175,0.2305,0.2169,0.192,0.192,0.1175,0.0328,0.0474,0.131,0.1085,0.1118,0.0328,0,0,0.05062,0.039044,0.0244928,0.02283136,0.027397632,0.032877158,0.02932859,0.027385508,0.02796405,0.028990588,0.029309179,0.028595583,0.028448981,0.028661676,0.028801201,0.028763324,0.028654153,0.028665867,0.028709244,0.028718758,0.028702269,0.028690058,0.02869724,0.028703514,0.028702368,0.02869909,0.028698454,0.028700133,0.028700712,0.028700151,0.028699708,0.028699832,0.028700107,0.028700102,0.02869998,0.028699946,0.028699993,0.028700026,0.028700009,0.028699991,0.028699993,0.028700002,0.028700004,0.0287,0.028699998,0.028699999,0.028700001,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287
