dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,PCH,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PCH,HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PCH,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PCH,RFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PCH,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,PCH,OLQ,0.4623,0.4299,0.3914,0.3863,0.2223,0.2899,0.2136,0.2847,0.0956,0.4083,0.4968,0.2923,0.4558,0.4071,0.3449,0.0802,0.0802,0.1372,0.2693,0.2826,0.2049,0.1,0.0802,0.0484,0.3171,0.0269,0.0817,0.0602,0.121475,0.07256875,0.083985938,0.084557422,0.090646777,0.082939722,0.085532465,0.085919096,0.086259515,0.085162699,0.085718444,0.085764939,0.085726399,0.08559312,0.085700726,0.085696296,0.085679135,0.085667319,0.085685869,0.085682155,0.08567862,0.085678491,0.085681284,0.085680137,0.085679633,0.085679886,0.085680235,0.085679973,0.085679932,0.085680006,0.085680036,0.085679987,0.08567999,0.085680005,0.085680005,0.085679997,0.085679999,0.085680001,0.08568,0.085679999,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568,0.08568
RAS,PCH,NGS,0.8689,0.8878,1.1141,1.1393,0.97,0.8626,0.7321,1.0007,0.9592,1.316,1.2428,1.2658,1.3087,1.3082,1.1886,1.3575,1.2659,1.2479,1.1453,1.2592,1.2755,1.2563,1.752,1.5493,2.4068,3.1113,3.4028,2.7055,2.9066,3.03155,3.0116125,2.913815625,2.965894531,2.980718164,2.968010205,2.957109631,2.967933133,2.968442783,2.965373938,2.964714871,2.966616181,2.966286944,2.965747984,2.965841495,2.966123151,2.965999893,2.965928131,2.965973168,2.966006086,2.965976819,2.965971051,2.965981781,2.965983934,2.965978396,2.965978791,2.965980725,2.965980462,2.965979593,2.965979893,2.965980168,2.965980029,2.965979921,2.965980003,2.96598003,2.965979996,2.965979987,2.965980004,2.965980004,2.965979998,2.965979998,2.965980001,2.96598,2.965979999,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598,2.96598
RAS,PCH,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,NEN,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,NEN,HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
