dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
*CTHLGN,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
*CTHHCL,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
*CTHRFO,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
*CTHNGS,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
CTHBMSWAS,47.46728977,40.075035,38.374882,41.97240226,40.14077309,40.16268578,40.75862037,40.35402641,40.42511086,40.51258588,40.43057438,40.45609037,40.46641688,40.45102721,40.45784482,40.45842964,40.45576722,40.45734723,40.45718136,40.45676527,40.45709795,40.45701486,40.45695936,40.45702406,40.45699943,40.45699428,40.45700592,40.45699988,40.45700003,40.45700194,40.45700062,40.45700086,40.45700114,40.45700087,40.45700096,40.45700099,40.45700094,40.45700096,40.45700097,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096
ATHLGN,46.76966535,42.37616767,38.8064508,42.65076127,41.27779325,40.91166844,41.61340765,41.26762311,41.26423307,41.38175461,41.30453693,41.31684154,41.33437769,41.31858539,41.3232682,41.32541043,41.32242134,41.32369999,41.32384392,41.32332175,41.32362189,41.32359585,41.32351316,41.32357697,41.32356199,41.32355071,41.32356322,41.32355864,41.32355752,41.3235598,41.32355865,41.32355866,41.32355904,41.32355878,41.32355883,41.32355888,41.32355883,41.32355885,41.32355885,41.32355884,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885
ATHHCL,41.482805,35.666085,30.94,36.02963,34.211905,33.72717833,34.65623778,34.19844037,34.19395216,34.34954344,34.24731199,34.26360253,34.28681932,34.26591128,34.27211104,34.27494721,34.27098984,34.2726827,34.27287325,34.27218193,34.27257929,34.27254483,34.27243535,34.27251982,34.2725,34.27248506,34.27250163,34.27249556,34.27249408,34.27249709,34.27249558,34.27249558,34.27249608,34.27249575,34.27249581,34.27249588,34.27249581,34.27249583,34.27249584,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583
ATHRFO,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
ATHNGS,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ATHBMSWAS,47.46728977,40.075035,38.374882,41.97240226,40.14077309,40.16268578,40.75862037,40.35402641,40.42511086,40.51258588,40.43057438,40.45609037,40.46641688,40.45102721,40.45784482,40.45842964,40.45576722,40.45734723,40.45718136,40.45676527,40.45709795,40.45701486,40.45695936,40.45702406,40.45699943,40.45699428,40.45700592,40.45699988,40.45700003,40.45700194,40.45700062,40.45700086,40.45700114,40.45700087,40.45700096,40.45700099,40.45700094,40.45700096,40.45700097,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096,40.45700096
SUPCRL,46.76966535,42.37616767,38.8064508,42.65076127,41.27779325,40.91166844,41.61340765,41.26762311,41.26423307,41.38175461,41.30453693,41.31684154,41.33437769,41.31858539,41.3232682,41.32541043,41.32242134,41.32369999,41.32384392,41.32332175,41.32362189,41.32359585,41.32351316,41.32357697,41.32356199,41.32355071,41.32356322,41.32355864,41.32355752,41.3235598,41.32355865,41.32355866,41.32355904,41.32355878,41.32355883,41.32355888,41.32355883,41.32355885,41.32355885,41.32355884,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885,41.32355885
SUPCR,41.482805,35.666085,30.94,36.02963,34.211905,33.72717833,34.65623778,34.19844037,34.19395216,34.34954344,34.24731199,34.26360253,34.28681932,34.26591128,34.27211104,34.27494721,34.27098984,34.2726827,34.27287325,34.27218193,34.27257929,34.27254483,34.27243535,34.27251982,34.2725,34.27248506,34.27250163,34.27249556,34.27249408,34.27249709,34.27249558,34.27249558,34.27249608,34.27249575,34.27249581,34.27249588,34.27249581,34.27249583,34.27249584,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583,34.27249583
FBCLGN,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18,42.18
FBCHCL,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15,35.15
IGCCLGN,46.8,44.85,41.925,44.525,43.76666667,43.40555556,43.89907407,43.6904321,43.66502058,43.75150892,43.70232053,43.70628334,43.7200376,43.70954716,43.71195603,43.71384693,43.71178337,43.71252878,43.71271969,43.71234395,43.7125308,43.71253148,43.71246874,43.71251034,43.71250352,43.7124942,43.71250269,43.71250014,43.71249901,43.71250061,43.71249992,43.71249985,43.71250013,43.71249997,43.71249998,43.71250002,43.71249999,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125
IGCCHCL,46.8,44.85,41.925,44.525,43.76666667,43.40555556,43.89907407,43.6904321,43.66502058,43.75150892,43.70232053,43.70628334,43.7200376,43.70954716,43.71195603,43.71384693,43.71178337,43.71252878,43.71271969,43.71234395,43.7125308,43.71253148,43.71246874,43.71251034,43.71250352,43.7124942,43.71250269,43.71250014,43.71249901,43.71250061,43.71249992,43.71249985,43.71250013,43.71249997,43.71249998,43.71250002,43.71249999,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125
IGCCBMS,46.8,44.85,41.925,44.525,43.76666667,43.40555556,43.89907407,43.6904321,43.66502058,43.75150892,43.70232053,43.70628334,43.7200376,43.70954716,43.71195603,43.71384693,43.71178337,43.71252878,43.71271969,43.71234395,43.7125308,43.71253148,43.71246874,43.71251034,43.71250352,43.7124942,43.71250269,43.71250014,43.71249901,43.71250061,43.71249992,43.71249985,43.71250013,43.71249997,43.71249998,43.71250002,43.71249999,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125,43.7125
CCCGT,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ACCGT,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
*ACCHT,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
*CGTGDO,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
*CGTNGS,23.48885392,19.96552583,17.61664044,20.35700673,19.31305767,19.09556828,19.58854423,19.33239006,19.33883419,19.41992283,19.36371569,19.37415757,19.38593203,19.37460176,19.37823045,19.37958808,19.37747343,19.37843066,19.37849739,19.37813383,19.37835396,19.37832839,19.37827206,19.37831814,19.37830619,19.3782988,19.37830771,19.37830423,19.37830358,19.37830517,19.37830433,19.37830436,19.37830462,19.37830444,19.37830447,19.37830451,19.37830447,19.37830449,19.37830449,19.37830448,19.37830449,19.37830449,19.37830448,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449
AGTGDO,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
AGTNGS,23.48885392,19.96552583,17.61664044,20.35700673,19.31305767,19.09556828,19.58854423,19.33239006,19.33883419,19.41992283,19.36371569,19.37415757,19.38593203,19.37460176,19.37823045,19.37958808,19.37747343,19.37843066,19.37849739,19.37813383,19.37835396,19.37832839,19.37827206,19.37831814,19.37830619,19.3782988,19.37830771,19.37830423,19.37830358,19.37830517,19.37830433,19.37830436,19.37830462,19.37830444,19.37830447,19.37830451,19.37830447,19.37830449,19.37830449,19.37830448,19.37830449,19.37830449,19.37830448,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449,19.37830449
*ICEH2,27.16996018,27.09752743,26.35486138,26.87411633,26.77550171,26.66815981,26.77259262,26.73875138,26.72650127,26.74594842,26.73706702,26.73650557,26.73984034,26.73780431,26.73805007,26.73856491,26.73813976,26.73825158,26.73831875,26.7382367,26.73826901,26.73827482,26.73826017,26.738268,26.73826766,26.73826528,26.73826698,26.73826664,26.7382663,26.73826664,26.73826653,26.73826649,26.73826655,26.73826652,26.73826652,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653,26.73826653
*FC1,66.70074265,46.35701615,40.02044559,51.02606813,45.80117662,45.61589678,47.48104718,46.29937353,46.46543916,46.74861996,46.50447755,46.57284556,46.60864769,46.56199026,46.58116117,46.58393304,46.57569482,46.58026301,46.57996363,46.57864049,46.57962237,46.57940883,46.5792239,46.57941837,46.57935036,46.57933088,46.57936654,46.57934926,46.57934889,46.57935489,46.57935101,46.5793516,46.5793525,46.57935171,46.57935194,46.57935205,46.5793519,46.57935196,46.57935197,46.57935194,46.57935196,46.57935196,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195
*FC2,66.70074265,46.35701615,40.02044559,51.02606813,45.80117662,45.61589678,47.48104718,46.29937353,46.46543916,46.74861996,46.50447755,46.57284556,46.60864769,46.56199026,46.58116117,46.58393304,46.57569482,46.58026301,46.57996363,46.57864049,46.57962237,46.57940883,46.5792239,46.57941837,46.57935036,46.57933088,46.57936654,46.57934926,46.57934889,46.57935489,46.57935101,46.5793516,46.5793525,46.57935171,46.57935194,46.57935205,46.5793519,46.57935196,46.57935197,46.57935194,46.57935196,46.57935196,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195,46.57935195
*PGNUC,120,115,105,113.3333333,111.1111111,109.8148148,111.4197531,110.781893,110.6721536,110.9579332,110.8039933,110.8113601,110.8577622,110.8243718,110.8311647,110.8377662,110.8311009,110.833344,110.8340704,110.8328384,110.8334176,110.8334421,110.8332327,110.8333641,110.8333463,110.8333144,110.8333416,110.8333341,110.83333,110.8333353,110.8333331,110.8333328,110.8333337,110.8333332,110.8333333,110.8333334,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333,110.8333333
PGLHYD,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
