dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017
RAS,SE,HCL,0,0,0,0,0,0,0,0.655233333333333
RWO,SE,HCL,1.3926,1.40706666666667,1.32054444444444,1.22805555555556,1.1103,1.09962222222222,1.28047777777778,1.22103333333333
REU,SE,HCL,1.41373333333333,1.29046666666667,1.47516666666667,1.19523333333333,1.17083333333333,1.22733333333333,1.29036666666667,1.2692
REP,SE,HCL,0.3293,0.321633333333333,0.321222222222222,0.269077777777778,0.192996,0.222187111111111,0.234988888888889,0.200666666666667
RAF,SE,HCL,5.781975,6.235375,10.146075,10.514975,10.7933,9.456825,8.366225,9.116
RLA,SE,HCL,0,0,0,0,0.004896,0.008976,0,0
ARG,SE,HCL,0,0,0,0,9.6e-05,0.000176,0,0
OCE,SE,HCL,0.0214,0.0098,0.0069,0.0032,0.0025,0.0032,0.0032,0.047375
AUT,SE,HCL,3e-04,3e-04,0,2e-04,0,0,0,0
BEL,SE,HCL,0,0,0,0,0,0,0,0
BRA,SE,HCL,0,0,0,0,9.6e-05,0.000176,0,0
BGR,SE,HCL,0.0031,0.0034,0.0026,0.004,0.0018,0.0046,0.0056,0.0032
CAN,SE,HCL,0,0,0,0,0,0,0,0
CHA,SE,HCL,64.272,72.1624,75.8936,80.4224,76.2164,78.1712,77.4284,70.0176
HRV,SE,HCL,0.0445566666666667,0.0381866666666667,0.0348066666666667,0.03413,0.02954,0.03206,0.0272633333333333,0.02707
CYP,SE,HCL,0.0445566666666667,0.0381866666666667,0.0348066666666667,0.03413,0.02954,0.03206,0.0272633333333333,0.02707
CZE,SE,HCL,0.0034,0.0034,0.0034,0.0034,0.0013,0.0013,6e-04,7e-04
DNK,SE,HCL,0,0,0,0,0,0,0,0
EGY,SE,HCL,0,0,0,0,0,0,0,0
EST,SE,HCL,0.0019,0.0013,0.0013,0.0026,0.0013,0,0,0
FIN,SE,HCL,0,0,0,0,0,0,0,0
FRA,SE,HCL,0.131,0.0401,0.0447,0.0475,0.0353,0.0364,0.038,0.035
DEU,SE,HCL,0.0536,0.059,0.0718,0.0154,0.0458,0.1812,0.0247,0.0183
GRC,SE,HCL,0,0,0,0,0,0,0,0
HUN,SE,HCL,0,0,0,0,6e-04,0.0011,0.0012,6e-04
NSI,SE,HCL,0,0,0,0,0,0,0,0
IND,SE,HCL,3.1663,3.4068,3.6668,3.8337,3.9848,4.1662,4.3088,4.4281
IDN,SE,HCL,0,0,0,0,0,0,0,0.0148916666666667
IRN,SE,HCL,0,0,0,0,0,0,0,0
IRL,SE,HCL,2e-04,4e-04,5e-04,4e-04,3e-04,3e-04,7e-04,5e-04
ISR,SE,HCL,0,0,0,0,0,0,0,0
ITA,SE,HCL,0,0,0,0,0,0,0,0
JPN,SE,HCL,0.1908,0.1688,0.1191,0.1215,0.1227,0.1203,0.0778,0.0712
KOR,SE,HCL,0,0,0,0,0,0,0,0.0148916666666667
LVA,SE,HCL,0.0213,0.0188,0.0094,0.0109,0.0081,0.0063,0.0058,0.0036
LTU,SE,HCL,0.0096,0.0504,0.0312,0.0378,0.0324,0.0258,0.0318,0.0329
LUX,SE,HCL,0,0,0,0,0,0,0,0
MLT,SE,HCL,0.0445566666666667,0.0381866666666667,0.0348066666666667,0.03413,0.02954,0.03206,0.0272633333333333,0.02707
MEX,SE,HCL,0,0,0,0,0,0,0,0
MAR,SE,HCL,0,0,0,0,0,0,0,0
NLD,SE,HCL,0,0,0,0,0,0,0,0
NGA,SE,HCL,0.1351375,0.1476375,0.2408875,0.2502375,0.25685,0.2250125,0.1990625,0.21695
POL,SE,HCL,0.8241,0.7433,0.7847,0.7193,0.6465,0.62,0.6502,0.6453
PRT,SE,HCL,0,0,0,0,0,0,0,0
ROU,SE,HCL,0,0,0,0,0,0,0,0
RUS,SE,HCL,2.0361,1.9519,2.0642,1.5843,0.9266,1.2666,1.1399,0.8784
SAU,SE,HCL,0,0,0,0,0,0,0,0
SVK,SE,HCL,0.2613,0.1982,0.0782,0.1565,0.0871,0.0576,0.0315,0.0457
SVN,SE,HCL,0.0445566666666667,0.0381866666666667,0.0348066666666667,0.03413,0.02954,0.03206,0.0272633333333333,0.02707
ZAF,SE,HCL,0.9749,1.1465,1.8983,1.9969,2.0492,1.7938,1.5869,1.7315
ESP,SE,HCL,0,0,0,0,0,0,0,0
SWE,SE,HCL,0,0,0,0,0,0,0,0
TUN,SE,HCL,0,0,0,0,0,0,0,0
TUR,SE,HCL,3.6604,3.3344,3.9794,3.1304,3.2447,3.4423,3.3636,3.4707
GBR,SE,HCL,0.0269,0.027,0.0164,0.0259,0.0257,0.0272,0.0278,0.0263
USA,SE,HCL,1.2562,1.0345,0.654,0.6172,0.6193,0.4246,0.3307,0.264
RAS,SE,GDO,4.20645625,3.933678125,3.880009375,4.252428125,4.740940625,4.54681875,5.77546875,5.89279375
RWO,SE,GDO,1.59755555555556,1.99147777777778,0.841288888888889,1.97084444444444,1.68143333333333,1.49807777777778,1.1038,1.29912222222222
REU,SE,GDO,0.430446666666667,0.498806666666667,0.39858,0.37692,0.390666666666667,0.438646666666667,0.469193333333333,0.521813333333333
REP,SE,GDO,3.46889206349206,3.30529603174603,3.03863015873016,3.53725793650794,2.7467380952381,2.39216746031746,2.22883571428571,2.38206825396825
RAF,SE,GDO,3.17502285714286,3.10992142857143,3.43487714285714,4.27555714285714,4.44048428571429,3.95770571428571,2.64255714285714,2.27291142857143
RLA,SE,GDO,2.40885217391304,2.6703347826087,2.61159565217391,2.45374347826087,2.31959565217391,2.37284347826087,2.7526347826087,2.97076956521739
ARG,SE,GDO,0.4039,0.389,0.4031,0.4148,0.3916,0.3984,0.3683,0.3375
OCE,SE,GDO,1.09064375,1.135471875,1.175140625,1.215421875,1.285009375,1.27198125,1.29333125,1.34160625
AUT,SE,GDO,0.2585,0.2404,0.1584,0.1564,0.1652,0.1706,0.1573,0.2118
BEL,SE,GDO,1.0013,0.8433,0.8497,0.9251,0.7275,0.8623,0.7837,0.7832
BRA,SE,GDO,0.7534,0.8084,0.7377,0.7119,0.742,0.6942,0.6832,0.6925
BGR,SE,GDO,0.0455,0.0355,0.0357,0.0248,0.0166,0.0387,0.0391,0.0348
CAN,SE,GDO,1.4076,1.6289,1.6989,1.6053,1.6292,1.58,1.4918,1.3767
CHA,SE,GDO,17.8844,19.2868,20.5189333333333,20.5266666666667,19.4692,21.1293333333333,20.4468,21.1034666666667
HRV,SE,GDO,0.0977,0.0893,0.074,0.0641,0.053,0.0622,0.0614,0.0587
CYP,SE,GDO,0.0402,0.0383,0.0361,0.0348,0.0275,0.0287,0.0276,0.0311
CZE,SE,GDO,0.0211,0.0183,0.029,0.0211,0.0183,0.0301,0.0282,0.0281
DNK,SE,GDO,0.075,0.0597,0.0686,0.0647,0.0562,0.0621,0.0626,0.0573
EGY,SE,GDO,0.314142857142857,0.250221428571429,0.246557142857143,0.275507142857143,0.214414285714286,0.204635714285714,0.186807142857143,0.172671428571429
EST,SE,GDO,0.0292,0.0424,0.0424,0.0394,0.0292,0.0322,0.0253,0.029
FIN,SE,GDO,0.2935,0.2488,0.2762,0.2472,0.2462,0.2255,0.2508,0.2482
FRA,SE,GDO,3.3993,2.7545,2.8826,2.9634,2.6128,2.7174,2.5132,2.6147
DEU,SE,GDO,7.6388,6.9453,7.2975,7.7794,7.1088,6.9418,6.9738,6.9031
GRC,SE,GDO,0.2546,0.2287,0.1577,0.1818,0.099,0.1173,0.1763,0.1231
HUN,SE,GDO,0.0213,0.018,0.0286,0.0182,0.0273,0.0397,0.0354,0.0291
NSI,SE,GDO,1.4088,1.1404,1.1843,1.2394,1.0032,1.0676,1.15,1.0991
IND,SE,GDO,1.3283,1.4001,1.4785,1.3765,1.3641,1.839,2.2082,2.5776
IDN,SE,GDO,0.8867,1.0069,1.2116,1.1674,1.0732,0.8214,0.7785,0.7433
IRN,SE,GDO,2.8214,1.8865,1.9557,1.8419,1.5049,1.3933,1.1606,0.7708
IRL,SE,GDO,0.2818,0.2548,0.2462,0.2849,0.2637,0.2735,0.2718,0.2634
ISR,SE,GDO,0,0,0,0.2887,0.2678,0.3798,0.3683,0.3615
ITA,SE,GDO,0.8289,0.7395,0.62,0.6031,0.5772,0.5676,0.558,0.5443
