dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RAS,IS,HCL,1.58553571428571,1.29167857142857,1.39367857142857,1.46464285714286,2.01146428571429,1.58903571428571,2.85910714285714,2.67766071428571,3.53586071428571,8.24927142857143,8.61103928571429,8.61103928571429
RWO,IS,HCL,47.2740666666667,52.8189333333333,56.8929333333333,51.6683333333333,54.735,48.0715,46.8372,44.8735,47.7287,49.4753333333333,49.0938666666667,49.0938666666667
REU,IS,HCL,29.02766,31.5036133333333,31.7333133333333,31.25059,32.5685633333333,26.7155066666667,26.76285,23.4286033333333,25.0368833333333,25.2246166666667,24.3536233333333,24.3536233333333
REP,IS,HCL,11.5228566666667,12.5663933333333,13.1531833333333,12.5159833333333,13.21553,12.1092,11.6306,11.6607,12.41513,12.8963333333333,12.5031066666667,12.5031066666667
RAF,IS,HCL,35.70111,27.90264,29.5717166666667,35.7530666666667,29.7733866666667,26.4953666666667,26.33835,27.5193833333333,28.3419866666667,25.80835,25.75561,25.75561
RLA,IS,HCL,12.0901171428571,13.3039371428571,12.7451628571429,12.1630514285714,11.9949142857143,11.74822,10.5837942857143,11.4983371428571,11.8084971428571,9.70073714285714,9.34689428571428,10.5858571428571
ARG,IS,HCL,1.3239,1.4551,1.3129,1.3957,1.4886,1.3563,1.0724,1.2057,1.3707,0.8595,0.9595,1.2403
OCE,IS,HCL,2.99553571428571,3.15037857142857,2.55387857142857,2.24304285714286,2.26556428571429,2.16963571428571,2.31260714285714,2.37521071428571,2.52471071428571,3.28467142857143,3.18778928571429,3.18778928571429
AUT,IS,HCL,1.8211,1.8209,1.7799,1.9021,1.8515,2.2155,2.254,2.4715,2.0496,2.2733,2.0453,2.0453
BEL,IS,HCL,2.1682,2.1383,1.9852,2.2976,2.2893,2.1385,2.439,2.4662,2.423,2.412,1.7885,1.7885
BRA,IS,HCL,14.0759,15.2754,14.561,13.8383,13.9527,14.2977,12.8604,14.8171,15.2301,13.8612,13.1145,15.116
