dummy,dummy,dummy,2015,2016,2017,2018,2019,2020
RAS,PC,LPG,0.168177777777778,0.172577777777778,0.188385185185185,0.220488888888889,0.256992592592592,0.281762962962963
RWO,PC,LPG,0.84728,0.91157,0.9723,1.24028,1.33659,1.30428
REU,PC,LPG,1.44830666666667,1.92386,2.19921333333333,2.257,2.53374,1.8345
REP,PC,LPG,1.08438,1.31188428571429,1.56375714285714,2.12552285714286,2.72649,2.88493714285714
RAF,PC,LPG,0.2426,0.284642857142857,0.327471428571429,0.425528571428572,0.5275,0.567671428571429
RLA,PC,LPG,2.12895555555556,2.20263333333333,2.26272222222222,2.33283333333333,2.57046666666667,2.48521111111111
ARG,PC,LPG,0.0649472222222222,0.0695583333333333,0.0715388888888889,0.0729833333333333,0.0768666666666667,0.0808694444444444
OCE,PC,LPG,1.19636666666667,1.04616666666667,0.803644444444444,0.487533333333333,0.389922222222222,0.372311111111111
AUT,PC,LPG,0.0134,0.0122,0.0116,0.0082,0.0053,0.0031
BEL,PC,LPG,0.0637,0.0648,0.0588,0.0552,0.0547,0.0485
BRA,PC,LPG,0.0649472222222222,0.0695583333333333,0.0715388888888889,0.0729833333333333,0.0768666666666667,0.0808694444444444
BGR,PC,LPG,0.4625,0.4955,0.4789,0.457,0.4385,0.4157
CAN,PC,LPG,0.2406,0.2711,0.2745,0.2632,0.261,0.235
CHA,PC,LPG,3.0688,3.1362,3.5386,3.535,4.328,3.15
HRV,PC,LPG,0.075,0.0795,0.0792,0.0788,0.0739,0.0591
CYP,PC,LPG,0,0,0,5e-04,5e-04,5e-04
CZE,PC,LPG,0.1036,0.1036,0.1004,0.0962,0.0921,0.0774
DNK,PC,LPG,0,0,0,0,0,0
EGY,PC,LPG,0.0624,0.0764142857142857,0.0883571428571429,0.121042857142857,0.1561,0.170757142857143
EST,PC,LPG,0.0054,0.0061,0.0073,0.0088,0.0105,0.0101
FIN,PC,LPG,0,0,0,0,0,0
FRA,PC,LPG,0.089,0.0791,0.0703,0.0637,0.0578,0.039
DEU,PC,LPG,0.5938,0.536,0.4969,0.5514,0.4784,0.358
GRC,PC,LPG,0.2571,0.2615,0.2459,0.2356,0.2403,0.1937
HUN,PC,LPG,0.0303,0.0276,0.0264,0.0231,0.0198,0.0143
NSI,PC,LPG,0.0066,0.0066,0.0099,0.0094,0.0068,0.0074
IND,PC,LPG,0.1932,0.1887,0.2083,0.2037,0.1942,0.1338
IDN,PC,LPG,0.00382222222222222,0.00392222222222222,0.00428148148148148,0.00501111111111111,0.00584074074074074,0.0064037037037037
IRN,PC,LPG,0.0271,0.0407,0.0052,0.0056,0.0056,0.0056
IRL,PC,LPG,0.0025,0.0025,0.0023,0.0019,0.0016,8e-04
ISR,PC,LPG,0.0113,0.0305,0.0303,0.0305,0.0297,0.0259
ITA,PC,LPG,1.8172,1.7557,1.8319,1.7733,1.8162,1.4387
JPN,PC,LPG,1.0539,0.9627,0.9072,0.8187,0.7129,0.405
KOR,PC,LPG,0.00382222222222222,0.00392222222222222,0.00428148148148148,0.00501111111111111,0.00584074074074074,0.0064037037037037
LVA,PC,LPG,0.0642,0.062,0.0583,0.0552,0.0484,0.0438
LTU,PC,LPG,0.1333,0.1257,0.1165,0.1092,0.1051,0.0969
LUX,PC,LPG,7e-04,8e-04,7e-04,4e-04,3e-04,2e-04
MLT,PC,LPG,0,0.0011,7e-04,5e-04,8e-04,7e-04
MEX,PC,LPG,1.2483,1.4144,1.4573,1.4623,1.4266,1.72
MAR,PC,LPG,0.0624,0.0764142857142857,0.0883571428571429,0.121042857142857,0.1561,0.170757142857143
NLD,PC,LPG,0.1921,0.1814,0.163,0.1481,0.1381,0.1159
NGA,PC,LPG,0.00113,0.00113,0.0013,0.0013,0.00123,0.00115
POL,PC,LPG,1.7909,1.8963,2.0123,2.0395,2.126,1.9062
PRT,PC,LPG,0.0396,0.0407,0.0406,0.0399,0.0408,0.0308
ROU,PC,LPG,0.0632,0.0747,0.0901,0.0937,0.0986,0.0885
RUS,PC,LPG,0.4461,0.4395,0.4366,0.8695,1.3359,1.2514
SAU,PC,LPG,0.0624,0.0764142857142857,0.0883571428571429,0.121042857142857,0.1561,0.170757142857143
SVK,PC,LPG,0.0374,0.0363,0.0341,0.0352,0.0352,0.0341
SVN,PC,LPG,0.0143,0.0154,0.0151,0.0149,0.0142,0.0092
ZAF,PC,LPG,0.0011,0.0011,0.0026,0.0026,0.0023,0.0021
ESP,PC,LPG,0.0486,0.0531,0.0576,0.07,0.0972,0.0746
SWE,PC,LPG,0.0021,7e-04,0,0,0,0
TUN,PC,LPG,0.0166,0.0155,0.0126,0.0129,0.012,0.0094
TUR,PC,LPG,3.4122,3.5995,3.5225,3.7011,3.7892,3.4629
GBR,PC,LPG,0.0901,0.078,0.0743,0.0648,0.0692,0.0637
USA,PC,LPG,0.1028,0.1005,0.0829,0.0734,0.0757,0.052
RAS,PC,GSL,17.1240454434695,23.0688919088283,31.0817033883718,31.1001076733077,32.3538036991087,24.3999757131861
RWO,PC,GSL,8.999410663034,8.7726910651218,8.55337549324961,8.31560251197585,8.13953383716349,5.62127174525705
REU,PC,GSL,3.49737650215252,3.37917650395105,3.29344934252125,3.06523932427385,3.03846713925119,2.27147251195372
REP,PC,GSL,34.6874276779837,35.9695527920738,35.8337899884477,35.3896119821493,35.2720090609026,24.6798780369581
RAF,PC,GSL,132.190255680313,137.400125110643,137.434944486459,135.754043969135,135.252302780544,94.2308754264949
RLA,PC,GSL,321.623387354523,331.982188390702,324.514657987267,320.486475185433,318.855637934949,219.145514613944
ARG,PC,GSL,6.7752610480226,6.99522204230409,6.83371237790092,6.74548461787482,6.71197595697907,4.60954580321653
OCE,PC,GSL,5.16849285309288,6.02951261693263,7.19459557852772,7.09341428881104,7.21257063263384,5.26075254687874
AUT,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
BEL,PC,GSL,0.285957009109787,0.287051120136682,0.287342008609724,0.32302290120892,0.352272280001518,0.301282262547668
BRA,PC,GSL,6.7752610480226,6.99522204230409,6.83371237790092,6.74548461787482,6.71197595697907,4.60954580321653
BGR,PC,GSL,0.1555182175175,0.135914837398374,0.124690336920917,0.14232716254108,0.180778433309809,0.067729882600931
CAN,PC,GSL,1.33126749165843,1.32678860782034,1.3230268096269,1.27108950977325,1.23893382613823,0.84501219686478
CHA,PC,GSL,0,0,0,0,0,0
HRV,PC,GSL,0.136414570063694,0.140964568333443,0.139873928549083,0.121974086661003,0.121739911509788,0.0601503977669225
CYP,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
CZE,PC,GSL,0.483242592230125,0.573529501827245,0.63338733850376,0.660821702776948,0.683346825684572,0.276063921933233
DNK,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
EGY,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
EST,PC,GSL,0.0840695634008774,0.0800558072487644,0.0874395481465234,0.0918136671643505,0.111140097580404,0.0665031769898627
FIN,PC,GSL,0.362751875021602,0.351095602992155,0.317061600393872,0.309317318731785,0.292694885871136,0.232441072098324
FRA,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
DEU,PC,GSL,2.57902813645623,2.52784852515509,2.46090209693786,2.69849995857384,2.69083807356845,1.55798182261574
GRC,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
HUN,PC,GSL,0.458107165930291,0.455536488912114,0.474646531172158,0.519814543199076,0.565746069354479,0.410395018060861
NSI,PC,GSL,1.2934048408552,1.28720193780737,1.27403311955705,1.25098947538155,1.28261266377812,0.937098119660718
IND,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
IDN,PC,GSL,0.417659644962671,0.562655900215324,0.758090326545654,0.758539211544091,0.789117163392896,0.595121358858197
IRN,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
IRL,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
ISR,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
ITA,PC,GSL,3.96903890086428,3.85107167233899,3.62294474809392,3.64071107910145,3.47714075768481,2.72080326669538
JPN,PC,GSL,10.6528593851878,10.140554656549,9.93603246996194,9.74547516003251,8.88051132888558,8.15747411235826
KOR,PC,GSL,0.417659644962671,0.562655900215324,0.758090326545654,0.758539211544091,0.789117163392896,0.595121358858197
LVA,PC,GSL,0.0279758420990427,0.0275673388570732,0.0249351209253417,0.0239946598262695,0.0231794415947773,0.0158995028173682
LTU,PC,GSL,0.0169702957639417,0.0152701844907755,0.0126755827099319,0.0130512182444286,0.0115399563154327,0.00622116069135788
LUX,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
MLT,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
MEX,PC,GSL,23.9149260946295,24.7741357668066,24.0046732856797,23.5332403261828,23.4551358709841,15.9413213500984
MAR,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
NLD,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
NGA,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
POL,PC,GSL,0.442378773492293,0.417483130689264,0.396174527590582,0.367958168615791,0.381423182179461,0.169793906960592
PRT,PC,GSL,0.184831292937007,0.19480293352935,0.193020892211211,0.208754142360364,0.225451253324164,0.127462669978618
ROU,PC,GSL,0.509622161003021,0.477828238513962,0.434584810174211,0.43221419631055,0.423033391839526,0.326463134765625
RUS,PC,GSL,0.342912693610067,0.329365927476881,0.304994252762355,0.273250355811928,0.267967866344152,0.22094084788498
SAU,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
SVK,PC,GSL,0.0784774882066352,0.0848461094551091,0.0874248552813234,0.0851376126610725,0.0850509868995633,0.0534510910480288
SVN,PC,GSL,0.0118061263423323,0.0116925837630307,0.0109637663389134,0.00977441646792469,0.00884009552869793,0.00306410789197865
ZAF,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
ESP,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873,0.679072033971971,0.439202043749758
SWE,PC,GSL,0.531041770805082,0.498405911450382,0.488525222533586,0.436349022550452,0.434013358847097,0.358974548819991
TUN,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
TUR,PC,GSL,0.585902443550697,0.590074302194991,0.62455167447057,0.635306836305284,0.645637800378004,0.509331171435248
GBR,PC,GSL,2.73644403421247,2.36024802290561,2.54393257418992,2.2907512276744,2.1550676104018,1.15095584321316
USA,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142,2.55193024114234,1.77794104578292
RAS,PC,NGS,3.48425274684902,3.49813063375454,3.51294875785928,3.60876967787615,3.61306285985781,2.91056354123339
RWO,PC,NGS,0.872720676491999,0.817054867685245,0.80262758794812,0.850090795980326,0.873332208389288,0.592778721438227
REU,PC,NGS,0.116981980202774,0.111476516316967,0.112253841660927,0.12519158052022,0.124560724755889,0.100838290335969
REP,PC,NGS,0.396508027680919,0.399054217686601,0.414148643252612,0.435000292291991,0.430361016737361,0.348818190026751
RAF,PC,NGS,1.89646863129654,1.90307883841436,1.95503416343195,2.04550201559647,2.03505481586113,1.5879580133636
RLA,PC,NGS,0.136362539110497,0.191552769756592,0.394181280149842,0.491720491244862,0.375584016840743,0.278137716972545
ARG,PC,NGS,0.00290133061937227,0.00407559084588494,0.00838683574786896,0.0104621381115928,0.00799114929448389,0.0059178237653733
OCE,PC,NGS,0.528681007495131,0.531701957714733,0.531350587315396,0.543811013172408,0.542182139460039,0.435656247370678
AUT,PC,NGS,0.0285758621922089,0.0290746922624223,0.0269006903830095,0.0271178875279654,0.0297951894326638,0.0228540462206469
BEL,PC,NGS,0.000739452923446069,0.00115865198659535,0.00176922629642712,0.00298564351365286,0.00544532746561227,0.00858370967779577
BRA,PC,NGS,0.00290133061937227,0.00407559084588494,0.00838683574786896,0.0104621381115928,0.00799114929448389,0.0059178237653733
BGR,PC,NGS,0.0232888680211712,0.0204327235772358,0.0185183668694431,0.0233684807187867,0.0334180098800282,0.0127141025265685
