dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RWO,BM,ELC,1493.61436506604,1480.07008445535,1484.49012103501,1492.26860313184,1461.45336300775,1417.53051865503,1420.30890244927,1400.18515997919,1397.96587864332,1407.12434026803,1381.76960791993,1395.55097079789
CHA,BM,ELC,1630.8193,1591.3613,1610.1697,1629.1382,1620.5445,1540.6935,1496.3883,1378.8649,1282.1344,1142.5301,1122.2404,1051.6243
EGY,BM,ELC,372.1402,338.1097,315.6608,337.3747,647.4241,625.8993,650.8877,727.2174,910.0233,903.5335,922.6956,948.2999
IND,BM,ELC,1248.0519,1271.7834,1329.5111,1393.559,1371.4981,1302.0179,1227.6688,1254.9377,1423.1916,1438.6852,1222.816,1101.4498
MAR,BM,ELC,1645.6638,1634.4538,1607.5926,1580.3031,1577.0645,1594.0892,1524.3714,1586.7991,1558.6826,1553.2837,1542.3951,1521.0714
USA,BM,ELC,858.0595,835.6614,800.9105,808.9794,826.6988,803.5914,776.7143,773.1515,759.2059,734.3699,709.2693,737.5388
RWO,BM,GDO,1174.08403104048,1280.24335696235,1330.86727052983,1293.66676610137,1255.89231764937,1096.02050730609,1008.04798173383,1057.1060734829,1128.1974983734,1120.78596418442,1036.81321868795,1103.01724862479
CHA,BM,GDO,1308.8405,1397.7083,1478.5247,1398.1989,1168.205,1052.3824,907.5308,982.6293,1140.3318,1034.0869,828.5378,1036.841
EGY,BM,GDO,424.2303,235.6727,218.043,200.9917,293.726,272.6539,198.7291,241.5021,491.2787,555.5081,528.829,501.0425
IND,BM,GDO,1061.856,1052.4497,1052.8984,1026.053,1069.21,867.5111,836.3308,894.394,1086.2872,1034.6639,1017.4624,1160.2997
MAR,BM,GDO,937.5373,914.3118,1025.7063,985.5672,1084.2977,993.4455,1055.103,1061.163,1067.3124,1110.994,961.7692,1052.6187
USA,BM,GDO,1000.1919,1245.3797,1260.316,1226.1995,1177.9179,832.2622,701.5208,789.092,923.7474,871.1608,719.0661,882.7859
RWO,BM,GSL,1448.89453994938,1543.63990224381,1593.36462302102,1543.07780196874,1504.98526878589,1338.73468252031,1234.94555639655,1277.13683259393,1334.45928675969,1315.8784665507,1228.1893513685,1306.26248856492
CHA,BM,GSL,1551.6618,1670.5889,1653.1239,1545.4625,1475.9199,1449.2595,1265.5212,1345.33,1493.5825,1354.5179,1087.0032,1360.2874
EGY,BM,GSL,697.8609,646.1378,597.803,551.0539,1133.8638,1043.4261,581.1739,707.906,747.3268,793.6649,733.9609,736.3016
IND,BM,GSL,1505.2511,1692.3564,1671.3982,1511.2005,1446.5227,1309.1179,1140.4723,1143.622,1315.8786,1225.8897,1200.1647,1436.4748
MAR,BM,GSL,1419.1849,1399.0461,1643.1157,1593.2422,1613.6679,1274.7109,1307.7284,1352.7492,1313.1118,1338.9514,1188.6436,1323.2686
USA,BM,GSL,1049.8612,1278.4897,1293.0705,1240.9232,1181.6674,878.3889,788.1476,864.1357,961.5142,924.2586,787.9806,997.649
RWO,BM,HCL,143.082587108128,154.755861618121,151.729234534012,151.299204166889,148.792645315494,129.650061420854,129.521742259023,144.446272252236,147.166668794245,139.666898188671,140.425389806327,154.578512183975
CHA,BM,HCL,242.7097,266.285,205.9489,176.5172,135.9282,105.3342,129.1528,169.0566,190.7131,145.1498,113.2386,297.0234
EGY,BM,HCL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
IND,BM,HCL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
MAR,BM,HCL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
USA,BM,HCL,119.6401,120.5469,134.6145,130.7029,129.5899,118.7441,111.5669,106.8768,103.4542,98.4029,91.2792,88.3581
RWO,BM,KRS,942.284979669208,1076.85002513174,1115.13254958041,1116.94219124708,1087.12656317575,954.59190178816,906.030420169795,941.214690007811,1017.7063319477,1014.57884881441,942.132246811579,1006.86735423254
CHA,BM,KRS,1308.8405,1397.7083,1478.5247,1398.1989,1168.205,1052.3824,907.5308,982.6293,1140.3318,1034.0869,828.5378,1036.841
