dummy,dummy,BASE,SHR_NSE,SH_HPELC
RAS,IS,0.4397,0.7,0.00001
RAS,NF,0,0.95,0.00001
RAS,CH,0.1422,0.95,0.00001
RAS,BM,2.1062,0.95,0.00001
RAS,PP,0,0.95,0.00001
RAS,FD,0.6641,0.95,0.00001
RAS,TX,0.0638,0.95,0.00001
RAS,EN,1.6664,0.95,0.00001
RAS,OE,0.00000001,0.95,0.00001
RAS,OI,1.5161,0.95,0.00001
MAR,IS,0.4397,0.7,0.00001
MAR,NF,0,0.95,0.00001
MAR,CH,0.1422,0.95,0.00001
MAR,BM,2.1062,0.95,0.00001
MAR,PP,0,0.95,0.00001
MAR,FD,0.6641,0.95,0.00001
MAR,TX,0.0638,0.95,0.00001
MAR,EN,1.6664,0.95,0.00001
MAR,OE,0.00000001,0.95,0.00001
MAR,OI,1.5161,0.95,0.00001
