dummy,dummy,dummy,dummy,2017
RAS,PC,GSL,GSL,73.2
RAS,PC,LPG,LPG,65.88
RAS,PC,GDO,GDO,54.9
RAS,PC,BGDO,BGDO,54.9
RAS,PC,NGS,NGS,84.33913043
RAS,PC,ELC,ELC,20.496
RAS,PC,CHEVGSL,GSL,45.384
RAS,PC,CHEVGDO,GDO,36.3072
RAS,PC,PHEVGSL,GSL,43.92
RAS,PC,PHEVGSL,ELC,20.496
RAS,PC,PHEVGDO,GDO,32.94
RAS,PC,PHEVGDO,ELC,20.496
RAS,PC,ETH,ETH,102.1
RAS,PC,MET,MET,71.84
RAS,PC,H2F,H2F,24.15
*RAS,PB,GSL,GSL,57.2
*RAS,PB,LPG,LPG,51.5
*RAS,PB,GDO,GDO,57.2
*RAS,PB,BGDO,BGDO,54.4
*RAS,PB,NGS,NGS,66
*RAS,PB,ELC,ELC,21.8
*RAS,PB,PHEVGSL,GSL,34.4
*RAS,PB,PHEVGSL,ELC,21.8
*RAS,PB,PHEVGDO,GDO,32.6
*RAS,PB,PHEVGDO,ELC,21.8
*RAS,PB,ETH,ETH,80
*RAS,PB,MET,MET,56.2
*RAS,PB,H2F,H2F,18
RAS,PT,GDO,GDO,85.01324136
RAS,PT,ELC,ELC,21.81631194
RAS,PT,MET,MET,12.6
RAS,PT,H2F,H2F,8.9
RAS,PA,H2F,H2F,21.7
RAS,PA,KRS,KRS,0
*RAS,PN,GSL,GSL,79.5
*RAS,PN,H2F,H2F,28.39285714
*RAS,PN,GDO,GDO,53
RAS,GU,GSL,GSL,69.48450286
RAS,GU,LPG,LPG,62.53605258
RAS,GU,GDO,GDO,52.11337715
RAS,GU,BGDO,BGDO,52.11337715
RAS,GU,NGS,NGS,66
RAS,GU,CHEVGDO,GDO,31.26802629
RAS,GU,ELC,ELC,21.8
RAS,GU,PHEVGSL,GSL,34.4
RAS,GU,PHEVGSL,ELC,21.8
RAS,GU,PHEVGDO,GDO,31.26802629
RAS,GU,PHEVGDO,ELC,21.8
RAS,GU,ETH,ETH,80
RAS,GU,MET,MET,56.2
RAS,GU,H2F,H2F,15.63401314
RAS,GT,GDO,GDO,113.7097376
RAS,GT,ELC,ELC,77.81461075
RAS,GT,MET,MET,78
RAS,GT,H2F,H2F,92
RAS,GN,GSL,GSL,22.8
RAS,GN,H2F,H2F,8.142857143
RAS,GN,GDO,GDO,15.2
MAR,PC,GSL,GSL,73.2
MAR,PC,LPG,LPG,65.88
MAR,PC,GDO,GDO,54.9
MAR,PC,BGDO,BGDO,54.9
MAR,PC,NGS,NGS,84.33913043
MAR,PC,ELC,ELC,20.496
MAR,PC,CHEVGSL,GSL,45.384
MAR,PC,CHEVGDO,GDO,40.8456
MAR,PC,PHEVGSL,GSL,43.92
MAR,PC,PHEVGSL,ELC,20.496
MAR,PC,PHEVGDO,GDO,32.94
MAR,PC,PHEVGDO,ELC,20.496
MAR,PC,ETH,ETH,102.1
MAR,PC,MET,MET,71.84
MAR,PC,H2F,H2F,24.15
*MAR,PB,GSL,GSL,57.2
*MAR,PB,LPG,LPG,51.5
*MAR,PB,GDO,GDO,42.9
*MAR,PB,BGDO,BGDO,54.4
*MAR,PB,NGS,NGS,66
*MAR,PB,ELC,ELC,21.8
*MAR,PB,PHEVGSL,GSL,34.4
*MAR,PB,PHEVGSL,ELC,21.8
*MAR,PB,PHEVGDO,GDO,32.6
*MAR,PB,PHEVGDO,ELC,21.8
*MAR,PB,ETH,ETH,80
*MAR,PB,MET,MET,56.2
*MAR,PB,H2F,H2F,18
MAR,PT,GDO,GDO,18.63131563
MAR,PT,ELC,ELC,2.736381027
MAR,PT,MET,MET,12.6
MAR,PT,H2F,H2F,8.9
MAR,PA,H2F,H2F,21.7
MAR,PA,KRS,KRS,0
*MAR,PN,GSL,GSL,79.5
*MAR,PN,H2F,H2F,28.39285714
*MAR,PN,GDO,GDO,53
MAR,GU,GSL,GSL,60.1192039
MAR,GU,LPG,LPG,54.10728351
MAR,GU,GDO,GDO,45.08940292
MAR,GU,BGDO,BGDO,45.08940292
MAR,GU,NGS,NGS,66
MAR,GU,ELC,ELC,27.05364175
MAR,GU,CHEVGDO,GDO,21.8
MAR,GU,PHEVGSL,GSL,34.4
MAR,GU,PHEVGSL,ELC,21.8
MAR,GU,PHEVGDO,GDO,27.05364175
MAR,GU,PHEVGDO,ELC,21.8
MAR,GU,ETH,ETH,80
MAR,GU,MET,MET,56.2
MAR,GU,H2F,H2F,13.52682088
MAR,GT,GDO,GDO,33.62898499
MAR,GT,ELC,ELC,11.5245398
MAR,GT,MET,MET,78
MAR,GT,H2F,H2F,92
MAR,GN,GSL,GSL,22.8
MAR,GN,H2F,H2F,8.142857143
MAR,GN,GDO,GDO,15.2
