dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
*CTHLGN,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98
*CTHHCL,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76
*CTHRFO,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
*CTHNGS,0.88,0.77,0.66,0.825,0.715,0.7425,0.77,0.72875,0.75625,0.749375,0.7425,0.7528125,0.7459375,0.74765625,0.749375,0.746796875,0.748515625,0.748085938,0.74765625,0.748300781,0.747871094,0.747978516,0.748085938,0.747924805,0.748032227,0.748005371,0.747978516,0.748018799,0.747991943,0.747998657,0.748005371,0.7479953,0.748002014,0.748000336,0.747998657,0.748001175,0.747999496,0.747999916,0.748000336,0.747999706,0.748000126,0.748000021,0.747999916,0.748000073,0.747999969,0.747999995,0.748000021,0.747999982,0.748000008,0.748000001,0.747999995,0.748000005,0.747999998,0.748,0.748000001,0.747999999,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748
CTHBMSWAS,2.2,1.98,1.87,2.09,1.925,1.98,2.0075,1.9525,1.99375,1.98,1.973125,1.986875,1.9765625,1.98,1.98171875,1.97828125,1.980859375,1.98,1.979570313,1.980429688,1.979785156,1.98,1.980107422,1.979892578,1.980053711,1.98,1.979973145,1.980026855,1.979986572,1.98,1.980006714,1.979993286,1.980003357,1.98,1.979998322,1.980001678,1.979999161,1.98,1.98000042,1.97999958,1.98000021,1.98,1.979999895,1.980000105,1.979999948,1.98,1.980000026,1.979999974,1.980000013,1.98,1.979999993,1.980000007,1.979999997,1.98,1.980000002,1.979999998,1.980000001,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98
ATHLGN,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
ATHHCL,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
ATHRFO,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
ATHNGS,0.88,0.77,0.66,0.825,0.715,0.7425,0.77,0.72875,0.75625,0.749375,0.7425,0.7528125,0.7459375,0.74765625,0.749375,0.746796875,0.748515625,0.748085938,0.74765625,0.748300781,0.747871094,0.747978516,0.748085938,0.747924805,0.748032227,0.748005371,0.747978516,0.748018799,0.747991943,0.747998657,0.748005371,0.7479953,0.748002014,0.748000336,0.747998657,0.748001175,0.747999496,0.747999916,0.748000336,0.747999706,0.748000126,0.748000021,0.747999916,0.748000073,0.747999969,0.747999995,0.748000021,0.747999982,0.748000008,0.748000001,0.747999995,0.748000005,0.747999998,0.748,0.748000001,0.747999999,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748
ATHBMSWAS,2.2,1.98,1.87,2.09,1.925,1.98,2.0075,1.9525,1.99375,1.98,1.973125,1.986875,1.9765625,1.98,1.98171875,1.97828125,1.980859375,1.98,1.979570313,1.980429688,1.979785156,1.98,1.980107422,1.979892578,1.980053711,1.98,1.979973145,1.980026855,1.979986572,1.98,1.980006714,1.979993286,1.980003357,1.98,1.979998322,1.980001678,1.979999161,1.98,1.98000042,1.97999958,1.98000021,1.98,1.979999895,1.980000105,1.979999948,1.98,1.980000026,1.979999974,1.980000013,1.98,1.979999993,1.980000007,1.979999997,1.98,1.980000002,1.979999998,1.980000001,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98
