dummy,2016,2017,2018,2019,2020
RAS,1504169,1346832,1279819,1134240,600764
RWO,223491,161419,305714,197194,532300
REU,126407,242341.666666667,226701.666666667,269275.666666667,188193
REP,-347124.6,-339250.100000001,-212290.1,-495302.600000001,-619828.6
RAF,371868,307813,295259,270744,153171
RLA,836263,791715,765881,545133,257828
ARG,0,0,0,0,0
OCE,377489,373991,328584,240996,195645
AUT,73509,77021,80274,60696,52279
BEL,88482,73386,68335,35428,-621
BRA,1474273,1619178,1799328,1936702,1364215
BGR,-18469,-372953,2710,56621,36817
CAN,342252,268298,458875,334908,0
CHA,21928316,22002668,20935759,19282698,17058878
HRV,53102,43183,70326,58487,21385
CYP,20592,18333,24078,21806,5657
CZE,192492,230414,209691,177082,124260
DNK,74715,64509,64422,57257,71941
EGY,290460,393718,280189,216490,-427437
EST,26555,22793,20520,48462,13763
FIN,16510,39498,27404,23973,28141
FRA,476000,437000,-35000,-121000,131266
DEU,732351,671034,621190,620193,532607
GRC,52436,75872,46767,123856,85625
HUN,116350,158791,169826,170190,108786
NSI,133025,120215,74940,73262,43626
IND,1631000,3446000,2765000,1980000,0
IDN,838737,825244,862496,761721,205327
IRN,0,0,0,0,0
IRL,41545,38805,40345,68746,37848
ISR,143991,130502,122201,106324,85737
ITA,524905,644183,497849,527062,172642
JPN,416288,399488,222798,114559,53780
KOR,776495,696380,642384,500593,683438
LVA,-14871,25359,18305,19323,11960
LTU,54674,58250,73533,68168,66777
LUX,8276,9832,12347,11863,11083
MLT,7744,8743,8477,6989,1228
MEX,1756301,2293747,1332025,1313524,384387
MAR,138861,138168,141274,140007,104244
NLD,122110,150270,157340,147327,115681
NGA,0,0,0,0,0
POL,951965,828192,925436,931150,753696
PRT,127266,209243,223498,169149,113844
ROU,317364,525771,454342,450448,371744
RUS,910093,1723944,538315,1004089,829479
SAU,0,0,0,0,0
SVK,87200,101343,98491,71969,46409
SVN,17786,21412,25215,22221,5319
ZAF,171393,171393,168457,198598,-40390
ESP,521281,623571,573750,483975,158772
SWE,98997,77549,25174,17121,56163
TUN,54765,63984,0,0,0
TUR,728661,717980,362212,104859,595992
GBR,621558,367684,333315,391062,-186912
USA,97038,80711104,-816159,1492604,-427015
