dummy,dummy,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RWO,NGS,0.00646880550739782,0.00581087229259837,0.00530178727639465,0.00547398837137916,0.00536113609675261,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948,0.00514678912524948
CHA,NGS,0.0197186755091926,0.0200582326102617,0.0205190778921661,0.0154746187220767,0.0121334397787361,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377,0.0136795444089377
EGY,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,NGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWO,OGS,0.176173634472393,0.166393819668529,0.210296445305686,0.245786650790037,0.283808820385109,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441,0.281912787307441
CHA,OGS,0.134254119434381,0.148726547024653,0.15582850489879,0.138039710053577,0.133454820671462,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845,0.184435745479845
EGY,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
