dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,IS,LGN,0.997011264,0.994127486,1.000193584,1.005095932,1.002977142,1.004579086,0.999426296,0.994363481,0.991958163,0.990647171,0.992598383,0.991569297,0.990051582,0.988658262,0.988308522,0.99070605,0.990969306,0.990859594,0.990804964,0.991341764,0.993447721,0.993965665,0.993959373,0.993782438,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448
RAS,IS,HCL,0.997011263,0.994127485,1.000193584,1.005095932,1.002977142,1.004579086,0.999426296,0.994363481,0.991958163,0.990647171,0.992598383,0.991569297,0.990051582,0.988658262,0.988308522,0.99070605,0.990969306,0.990859594,0.990804964,0.991341765,0.993447721,0.993965665,0.993959373,0.993782438,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448
RAS,IS,GDO,0.996827131,0.993759223,0.999272921,1.002702217,0.996716653,0.992487167,0.982210602,0.974136176,0.971231513,0.971852815,0.97760151,0.980122481,0.981525567,0.982491522,0.984096012,0.988125738,0.989483669,0.990033618,0.990350511,0.991102821,0.99335644,0.993930763,0.99394595,0.993777069,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763,0.993605763
RAS,IS,RFO,0.997011265,0.994127487,1.000193585,1.005095933,1.002977143,1.004579086,0.999426296,0.994363482,0.991958164,0.990647172,0.992598384,0.991569296,0.99005158,0.98865826,0.98830852,0.99070605,0.990969306,0.990859594,0.990804963,0.991341764,0.99344772,0.993965665,0.993959372,0.993782438,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448
RAS,IS,LPG,0.996848688,0.993802333,0.999380701,1.002982438,0.998593775,0.99753152,0.990044612,0.983455247,0.980520342,0.979666789,0.982879892,0.983263633,0.983120197,0.983010965,0.983846906,0.987319668,0.988466487,0.989068561,0.989591649,0.990603467,0.993087505,0.993824882,0.993905225,0.993760779,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618,0.993597618
RAS,IS,KRS,0.997011264,0.994127486,1.000193584,1.005095932,1.002977142,1.004579086,0.999426296,0.994363481,0.991958163,0.990647171,0.992598383,0.991569297,0.990051582,0.988658262,0.988308522,0.99070605,0.990969306,0.990859594,0.990804964,0.991341764,0.993447721,0.993965665,0.993959373,0.993782438,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448
RAS,IS,OLQ,0.992513757,0.989684247,0.99605008,0.997108661,0.984336848,0.974602814,0.958458894,0.946283618,0.942110544,0.944987296,0.956359743,0.962268524,0.965079261,0.966603234,0.968862746,0.974056486,0.976273298,0.977690427,0.979352035,0.982251579,0.987327884,0.990083637,0.991523613,0.992219229,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464,0.99251464
RAS,IS,NGS,0.997011284,0.994127498,1.00019359,1.005095937,1.00297715,1.004579097,0.999426305,0.994363484,0.991958151,0.990647159,0.992598374,0.991569291,0.990051576,0.988658254,0.988308516,0.990706045,0.990969303,0.990859594,0.990804964,0.991341766,0.993447722,0.993965666,0.993959373,0.993782439,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448,0.993608448
RAS,IS,OGS,0.99171343,0.987645607,0.993099355,0.9955773,0.987522168,0.983452998,0.97047082,0.959097402,0.955748394,0.959942941,0.973276723,0.980726252,0.984368616,0.985809746,0.986939235,0.990183031,0.990769531,0.990783288,0.990775818,0.991330634,0.99344347,0.993964038,0.993958745,0.993782187,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322,0.993608322
*RAS,IS,STE1CL,0.997011227,0.994127451,1.000193552,1.005095903,1.002977115,1.004579061,0.999426274,0.994363461,0.991958145,0.990647155,0.99259837,0.991569285,0.990051571,0.988658252,0.988308513,0.990706043,0.990969299,0.990859589,0.990804959,0.991341761,0.993447719,0.993965663,0.993959371,0.993782437,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447,0.993608447
