dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,PCH,LGN,0.989958218,0.988766791,0.991738247,0.988559605,0.99079927,0.997270462,0.99803099,0.997832677,0.998116612,0.999288108,1.002943045,1.004227904,1.004544914,1.00448649,1.004302344,1.004101303,1.003895043,1.003725354,1.003515894,1.00316767,1.002466337,1.002155719,1.002031893,1.001978555,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225
RAS,PCH,HCL,0.98995819,0.988766774,0.991738238,0.988559601,0.990799269,0.997270463,0.998030992,0.997832678,0.998116612,0.999288107,1.002943044,1.004227902,1.004544912,1.004486489,1.004302345,1.004101306,1.003895046,1.003725355,1.003515893,1.003167668,1.002466335,1.002155719,1.002031893,1.001978556,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226
RAS,PCH,GDO,0.989958176,0.988766768,0.991738235,0.9885596,0.990799268,0.997270462,0.99803099,0.997832677,0.998116611,0.999288108,1.002943044,1.004227904,1.004544914,1.004486489,1.004302344,1.004101304,1.003895044,1.003725354,1.003515894,1.003167669,1.002466336,1.002155719,1.002031893,1.001978555,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225
RAS,PCH,RFO,0.98995818,0.98876677,0.991738236,0.9885596,0.990799268,0.997270462,0.998030991,0.997832677,0.998116612,0.999288107,1.002943044,1.004227903,1.004544913,1.004486489,1.004302344,1.004101305,1.003895045,1.003725354,1.003515894,1.003167669,1.002466336,1.002155719,1.002031893,1.001978555,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226,1.001956226
RAS,PCH,LPG,0.989958183,0.988766772,0.991738237,0.9885596,0.990799268,0.997270462,0.998030991,0.997832677,0.998116612,0.999288108,1.002943044,1.004227903,1.004544913,1.004486489,1.004302344,1.004101304,1.003895044,1.003725354,1.003515894,1.003167669,1.002466336,1.002155719,1.002031893,1.001978555,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225,1.001956225
RAS,PCH,OLQ,0.940014975,0.969690168,0.98445163,0.98577638,0.989736213,0.996864431,0.997875912,0.997773445,0.998093994,0.999279469,1.002939746,1.004226645,1.004544435,1.004486309,1.004302281,1.004101295,1.00389504,1.003725351,1.00351589,1.00316766,1.002466311,1.002155707,1.002031883,1.001978537,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181,1.001956181
RAS,PCH,NGS,0.989958191,0.988766776,0.99173824,0.988559602,0.990799269,0.997270462,0.998030991,0.997832677,0.998116612,0.999288108,1.002943044,1.004227904,1.004544914,1.00448649,1.004302344,1.004101304,1.003895044,1.003725355,1.003515895,1.003167669,1.002466337,1.002155717,1.002031895,1.001978555,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224
RAS,PCH,OGS,0.989958197,0.988766781,0.991738243,0.988559604,0.990799269,0.997270461,0.998030988,0.997832676,0.998116611,0.999288108,1.002943046,1.004227905,1.004544915,1.00448649,1.004302343,1.004101302,1.003895042,1.003725353,1.003515894,1.003167671,1.002466338,1.00215572,1.002031893,1.001978554,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224,1.001956224
RAS,NEN,LGN,1.005837677,1.004565126,1.007293332,1.002856489,1.00269434,1.00331202,1.001575541,1.000256766,0.999721495,0.999717146,1.000880533,1.001226279,1.001245915,1.001093415,1.000769132,1.000118108,0.999765726,0.999558609,0.999375989,0.99913934,0.998727916,0.998538506,0.998465701,0.99843595,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363,0.998424363
RAS,NEN,HCL,1.005837678,1.004565126,1.007293326,1.002856476,1.002694322,1.003312002,1.001575529,1.00025676,0.999721491,0.99971714,1.000880523,1.001226264,1.001245901,1.001093404,1.000769128,1.00011811,0.999765733,0.999558617,0.999375995,0.999139343,0.998727917,0.998538506,0.998465703,0.998435955,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371,0.998424371
