dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,IS,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,NF,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,CH,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,BM,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,PP,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,FD,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,EN,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,TX,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,OE,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,OI,1,1,1,1,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.040474811,1.04,1.04,1.0296,1.039896,1.039896,1.039896,1.039896,1.039896,1.03469652,1.029523037,1.024375422,1.019253545,1.014157277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAR,IS,1,1,1,1,0.980780452,0.967762141,0.986247427,1.009577329,1.047767232,1.09065174,1.11818937,1.12078313,1.035,1.0143,1.0000998,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.991118904,0.986163309,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819
MAR,NF,1,1,1,1,0.980780452,0.967762141,0.986247427,1.009577329,1.047767232,1.09065174,1.11818937,1.12078313,1.035,1.0143,1.0000998,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.991118904,0.986163309,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819
MAR,CH,1,1,1,1,0.980780452,0.967762141,0.986247427,1.009577329,1.047767232,1.09065174,1.11818937,1.12078313,1.035,1.0143,1.0000998,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.996099401,0.991118904,0.986163309,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819,0.983204819
