dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,GSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,GDO,0.041167784,0.040127558,0.037383178,0.033258081,0.0309733,0.029256479,0.029357917,0.0708407,0.076289171,0.083313754,0.098408227,0.063472723,0.061612713,0.051174155,0.051001196,0.051962385,0.053906858,0.055552003,0.057923793,0.064226222,0.06714022,0.077491929,0.081218609,0.081179235,0.081132586,0.08116211,0.081166499,0.082054466,0.064226222,0.06390509,0.063585565,0.063267637,0.062951299,0.062636542,0.06232336,0.062011743,0.061701684,0.061393176,0.06108621,0.060780779,0.060476875,0.060174491,0.059873618,0.05957425,0.059276379,0.058979997,0.058685097,0.058391671,0.058099713,0.057809215,0.057520168,0.057232568,0.056946405,0.056661673,0.056378364,0.056096473,0.05581599,0.05553691,0.055259226,0.05498293,0.054708015,0.055820665,0.055695583,0.05558824,0.055500448,0.055434223,0.055391804,0.055375681,0.055388621,0.055433698,0.055514329,0.055480292,0.055456371,0.055441719,0.055435193,0.055435301,0.055440134,0.055447295,0.055453815,0.05545605,0.055449574,0.055446161,0.055445027,0.055445394,0.055446528,0.055447775,0.055448624,0.055448772,0.055448212,0.055447341,0.055447093
RAS,RFO,0.035360563,0.035116011,0.036217395,0.033961671,0.033126294,0.034151375,0.032482279,0.023714374,0.024429338,0.023081624,0.038834857,0.020874988,0.022164303,0.012382305,0.012776754,0.013218876,0.01352043,0.013556402,0.014802099,0.014838261,0.019202157,0.01940435,0.01830102,0.017179521,0.018770698,0.015316886,0.026294676,0.022368952,0.022368952,0.022257107,0.022145821,0.022035092,0.021924917,0.021815292,0.021706216,0.021597685,0.021489696,0.021382248,0.021275337,0.02116896,0.021063115,0.0209578,0.020853011,0.020748745,0.020645002,0.020541777,0.020439068,0.020336873,0.020235188,0.020134012,0.020033342,0.019933175,0.01983351,0.019734342,0.01963567,0.019537492,0.019439805,0.019342605,0.019245892,0.019149663,0.019053915,0.019441433,0.019397869,0.019360483,0.019329906,0.019306841,0.019292067,0.019286452,0.019290959,0.019306658,0.019334741,0.019322886,0.019314555,0.019309452,0.019307179,0.019307217,0.0193089,0.019311394,0.019313665,0.019314443,0.019312188,0.019310999,0.019310604,0.019310732,0.019311127,0.019311561,0.019311857,0.019311908,0.019311713,0.01931141,0.019311323
RAS,LPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OLQ,0.057586044,0.063031643,0.071956993,0.071764761,0.099094068,0.119317357,0.12858645,0.133394877,0.147131757,0.147425325,0.132005558,0.174656811,0.185621355,0.269478986,0.325281511,0.542600897,0.994487321,1.206052801,1.225069252,1.043902439,0.353343303,0.357330782,0.475272162,1.993224932,3.406741573,2.236255572,2.099415205,2.217948718,0.12,0.1188,0.117612,0.11643588,0.115271521,0.114118806,0.112977618,0.111847842,0.110729363,0.10962207,0.108525849,0.107440591,0.106366185,0.105302523,0.104249498,0.103207003,0.102174933,0.101153183,0.100141651,0.099140235,0.098148833,0.097167344,0.096195671,0.095233714,0.094281377,0.093338563,0.092405177,0.091481126,0.090566314,0.089660651,0.088764045,0.087876404,0.08699764,0.090596811,0.090187415,0.089837287,0.089551966,0.089337615,0.089201093,0.089150031,0.089192918,0.089339197,0.08959937,0.089488544,0.089410891,0.089363514,0.089342575,0.089343126,0.089358907,0.089382116,0.089403138,0.089410242,0.089389228,0.089378193,0.08937456,0.089375787,0.089379477,0.089383516,0.089386251,0.08938671,0.089384885,0.089382068,0.089381272
RAS,NGS,0.051080141,0.050020904,0.047096685,0.041031081,0.059036477,0.074286548,0.065867025,0.061709601,0.072188558,0.069047016,0.115741992,0.10941143,0.077955118,0.121624865,0.113036984,0.092805421,0.086698884,0.084617253,0.094006034,0.09175624,0.114020416,0.11029383,0.110287278,0.110289885,0.110290228,0.121318111,0.121308599,0.12109519,0.09175624,0.091297459,0.090840971,0.090386767,0.089934833,0.089485159,0.089037733,0.088592544,0.088149581,0.087708833,0.087270289,0.086833938,0.086399768,0.085967769,0.08553793,0.085110241,0.08468469,0.084261266,0.08383996,0.08342076,0.083003656,0.082588638,0.082175695,0.081764816,0.081355992,0.080949212,0.080544466,0.080141744,0.079741035,0.07934233,0.078945618,0.07855089,0.078158136,0.079747714,0.079569016,0.079415661,0.079290238,0.079195627,0.079135026,0.079111992,0.079130478,0.079194876,0.07931007,0.079261443,0.079227268,0.079206335,0.079197013,0.079197167,0.079204071,0.079214302,0.079223616,0.079226809,0.079217558,0.079212682,0.079211061,0.079211587,0.079213206,0.079214988,0.079216201,0.079216412,0.079215612,0.079214367,0.079214013
RAS,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
