dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,LHYD,0.071967441,0.074770697,0.077573953,0.080377209,0.083180465,0.08598372,0.088786976,0.091590232,0.094393488,0.097196744,0.1,0.1,0.102,0.104,0.106,0.108,0.11,0.112,0.114,0.116,0.118,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
RAS,SHYD,0.071967441,0.074770697,0.077573953,0.080377209,0.083180465,0.08598372,0.088786976,0.091590232,0.094393488,0.097196744,0.1,0.1,0.102,0.104,0.106,0.108,0.11,0.112,0.114,0.116,0.118,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
RAS,WND,0.24,0.242,0.244,0.246,0.248,0.25,0.252,0.254,0.256,0.258,0.26,0.26,0.262,0.264,0.266,0.268,0.27,0.272,0.274,0.276,0.278,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
RAS,WNO,0.3,0.302,0.304,0.306,0.308,0.31,0.312,0.314,0.316,0.318,0.32,0.32,0.321,0.322,0.323,0.324,0.325,0.326,0.327,0.328,0.329,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
RAS,SOL,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
RAS,DPV,0.24,0.242,0.244,0.246,0.248,0.25,0.252,0.254,0.256,0.258,0.26,0.26,0.262,0.264,0.266,0.268,0.27,0.272,0.274,0.276,0.278,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
RAS,BMSWAS,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
RAS,OTHREN,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
MAR,LHYD,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279,2.853881279
MAR,SHYD,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
MAR,WND,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018,1826.484018
MAR,WNO,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037,365.2968037
MAR,SOL,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918,4280.821918
