dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,HCL,0,0,0,0,0,0,0,0,0,0.024,0.0357,0.0228,0.0228,0.0228,0.0203,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CRO,46.227,46.1447,46.6029,48.2874,47.241,47.3334,45.8013,44.4967,43.6494,42.5155,36.1076,35.369,35.2207,36.1554,33.8968,32.7589,32.4947,33.4396,35.4188,34.5308,35.2308,34.7127,35.0296,35.0398,35.7114,35.114,32.2367,32.1534,32.1534,32.474934,32.79968334,33.12768017,33.45895698,33.79354654,34.13148201,34.47279683,34.8175248,35.16570005,35.51735705,35.87253062,36.23125592,36.59356848,36.95950417,37.32909921,37.7023902,38.0794141,38.46020824,38.84481033,39.23325843,39.62559101,40.02184692,40.42206539,40.82628605,41.23454891,41.6468944,42.06336334,42.48399698,42.90883694,43.33792531,43.77130457,44.20901761,43.20901761,42.20901761,41.20901761,40.20901761,39.20901761,38.20901761,37.20901761,36.20901761,35.20901761,34.20901761,33.20901761,32.20901761,31.20901761,30.20901761,29.20901761,28.20901761,27.20901761,26.20901761,25.20901761,24.20901761,23.20901761,22.20901761,21.20901761,20.20901761,19.20901761,18.20901761,17.20901761,16.20901761,15.20901761,14.20901761
*RAS,GSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,RFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*RAS,OLQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,NGS,6.7306,7.4149,7.9857,9.427,9.7787,10.2845,10.6381,10.9043,11.222,14.2164,14.4321,18.9578,21.2648,23.3324,25.8411,42.6182,45.8345,48.9971,50.8478,50.6941,46.3952,46.047,44.1837,39.2638,35.1654,31.2781,34.77,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,42.8638,41.8638,40.8638,39.8638,38.8638,37.8638,36.8638,35.8638,34.8638,33.8638,32.8638,31.8638,30.8638,29.8638,28.8638,27.8638,26.8638,25.8638,24.8638,23.8638,22.8638,21.8638,20.8638,19.8638,18.8638,17.8638,16.8638,15.8638,14.8638,13.8638,12.8638
*RAS,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,NUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
