dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,HCL,0,0,0,0,0,0,0,0,0,0.000842862,0.001414735,0.000778875,0.000781561,0.000754243,0.000639821,0.000480838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,CRO,1.79710066,1.757592032,1.807504945,1.766866452,1.670633335,1.628838663,1.516619425,1.445791784,1.386809088,1.493113112,1.430887994,1.208246507,1.207329531,1.196050151,1.068369495,1.022839818,1.01850215,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,7.914708918,10.11382317,9.811901868,9.280144651,9.735289896,9.609112138,9.541515562,9.628639199,9.593088966,9.587747909,9.603158691,9.594665189,9.595190596,9.597671492,9.595842426,9.596234838,9.596582919,9.596220061,9.596345939,9.596382973,9.596316324,9.596348412,9.596349236,9.596337991,9.596345213,9.596344147,9.59634245,9.596343937,9.596343511,9.596343299
RAS,GSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,RFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,OLQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,NGS,1.000014561,0.99999973,0.999987227,0.99998918,1.000020248,0.999999806,0.999999812,0.999990646,0.999990911,1.000006893,0.999999861,0.999999894,1.000004609,0.999999914,1.131802912,1.421677569,1.421044058,1.382489793,1.397113255,1.418826328,1.295966095,1.180035663,1.129480547,1.045092133,1.007604527,0.850833838,0.838892534,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052,0.950539052
RAS,OGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAS,NUC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,STE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,HYD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,BMSWAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,WND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,SOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,GEO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RAS,ELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,LGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,HCL,0,0,0,0,0,0,0,0,0,0.000842862,0.001414735,0.000778875,0.000781561,0.000754243,0.000639821,0.000480838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,CRO,1.79710066,1.757592032,1.807504945,1.766866452,1.670633335,1.628838663,1.516619425,1.445791784,1.386809088,1.493113112,1.430887994,1.208246507,1.207329531,1.196050151,1.068369495,1.022839818,1.01850215,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,1.011803507,1.13159467,1.141615946,1.20123155,1.311105571,1.290585947,1.346291721,1.329790839,1.317366168,11.01958707,11.40717352,7.914708918,10.11382317,9.811901868,9.280144651,9.735289896,9.609112138,9.541515562,9.628639199,9.593088966,9.587747909,9.603158691,9.594665189,9.595190596,9.597671492,9.595842426,9.596234838,9.596582919,9.596220061,9.596345939,9.596382973,9.596316324,9.596348412,9.596349236,9.596337991,9.596345213,9.596344147,9.59634245,9.596343937,9.596343511,9.596343299
MAR,GSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,GDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
