dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RAS,CRO,0.070101,0.068701,-0.052933667,-0.034628056,-0.025640046,-0.018316705,-0.001213921,0.010671899,0.020343416,0.008130569,0.001004131,-0.003436565,-0.005916588,-0.00513281,0.070101,0.068701,-0.052933667,-0.034628056,-0.025640046,-0.018316705,-0.001213921,0.010671899,0.020343416,0.008130569,0.001004131,-0.003436565,-0.005916588,-0.00513281,-0.052933667,-0.034628056,-0.025640046,-0.018316705,-0.001213921,0.010671899,0.020343416,0.008130569,0.001004131,-0.003436565,-0.005916588,-0.00513281,-0.002498692,0.001308326,0.002445366,0.002205161,0.001264873,6.79628E-05,-0.000798833,-0.001082143,-0.000683731,-0.000162215,0.000232348,0.000404435,0.000348356,0.000157158,-4.93919E-05,-0.000155115,-0.000156298,-9.15241E-05,-8.8642E-06,5.06726E-05,6.84202E-05,4.87848E-05,1.48015E-05,-1.37151E-05,-2.66833E-05,-2.37134E-05,-1.13158E-05,1.97355E-06,9.77543E-06,1.06131E-05,6.5584E-06,1.01812E-06,-3.10381E-06,-4.47247E-06,-3.39813E-06,-1.20254E-06,7.66737E-07,1.73201E-06,1.61303E-06,8.26893E-07,-5.63344E-08,-6.13301E-07,-7.11507E-07,-4.65133E-07,-9.89417E-08,1.86387E-07,2.93138E-07,2.34893E-07,9.35272E-08,-4.06452E-08,-1.11393E-07
RAS,GSL,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,1.12305E-08,-1.09863E-08,-1.2207E-10,5.5542E-09,-2.71606E-09,-1.41907E-09,2.06757E-09,-3.24249E-10,-8.71658E-10,5.97954E-10,1.36852E-10,-3.67403E-10,1.15275E-10,1.26064E-10,-1.2067E-10,-2.69711E-12,6.16834E-11,-2.94931E-11,-1.60951E-11,2.27941E-11,-3.3495E-12,-9.72231E-12,6.53591E-12,1.5932E-12,-4.06455E-12,1.23568E-12,1.41444E-12,-1.32506E-12,-4.46908E-14,6.84874E-13,-3.20092E-13,-1.82391E-13,2.51241E-13,-3.44251E-14,-1.08408E-13,7.14166E-14,1.84958E-14,-4.49562E-14,1.32302E-14,1.5863E-14,-1.45466E-14,-6.58193E-16,7.6024E-15,-3.4721E-15,-2.06515E-15,2.76863E-15,-3.51739E-16,-1.20844E-15,7.80091E-16,2.14176E-16,-4.97134E-16
RAS,GDO,-0.073599,-0.072099,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,-0.073599,-0.072099,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,-0.001303502,-0.000311366,0.00068529,0.000309859,-0.000227928,-0.000255741,5.79363E-05,0.000141911,1.86312E-05,-7.28261E-05,-2.92386E-05,2.78112E-05,2.47512E-05,-7.77457E-06,-1.49293E-05,-6.8245E-07,7.79542E-06,2.60543E-06,-3.23947E-06,-2.38713E-06,1.00706E-06,1.53985E-06,-5.32582E-08,-8.31215E-07,-2.18458E-07,3.67644E-07,2.27343E-07,-1.2551E-07,-1.56492E-07,1.82196E-08,8.79274E-08,1.67817E-08,-4.09763E-08,-2.12443E-08,1.51463E-08,1.56914E-08,-3.1978E-09,-9.2133E-09,-1.09344E-09,4.50152E-09,1.93508E-09,-1.78105E-09,-1.55185E-09,4.6594E-10,9.55652E-10,4.34183E-11,-4.88337E-10,-1.70245E-10,2.05054E-10,1.51176E-10,-6.19952E-11
RAS,RFO,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,1.12305E-08,-1.09863E-08,-1.2207E-10,5.5542E-09,-2.71606E-09,-1.41907E-09,2.06757E-09,-3.24249E-10,-8.71658E-10,5.97954E-10,1.36852E-10,-3.67403E-10,1.15275E-10,1.26064E-10,-1.2067E-10,-2.69711E-12,6.16834E-11,-2.94931E-11,-1.60951E-11,2.27941E-11,-3.3495E-12,-9.72231E-12,6.53591E-12,1.5932E-12,-4.06455E-12,1.23568E-12,1.41444E-12,-1.32506E-12,-4.46908E-14,6.84874E-13,-3.20092E-13,-1.82391E-13,2.51241E-13,-3.44251E-14,-1.08408E-13,7.14166E-14,1.84958E-14,-4.49562E-14,1.32302E-14,1.5863E-14,-1.45466E-14,-6.58193E-16,7.6024E-15,-3.4721E-15,-2.06515E-15,2.76863E-15,-3.51739E-16,-1.20844E-15,7.80091E-16,2.14176E-16,-4.97134E-16
RAS,LPG,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,1.12305E-08,-1.09863E-08,-1.2207E-10,5.5542E-09,-2.71606E-09,-1.41907E-09,2.06757E-09,-3.24249E-10,-8.71658E-10,5.97954E-10,1.36852E-10,-3.67403E-10,1.15275E-10,1.26064E-10,-1.2067E-10,-2.69711E-12,6.16834E-11,-2.94931E-11,-1.60951E-11,2.27941E-11,-3.3495E-12,-9.72231E-12,6.53591E-12,1.5932E-12,-4.06455E-12,1.23568E-12,1.41444E-12,-1.32506E-12,-4.46908E-14,6.84874E-13,-3.20092E-13,-1.82391E-13,2.51241E-13,-3.44251E-14,-1.08408E-13,7.14166E-14,1.84958E-14,-4.49562E-14,1.32302E-14,1.5863E-14,-1.45466E-14,-6.58193E-16,7.6024E-15,-3.4721E-15,-2.06515E-15,2.76863E-15,-3.51739E-16,-1.20844E-15,7.80091E-16,2.14176E-16,-4.97134E-16
RAS,KRS,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,1.12305E-08,-1.09863E-08,-1.2207E-10,5.5542E-09,-2.71606E-09,-1.41907E-09,2.06757E-09,-3.24249E-10,-8.71658E-10,5.97954E-10,1.36852E-10,-3.67403E-10,1.15275E-10,1.26064E-10,-1.2067E-10,-2.69711E-12,6.16834E-11,-2.94931E-11,-1.60951E-11,2.27941E-11,-3.3495E-12,-9.72231E-12,6.53591E-12,1.5932E-12,-4.06455E-12,1.23568E-12,1.41444E-12,-1.32506E-12,-4.46908E-14,6.84874E-13,-3.20092E-13,-1.82391E-13,2.51241E-13,-3.44251E-14,-1.08408E-13,7.14166E-14,1.84958E-14,-4.49562E-14,1.32302E-14,1.5863E-14,-1.45466E-14,-6.58193E-16,7.6024E-15,-3.4721E-15,-2.06515E-15,2.76863E-15,-3.51739E-16,-1.20844E-15,7.80091E-16,2.14176E-16,-4.97134E-16
RAS,OLQ,-0.073599,-0.072099,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,-0.073599,-0.072099,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,-0.001303502,-0.000311366,0.00068529,0.000309859,-0.000227928,-0.000255741,5.79363E-05,0.000141911,1.86312E-05,-7.28261E-05,-2.92386E-05,2.78112E-05,2.47512E-05,-7.77457E-06,-1.49293E-05,-6.8245E-07,7.79542E-06,2.60543E-06,-3.23947E-06,-2.38713E-06,1.00706E-06,1.53985E-06,-5.32582E-08,-8.31215E-07,-2.18458E-07,3.67644E-07,2.27343E-07,-1.2551E-07,-1.56492E-07,1.82196E-08,8.79274E-08,1.67817E-08,-4.09763E-08,-2.12443E-08,1.51463E-08,1.56914E-08,-3.1978E-09,-9.2133E-09,-1.09344E-09,4.50152E-09,1.93508E-09,-1.78105E-09,-1.55185E-09,4.6594E-10,9.55652E-10,4.34183E-11,-4.88337E-10,-1.70245E-10,2.05054E-10,1.51176E-10,-6.19952E-11
MAR,CRO,0.070101,0.068701,-0.052933667,-0.034628056,-0.025640046,-0.018316705,-0.001213921,0.010671899,0.020343416,0.008130569,0.001004131,-0.003436565,-0.005916588,-0.00513281,0.070101,0.068701,-0.052933667,-0.034628056,-0.025640046,-0.018316705,-0.001213921,0.010671899,0.020343416,0.008130569,0.001004131,-0.003436565,-0.005916588,-0.00513281,-0.052933667,-0.034628056,-0.025640046,-0.018316705,-0.001213921,0.010671899,0.020343416,0.008130569,0.001004131,-0.003436565,-0.005916588,-0.00513281,-0.002498692,0.001308326,0.002445366,0.002205161,0.001264873,6.79628E-05,-0.000798833,-0.001082143,-0.000683731,-0.000162215,0.000232348,0.000404435,0.000348356,0.000157158,-4.93919E-05,-0.000155115,-0.000156298,-9.15241E-05,-8.8642E-06,5.06726E-05,6.84202E-05,4.87848E-05,1.48015E-05,-1.37151E-05,-2.66833E-05,-2.37134E-05,-1.13158E-05,1.97355E-06,9.77543E-06,1.06131E-05,6.5584E-06,1.01812E-06,-3.10381E-06,-4.47247E-06,-3.39813E-06,-1.20254E-06,7.66737E-07,1.73201E-06,1.61303E-06,8.26893E-07,-5.63344E-08,-6.13301E-07,-7.11507E-07,-4.65133E-07,-9.89417E-08,1.86387E-07,2.93138E-07,2.34893E-07,9.35272E-08,-4.06452E-08,-1.11393E-07
MAR,GSL,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,0.000001,0.000001,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,-0.000001,0,0.0000005,-0.00000025,-0.000000125,1.875E-07,-3.125E-08,-7.8125E-08,5.46875E-08,1.17188E-08,-3.32031E-08,1.07422E-08,1.12305E-08,-1.09863E-08,-1.2207E-10,5.5542E-09,-2.71606E-09,-1.41907E-09,2.06757E-09,-3.24249E-10,-8.71658E-10,5.97954E-10,1.36852E-10,-3.67403E-10,1.15275E-10,1.26064E-10,-1.2067E-10,-2.69711E-12,6.16834E-11,-2.94931E-11,-1.60951E-11,2.27941E-11,-3.3495E-12,-9.72231E-12,6.53591E-12,1.5932E-12,-4.06455E-12,1.23568E-12,1.41444E-12,-1.32506E-12,-4.46908E-14,6.84874E-13,-3.20092E-13,-1.82391E-13,2.51241E-13,-3.44251E-14,-1.08408E-13,7.14166E-14,1.84958E-14,-4.49562E-14,1.32302E-14,1.5863E-14,-1.45466E-14,-6.58193E-16,7.6024E-15,-3.4721E-15,-2.06515E-15,2.76863E-15,-3.51739E-16,-1.20844E-15,7.80091E-16,2.14176E-16,-4.97134E-16
MAR,GDO,-0.073599,-0.072099,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,-0.073599,-0.072099,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,0.071666,0.024677333,-0.008081444,-0.02942063,0.004274914,0.01107572,0.004689999,-0.006680211,-0.003028503,0.001672905,0.002678603,-0.000441002,-0.001303502,-0.000311366,0.00068529,0.000309859,-0.000227928,-0.000255741,5.79363E-05,0.000141911,1.86312E-05,-7.28261E-05,-2.92386E-05,2.78112E-05,2.47512E-05,-7.77457E-06,-1.49293E-05,-6.8245E-07,7.79542E-06,2.60543E-06,-3.23947E-06,-2.38713E-06,1.00706E-06,1.53985E-06,-5.32582E-08,-8.31215E-07,-2.18458E-07,3.67644E-07,2.27343E-07,-1.2551E-07,-1.56492E-07,1.82196E-08,8.79274E-08,1.67817E-08,-4.09763E-08,-2.12443E-08,1.51463E-08,1.56914E-08,-3.1978E-09,-9.2133E-09,-1.09344E-09,4.50152E-09,1.93508E-09,-1.78105E-09,-1.55185E-09,4.6594E-10,9.55652E-10,4.34183E-11,-4.88337E-10,-1.70245E-10,2.05054E-10,1.51176E-10,-6.19952E-11
