dummy,dummy,2015,2016,2017,2018,2019,2020,2021
RAS,KM_VEH,114596,114596,123654,122734,124200,127000,130549
RWO,KM_VEH,19323.6917748918,19323.6917748918,18614.8917748918,18685.9722943723,19173.0831168831,18982.0623376623,19647.5056277056
REU,KM_VEH,15470.4857142857,15470.4857142857,16918.0571428571,15653.2,15767.9714285714,16276.2,17342.5714285714
REP,KM_VEH,7819.82417582418,7819.82417582418,7818.76556776557,7770.29304029304,7717.01465201466,7636.98168498169,7771.64835164835
RAF,KM_VEH,1999.36477987421,1999.36477987421,2260.25157232704,2575.7358490566,2625.83018867925,2750.64779874214,2761.46540880503
RLA,KM_VEH,14295.9285714286,14295.9285714286,14164.2914285714,13915.2657142857,13630.3942857143,13638.1171428571,13692.1771428572
ARG,KM_VEH,14704.7142857143,14704.7142857143,14596.2857142857,14352.1428571429,14072.8571428571,14080.4285714286,14133.4285714286
OCE,KM_VEH,95829.5,95829.5,102984.625,102679.375,103893.75,105974.625,108867.125
AUT,KM_VEH,12235,12235,12521,12810,13087,12928,13810
BEL,KM_VEH,20050,20050,20849,20849,20849,20849,20849
BRA,KM_VEH,14704.7142857143,14704.7142857143,14596.2857142857,14352.1428571429,14072.8571428571,14080.4285714286,14133.4285714286
BGR,KM_VEH,2831,2831,2739,2121,1638,2458,2757
CAN,KM_VEH,39530,39530,40976.5,42515.5,42975,42898.5,43821.5
CHA,KM_VEH,10507.5,10507.5,10558,10664,10783.5,10542.5,10849
HRV,KM_VEH,2030,2030,2290,2570,2860,2610,3170
CYP,KM_VEH,23442.1818181818,23442.1818181818,23603.1818181818,24009.9545454545,24291.1363636364,22478.2272727273,24391.9545454545
CZE,KM_VEH,23442.1818181818,23442.1818181818,23603.1818181818,24009.9545454545,24291.1363636364,22478.2272727273,24391.9545454545
DNK,KM_VEH,9246,9246,9358,9320,9190,8847,9257
EGY,KM_VEH,7696,7696,7702.33333333333,7660.33333333333,7617.66666666667,7515.66666666667,7659
EST,KM_VEH,1463,1463,1643,1982,1994,1720,1886
FIN,KM_VEH,6925,6925,7129,7245,7248,7000,7293
FRA,KM_VEH,116323,116323,118675,121217,122489,107000,116000
DEU,KM_VEH,98300,98300,88900,90700,91800,88200,92600
GRC,KM_VEH,23442.1818181818,23442.1818181818,23603.1818181818,24009.9545454545,24291.1363636364,22478.2272727273,24391.9545454545
HUN,KM_VEH,10824,10824,11415,11820,12055,10844,12244
NSI,KM_VEH,15507.6,15507.6,16669.1,15719.85,15846.45,16187.1,17137.75
IND,KM_VEH,39847.0856409719,39847.0856409719,41770.3451455802,41630.5795402178,41956.9264139087,42405.0570224131,43772.5522360704
IDN,KM_VEH,114596,114596,123654,122734,124200,127000,130549
IRN,KM_VEH,7696,7696,7702.33333333333,7660.33333333333,7617.66666666667,7515.66666666667,7659
IRL,KM_VEH,8915,8915,9287,9306,9356,8510,10005
ISR,KM_VEH,8730,8730,8749,8623,8495,8189,8619
ITA,KM_VEH,23442.1818181818,23442.1818181818,23603.1818181818,24009.9545454545,24291.1363636364,22478.2272727273,24391.9545454545
JPN,KM_VEH,178975,178975,178975,178975,178975,178975,178975
KOR,KM_VEH,114596,114596,123654,122734,124200,127000,130549
LVA,KM_VEH,2846,2846,3008,3064,3074,3134,2825
LTU,KM_VEH,2583,2583,2604,2656,2742,2643,2799
LUX,KM_VEH,23442.1818181818,23442.1818181818,23603.1818181818,24009.9545454545,24291.1363636364,22478.2272727273,24391.9545454545
MLT,KM_VEH,605,605,586,523,633,461,502
MEX,KM_VEH,35144,35144,36196,36196,36196,36196,36196
