dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
*CTHLGN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
*CTHHCL,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
*CTHRFO,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625
*CTHNGS,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
CTHBMSWAS,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043
ATHLGN,4.157970589,4.014954513,2.695121951,3.622682351,3.444252938,3.25401908,3.440318123,3.379530047,3.35795575,3.392601307,3.376695701,3.37575092,3.381682643,3.378043088,3.378492217,3.379405982,3.378647096,3.378848432,3.37896717,3.378820899,3.378878834,3.378888967,3.3788629,3.3788769,3.378876256,3.378872019,3.378875058,3.378874444,3.37887384,3.378874448,3.378874244,3.378874177,3.37887429,3.378874237,3.378874235,3.378874254,3.378874242,3.378874244,3.378874246,3.378874244,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245,3.378874245
ATHHCL,3.631643158,3.511638761,3.345934959,3.496405626,3.451326449,3.431222345,3.459651473,3.447400089,3.446091302,3.451047621,3.448179671,3.448439531,3.449222275,3.448613826,3.448758544,3.448864881,3.44874575,3.448789725,3.448800119,3.448778531,3.448789458,3.44878937,3.448785786,3.448788205,3.448787787,3.448787259,3.44878775,3.448787599,3.448787536,3.448787629,3.448787588,3.448787584,3.4487876,3.448787591,3.448787592,3.448787594,3.448787592,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593,3.448787593
ATHRFO,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625,2.7625
ATHNGS,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
ATHBMSWAS,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043,3.561509043
