* description: Enerdata; Consumption
* unit: 1
* origin: calcOutput(type = "Consumption", aggregate = FALSE, file = "agriculture.csv", subtype = "agriculture") (madrat 3.3.6 | mrprom 0.1.0)
* creation date: Thu Aug  3 13:08:00 2023
dummy,dummy,Total_energy_final_consumption_of_residential_tertiary_agriculture.Mtoe,Total_final_energy_consumption_of_residential_tertiary_agriculture_with_climatic_corrections.Mtoe,Oil_final_consumption_of_residential_tertiary_agriculture.Mtoe,Heating_oil_final_consumption_of_residential_tertiary_agriculture.Mtoe,Heavy_fuel_oil_final_consumption_of_residential_tertiary_agriculture.Mtoe,Kerosene_final_consumption_of_residential_tertiary_agriculture.Mtoe,LPG_(liquified_petroleum_gas)_final_consumption_of_residential_services_agriculture.Mtoe,Gas_final_consumption_of_residential_tertiary_agriculture.Mtoe,Natural_gas_final_consumption_of_residential_tertiary_agriculture.Mtoe,Electricity_final_consumption_of_residential_tertiary_agriculture.Mtoe,Coal_and_lignite_final_consumption_of_residential_tertiary_agriculture.Mtoe,Coal_final_consumption_of_residential_tertiary_agriculture.Mtoe,Bituminous_coal_final_consumption_of_residential_tertiary_agriculture.Mtoe,Sub-situminous_coal_final_consumption_of_residential_tertiary_agriculture.Mtoe,Lignite_final_consumption_of_residential_tertiary_agriculture.Mtoe,Peat_final_consumption_of_residential_tertiary_agriculture.Mtoe,Heat_final_consumption_of_residential_tertiary_agriculture.Mtoe,Biomass_final_consumption_of_residential_tertiary_agriculture.Mtoe,Fire_wood_final_consumption_of_residential_tertiary_agriculture.Mtoe,Industrial_waste_final_consumption_of_residential_tertiary_agriculture.Mtoe,Total_energy_final_consumption_of_agriculture.Mtoe,Oil_final_consumption_of_agriculture.Mtoe,Diesel_heating_oil_final_consumption_of_agriculture.Mtoe,Gas_final_consumption_of_agriculture.Mtoe,Natural_gas_final_consumption_of_agriculture.Mtoe,Electricity_final_consumption_of_agriculture.Mtoe,Coal_and_lignite_final_consumption_of_agriculture.Mtoe,Biomass_final_consumption_of_agriculture.Mtoe,Industrial_waste_final_consumption_of_agriculture.Mtoe,Total_energy_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Oil_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Diesel_heating_oil_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Gas_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Natural_gas_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Coal_and_lignite_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Heat_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Biomass_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Industrial_waste_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Oil_final_consumption_of_residential_tertiary_agriculture.Mt,Oil_products_final_consumption_of_residential_services_agriculture.Mt,Oil_products_final_consumption_of_agriculture.Mt,Oil_products_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mt,Motor_gasoline_consumption_of_agriculture.Mt,Heating_oil_final_consumption_of_residential_tertiary_agriculture.Mt,Diesel_heating_oil_final_consumption_of_agriculture.Mt,Diesel_heating_oil_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mt,Heavy_fuel_oil_final_consumption_of_residential_tertiary_agriculture.Mt,Heavy_fuel_oil_final_consumption_of_agriculture.Mt,Heavy_fuel_oil_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mt,LPG_(liquified_petroleum_gas)_final_consumption_of_residential_services_agriculture.Mt,LPG_(liquified_petroleum_gas)_final_consumption_of_agriculture.Mt,LPG_(liquified_petroleum_gas)_final_consumption_of_residential_services_agriculture_-_unspecified.Mt,Kerosene_final_consumption_of_residential_tertiary_agriculture.Mt,Kerosene_final_consumption_of_agriculture.Mt,Lignite_final_consumption_of_residential_tertiary_agriculture.Mt,Natural_gas_final_consumption_of_residential_tertiary_agriculture.mcm,Natural_gas_final_consumption_of_agriculture.mcm,Natural_gas_final_consumption_of_residential_tertiary_agriculture_-_unspecified.mcm,Peat_final_consumption_of_residential_tertiary_agriculture.Mt,Heat_final_consumption_of_residential_tertiary_agriculture.PJ,Heat_final_consumption_of_residential_tertiary_agriculture_-_unspecified.PJ,Share_of_agriculture_sector_in_oil_products_consumption.%,Share_of_agriculture_in_gas_consumption.%,Share_of_agriculture_in_electricity_consumption.%,Share_of_agriculture_in_coal_consumption.%,Share_of_agriculture_in_final_consumption.%,Share_of_coal_and_lignite_in_agriculture_consumption.%,Share_of_oil_in_agriculture_consumption.%,Share_of_gas_in_agriculture_consumption.%,Share_of_electricity_in_agriculture_consumption.%,Share_of_biomass_in_agriculture_consumption.%,Electricity_final_consumption_of_residential_tertiary_agriculture.GWh,Electricity_final_consumption_of_agriculture.GWh,Manufactured_gas_final_consumption_of_residential_tertiary_agriculture.Mtoe,Municipal_waste_final_consumption_of_residential_tertiary_agriculture.Mtoe,Biogas_final_consumption_of_residential_tertiary_agriculture.Mtoe,Heat_final_consumption_of_agriculture.Mtoe,Municipal_waste_final_consumption_of_agriculture.Mtoe,Biogas_final_consumption_of_agriculture.Mtoe,Electricity_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Municipal_waste_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Biogas_final_consumption_of_residential_tertiary_agriculture_-_unspecified.Mtoe,Manufactured_gas_final_consumption_of_residential_tertiary_agriculture.mcm,Share_of_heat_in_agriculture_consumption.%,Manufactured_gas_consumption_of_agriculture.mcm,Oil_products_final_consumption_of_residential_tertiary_agriculture.Mtoe,Total_coal_final_consumption_of_residential_tertiary_agriculture.Mtoe
y1990,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y1990,AFG,0.2108,NA,0.0257,0,0,0.0257,0,0,0,0.0347,0.0693,0.0693,NA,NA,0,0,0,0.0811,0.0524,NA,0.0028,NA,NA,NA,NA,0.0028,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0.025,0.025,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0.025,NA,0,0,NA,NA,0,0,NA,NA,NA,3.5674,NA,0.2976,NA,NA,NA,100,NA,404,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0257,0.0693
y1990,AGO,3.3697,NA,0.2171,0.1644,0.0019,0.001,0.0497,0,0,0.0372,0,0,NA,NA,0,0,0,3.1155,2.6307,NA,0.0092,0.0092,0.0072,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.206,0.206,0.009,0,0,0.159,0.007,0,0.002,0.002,NA,0.044,NA,NA,0.001,NA,0,0,NA,NA,0,0,NA,0.8657,NA,NA,NA,0.2021,NA,100,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2171,0
y1990,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y1990,ALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y1990,ALB,1.0102,NA,0.0945,0,0,0.0945,0,0.0396,0.0396,0.1032,0.4099,0,NA,NA,0.2819,0,0,0.363,0.363,NA,0.0025,0,0,NA,NA,0.0025,NA,0,NA,0.4404,0,0,0.0305,0.0305,0.4099,NA,NA,NA,0.092,0.092,0,0,0,0,0,0,0,0,NA,0,0,NA,0.092,0,1.199,47.3764,NA,36.5027,0,0,NA,0,NA,1.7241,NA,0.1137,NA,0,NA,100,0,1200,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0945,0
y1990,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y1990,ARE,1.2627,NA,0.1152,0,0,0,0.1152,0,0,1.1475,0,0,NA,NA,0,0,0,0,0,NA,0.0494,NA,NA,NA,NA,0.0494,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0.102,0.102,NA,NA,0,0,NA,NA,0,NA,NA,0.102,NA,NA,0,NA,0,0,NA,NA,0,0,NA,NA,NA,4.0008,NA,0.3049,NA,NA,NA,100,NA,13343,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1152,0
y1990,ARG,10.5273,NA,3.4186,1.8268,0.0461,0.4985,1.0472,5.0864,5.0864,1.6085,0,0,NA,NA,0,0,0,0.4138,0.222,NA,1.5141,1.479,1.479,NA,NA,0.0351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.274,3.274,1.45,NA,0,1.791,1.45,NA,0.047,0,NA,0.952,0,NA,0.484,NA,0,6075.636,NA,NA,0,0,NA,7.6536,NA,1.0083,NA,5.0597,NA,97.6826,NA,2.3174,NA,18703,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4186,0
y1990,ARM,2.7728,NA,0.0398,0,0,0.0123,0.0275,1.7765,1.7765,0.4574,0.245,0.245,0.245,NA,0,0,0.239,0.015,0.015,NA,0.1513,0,0,0,0,0.1513,NA,NA,NA,0.1717,0,0,0,0,NA,0.1717,NA,NA,0.037,0.037,0,0,0,0,0,0,0,NA,0,0.025,NA,0,0.012,0,0,2192.1508,0,0,0,10.008,7.188,0,0,19.4989,NA,2.3359,NA,0,0,100,NA,5319,1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0398,0.245
y1990,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y1990,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
