dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
RAS,BASELOAD,1.08949971054432,1.14626784057092,1.17755032720383,1.21527993266939,1.26596018893593,1.35517486304675,1.43738507976418,1.49822023339593,1.5979886722652
RWO,BASELOAD,3.3903435306528,3.39439889503924,3.4604728682311,3.51503955170077,3.59764563680143,3.59819488572703,3.61114417498543,3.62865966062688,3.66780675524099
REU,BASELOAD,2.34707050607341,2.35377812072868,2.38295278410231,2.40443960303504,2.46817169140383,2.44793578778695,2.45679466252324,2.46701405872408,2.47089826092699
REP,BASELOAD,2.80691319820558,3.21686241520271,3.47874384855921,3.77284080849708,3.77897694959086,3.97997923364685,4.1021747053556,4.18770453995676,4.31843153568595
RAF,BASELOAD,0.181803063642303,0.194159266504954,0.212362424382403,0.227800626412918,0.240888344123792,0.255374358623455,0.265967251797821,0.288243153122361,0.302805629064861
RLA,BASELOAD,0.412049008774751,0.422860567040213,0.437702802578155,0.451114316269918,0.464483665920812,0.480925020738323,0.520709919936618,0.531849766091778,0.557829561015957
ARG,BASELOAD,7.79891424976487,8.18670138151304,8.54666823407478,8.56798574025913,8.72948113420696,9.07052357088,9.17632152613252,9.73251615703461,10.2302701425031
OCE,BASELOAD,2.3371247256666,2.3840802798441,2.4032080457016,2.4010462886631,2.4369613589976,2.4117407294676,2.3767298536386,2.3516213665746,2.3798238247071
AUT,BASELOAD,5.29964643849336,5.60116307412792,5.64327035236512,5.71526123221368,5.68109542581576,5.67928208753136,5.68923874604784,5.5811968469208,5.67580592684088
BEL,BASELOAD,4.6435026924,4.9212827964,4.7770276716,4.6867161492,4.6284244884,4.626763794,4.61852469,4.66440394752,4.66125442128
BRA,BASELOAD,25.0080432254609,25.868358291193,27.1164247616348,27.9692892873391,28.9778733511886,30.6447326136,31.8743147773565,32.9636711131826,33.8341313313391
BGR,BASELOAD,3.0132495288,3.0270146256,3.218737932,2.6954840232,3.1631336352,2.9299476816,2.8204158744,2.7582846624,2.87780380848
CAN,BASELOAD,30.4451545477464,30.259065530088,30.80553023394,29.9142359340588,30.6324819703224,31.2712924667544,31.875319538748,31.8117194200224,31.7993289597936
CHA,BASELOAD,20.0187240563263,21.8557896976123,23.3036345700797,25.844871311175,28.1949349303426,31.003526799642,33.5212600516685,35.6810218868774,38.3733152256627
HRV,BASELOAD,2.6728261810944,2.6009881648516,2.5661412178988,2.4835456310564,2.445958932836,2.5099638802108,2.4674526033736,2.4328689485992,2.4343875998688
CYP,BASELOAD,2.1809481964224,2.1404670513796,2.0991610330988,1.9980081518564,1.952558902436,1.9442930686108,1.8974916645736,1.8610015905592,1.8750403971408
CZE,BASELOAD,5.93785598056375,5.99409774909182,6.06407428875331,6.03872370333593,5.99328580428582,5.91231609175709,5.80097984776567,5.77866716339069,5.83072915902764
DNK,BASELOAD,2.8635576155928,2.8728133992792,2.8829599845912,2.6591472540936,2.5872869476296,2.6033016094776,2.622628008144,2.5942861437192,2.6460918531144
EGY,BASELOAD,6.6982048848,7.2389604528,7.74041292,7.857047736,8.357315832,9.010007352,9.896161608,11.487660408,14.1610372416
EST,BASELOAD,2.1256614913344,2.0870869264516,2.0612708098988,2.0039074790564,1.964843535236,1.9190270194108,1.8765109149736,1.8461259848392,1.8936531123888
FIN,BASELOAD,4.0064812659072,4.046640942258,4.0591754097948,4.2510443922432,4.1010990042888,4.1258197921608,3.925446828174,4.065978537738,4.0495583542716
FRA,BASELOAD,31.7612036196,32.054668596,32.2246918404,31.788048294,31.4209125324,31.199258106,31.273627284,30.80708093952,30.89009634912
DEU,BASELOAD,36.24347348352,35.6283444119904,34.0671832159104,35.1915638422104,35.9578541504556,36.9157228083648,37.4699625261552,37.1497243209386,37.759863106854
GRC,BASELOAD,3.5729164152,3.7798852824,3.891705372,3.9640196016,3.93022768896,3.92274394344,3.92529549096,3.9453110424,3.92440737348
HUN,BASELOAD,2.3213739888,2.4824710008,2.4136809192,2.1526316676,2.208570678,2.1845244024,2.1987899604,2.2002704244,2.2256957844
NSI,BASELOAD,3.13498708102966,3.16639875130341,3.22534806039266,3.28428617085692,3.30963763061631,3.32859541309837,3.39792766545049,3.45986972996165,3.52469924837723
IND,BASELOAD,18.8349422727613,19.5378631081639,20.3558075757869,21.2140451657982,22.5284553485698,23.6460139882752,25.5490746151337,28.2949677207074,28.9757315159217
IDN,BASELOAD,5.486370689008,6.137815876456,6.621716691976,7.009527455176,7.220277452464,7.334704242232,7.41835759712,7.797259993616,8.40358330902
IRN,BASELOAD,15.3869676408,16.1456796936,17.3123303832,17.6833990553472,18.2089251288,18.373716864,18.3781389456,18.9705948912,19.34910126
IRL,BASELOAD,1.8464202324828,1.8644739599268,1.9074486323664,1.9371747435048,1.9570097378772,2.0349387961632,2.0634694631964,2.114078260896,2.143017309096
ISR,BASELOAD,2.092546682136,2.286152752536,2.420443710936,2.511704661336,2.7917705052,3.045471345,3.1114059012,3.150439686288,3.119463229968
ITA,BASELOAD,25.763636111328,26.86701685464,27.456596966736,27.074644946712,26.2742057843472,24.7017756181392,23.8124971968912,23.6558908312848,23.7297627536112
JPN,BASELOAD,72.98871226272,73.91742985872,74.33189508888,74.95007441832,76.29797252232,75.799177488,77.2935739416,77.030200618992,77.021849756052
