dummy,dummy, scr
ABW,PC,0.0165403315776866
AFG,PC,0.0165403315776866
AGO,PC,0.0165403315776866
AIA,PC,0.0165403315776866
ALA,PC,0.0147572204596715
ALB,PC,0.0213612914488729
AND,PC,0.0213612914488729
ARE,PC,0.0165403315776866
ARG,PC,0.0165403315776866
ARM,PC,0.0165403315776866
ASM,PC,0.0165403315776866
ATA,PC,0.0165403315776866
ATF,PC,0.0165403315776866
ATG,PC,0.0165403315776866
AUS,PC,0.0165403315776866
AUT,PC,0.00855780697425302
AZE,PC,0.0165403315776866
BDI,PC,0.0165403315776866
BEL,PC,0.0146274077263527
BEN,PC,0.0165403315776866
BES,PC,0.0165403315776866
BFA,PC,0.0165403315776866
BGD,PC,0.0165403315776866
BGR,PC,0.0268089552288144
BHR,PC,0.0165403315776866
BHS,PC,0.0165403315776866
BIH,PC,0.0213612914488729
BLM,PC,0.0165403315776866
BLR,PC,0.0165403315776866
BLZ,PC,0.0165403315776866
BMU,PC,0.0165403315776866
BOL,PC,0.0165403315776866
BRA,PC,0.0165403315776866
BRB,PC,0.0165403315776866
BRN,PC,0.0165403315776866
BTN,PC,0.0165403315776866
BVT,PC,0.0165403315776866
BWA,PC,0.0165403315776866
CAF,PC,0.0165403315776866
CAN,PC,0.0165403315776866
CCK,PC,0.0165403315776866
CHE,PC,0.0213612914488729
CHL,PC,0.0165403315776866
CHN,PC,0.0165403315776866
CIV,PC,0.0165403315776866
CMR,PC,0.0165403315776866
COD,PC,0.0165403315776866
COG,PC,0.0165403315776866
COK,PC,0.0165403315776866
COL,PC,0.0165403315776866
COM,PC,0.0165403315776866
CPV,PC,0.0165403315776866
CRI,PC,0.0165403315776866
CUB,PC,0.0165403315776866
CUW,PC,0.0165403315776866
CXR,PC,0.0165403315776866
CYM,PC,0.0165403315776866
CYP,PC,0.00630572690625932
CZE,PC,0.0200895163203528
DEU,PC,0.00776608529146662
DJI,PC,0.0165403315776866
DMA,PC,0.0165403315776866
DNK,PC,0.0305024886458004
DOM,PC,0.0165403315776866
DZA,PC,0.0165403315776866
ECU,PC,0.0165403315776866
EGY,PC,0.0165403315776866
ERI,PC,0.0165403315776866
ESH,PC,0.0165403315776866
ESP,PC,0.014267633904509
EST,PC,0.0141564705649247
ETH,PC,0.0165403315776866
FIN,PC,0.0295566357022732
FJI,PC,0.0165403315776866
FLK,PC,0.0165403315776866
FRA,PC,0.0186947934510332
FRO,PC,0.0147572204596715
FSM,PC,0.0165403315776866
GAB,PC,0.0165403315776866
GBR,PC,0.0147572204596715
GEO,PC,0.0165403315776866
GGY,PC,0.0147572204596715
GHA,PC,0.0165403315776866
GIB,PC,0.0147572204596715
GIN,PC,0.0165403315776866
GLP,PC,0.0165403315776866
GMB,PC,0.0165403315776866
GNB,PC,0.0165403315776866
GNQ,PC,0.0165403315776866
GRC,PC,0.00438387248012074
GRD,PC,0.0165403315776866
GRL,PC,0.0213612914488729
GTM,PC,0.0165403315776866
GUF,PC,0.0165403315776866
GUM,PC,0.0165403315776866
GUY,PC,0.0165403315776866
HKG,PC,0.0165403315776866
HMD,PC,0.0165403315776866
HND,PC,0.0165403315776866
HRV,PC,0.0106630955179949
HTI,PC,0.0165403315776866
HUN,PC,0.00317430924514732
IDN,PC,0.0165403315776866
IMN,PC,0.0147572204596715
IND,PC,0.0165403315776866
IOT,PC,0.0165403315776866
IRL,PC,0.0420797917055074
IRN,PC,0.0165403315776866
IRQ,PC,0.0165403315776866
ISL,PC,0.0266590802425303
ISR,PC,0.0165403315776866
ITA,PC,0.0167071007925758
JAM,PC,0.0165403315776866
JEY,PC,0.0147572204596715
JOR,PC,0.0165403315776866
JPN,PC,0.0165403315776866
KAZ,PC,0.0165403315776866
KEN,PC,0.0165403315776866
KGZ,PC,0.0165403315776866
KHM,PC,0.0165403315776866
KIR,PC,0.0165403315776866
KNA,PC,0.0165403315776866
KOR,PC,0.0165403315776866
KWT,PC,0.0165403315776866
LAO,PC,0.0165403315776866
LBN,PC,0.0165403315776866
LBR,PC,0.0165403315776866
LBY,PC,0.0165403315776866
LCA,PC,0.0165403315776866
LIE,PC,0.00649531920600001
LKA,PC,0.0165403315776866
LSO,PC,0.0165403315776866
LTU,PC,0.0123772632148863
LUX,PC,0.00380298930660793
LVA,PC,0.0108517482342079
MAC,PC,0.0165403315776866
MAF,PC,0.0165403315776866
MAR,PC,0.0165403315776866
MCO,PC,0.0213612914488729
MDA,PC,0.0165403315776866
MDG,PC,0.0165403315776866
MDV,PC,0.0165403315776866
MEX,PC,0.0165403315776866
MHL,PC,0.0165403315776866
MKD,PC,0.0213612914488729
MLI,PC,0.0165403315776866
MLT,PC,0.0106642962600086
MMR,PC,0.0165403315776866
MNE,PC,0.0213612914488729
MNG,PC,0.0165403315776866
MNP,PC,0.0165403315776866
MOZ,PC,0.0165403315776866
MRT,PC,0.0165403315776866
MSR,PC,0.0165403315776866
MTQ,PC,0.0165403315776866
MUS,PC,0.0165403315776866
MWI,PC,0.0165403315776866
MYS,PC,0.0165403315776866
MYT,PC,0.0165403315776866
NAM,PC,0.0165403315776866
NCL,PC,0.0165403315776866
NER,PC,0.0165403315776866
NFK,PC,0.0165403315776866
NGA,PC,0.0165403315776866
NIC,PC,0.0165403315776866
NIU,PC,0.0165403315776866
NLD,PC,0.0164453367194224
NOR,PC,0.0309294748980882
NPL,PC,0.0165403315776866
NRU,PC,0.0165403315776866
NZL,PC,0.0165403315776866
OMN,PC,0.0165403315776866
PAK,PC,0.0165403315776866
PAN,PC,0.0165403315776866
PCN,PC,0.0165403315776866
PER,PC,0.0165403315776866
PHL,PC,0.0165403315776866
PLW,PC,0.0165403315776866
PNG,PC,0.0165403315776866
POL,PC,0.0154856544926795
PRI,PC,0.0165403315776866
PRK,PC,0.0165403315776866
PRT,PC,0.0103611018142726
PRY,PC,0.0165403315776866
PSE,PC,0.0165403315776866
PYF,PC,0.0165403315776866
QAT,PC,0.0165403315776866
REU,PC,0.0165403315776866
ROU,PC,0.00514989107020013
RUS,PC,0.0165403315776866
RWA,PC,0.0165403315776866
SAU,PC,0.0165403315776866
SDN,PC,0.0165403315776866
SEN,PC,0.0165403315776866
SGP,PC,0.0165403315776866
SGS,PC,0.0165403315776866
SHN,PC,0.0165403315776866
SJM,PC,0.0213612914488729
SLB,PC,0.0165403315776866
SLE,PC,0.0165403315776866
SLV,PC,0.0165403315776866
SMR,PC,0.0213612914488729
SOM,PC,0.0165403315776866
SPM,PC,0.0165403315776866
SRB,PC,0.0213612914488729
SSD,PC,0.0165403315776866
STP,PC,0.0165403315776866
SUR,PC,0.0165403315776866
SVK,PC,0.0112813157575189
SVN,PC,0.0064857741138451
SWE,PC,0.0271978909700945
SWZ,PC,0.0165403315776866
SXM,PC,0.0165403315776866
SYC,PC,0.0165403315776866
SYR,PC,0.0165403315776866
TCA,PC,0.0165403315776866
TCD,PC,0.0165403315776866
TGO,PC,0.0165403315776866
THA,PC,0.0165403315776866
TJK,PC,0.0165403315776866
TKL,PC,0.0165403315776866
TKM,PC,0.0165403315776866
TLS,PC,0.0165403315776866
TON,PC,0.0165403315776866
TTO,PC,0.0165403315776866
TUN,PC,0.0165403315776866
TUR,PC,0.0213612914488729
TUV,PC,0.0165403315776866
TWN,PC,0.0165403315776866
TZA,PC,0.0165403315776866
UGA,PC,0.0165403315776866
UKR,PC,0.0165403315776866
UMI,PC,0.0165403315776866
URY,PC,0.0165403315776866
USA,PC,3.07516512196992e-05
UZB,PC,0.0165403315776866
VAT,PC,0.0213612914488729
VCT,PC,0.0165403315776866
VEN,PC,0.0165403315776866
VGB,PC,0.0165403315776866
VIR,PC,0.0165403315776866
VNM,PC,0.0165403315776866
VUT,PC,0.0165403315776866
WLF,PC,0.0165403315776866
WSM,PC,0.0165403315776866
YEM,PC,0.0165403315776866
ZAF,PC,0.0165403315776866
