dummy,dummy,2015,2016,2017,2018,2019,2020,2021
ABW,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
ABW,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ABW,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
AFG,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
AFG,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
AFG,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
AGO,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
AGO,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
AGO,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
AIA,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
AIA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
AIA,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
ALA,KM_VEH,  23442.182,  23442.182,  23603.182,  24009.955,  24291.136,  22478.227,  24391.955
ALA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ALA,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
ALB,KM_VEH,  23159.200,  23159.200,  25369.200,  23340.200,  23508.400,  24268.200,  25916.000
ALB,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ALB,KM_VEH_TRUCK,  48928.800,  48928.800,  51114.600,  53983.000,  53166.600,  50912.200,  54989.400
AND,KM_VEH,  23159.200,  23159.200,  25369.200,  23340.200,  23508.400,  24268.200,  25916.000
AND,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
AND,KM_VEH_TRUCK,  48928.800,  48928.800,  51114.600,  53983.000,  53166.600,  50912.200,  54989.400
ARE,KM_VEH,   7696.000,   7696.000,   7702.333,   7660.333,   7617.667,   7515.667,   7659.000
ARE,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ARE,KM_VEH_TRUCK,  45550.333,  45550.333,  46297.667,  46838.667,  47526.333,  45041.667,  47693.000
ARG,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
ARG,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ARG,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
ARM,KM_VEH,    162.000,    162.000,    177.000,    205.000,    207.000,    217.000,    228.000
ARM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ARM,KM_VEH_TRUCK,    202.000,    202.000,    196.000,    185.000,    167.000,    150.000,    163.000
ASM,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
ASM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ASM,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
ATA,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
ATA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ATA,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
ATF,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
ATF,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ATF,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
ATG,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
ATG,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
ATG,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
AUS,KM_VEH,  68445.000,  68445.000,  70609.000,  73029.000,  73600.000,  73399.000,  74599.000
AUS,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
AUS,KM_VEH_TRUCK, 178603.000, 178603.000, 179389.000, 179787.000, 178571.000, 165052.000, 165773.000
AUT,KM_VEH,  12235.000,  12235.000,  12521.000,  12810.000,  13087.000,  12928.000,  13810.000
AUT,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
AUT,KM_VEH_TRUCK,  65073.000,  65073.000,  66310.000,  65298.000,  63627.000,  59597.000,  60721.000
AZE,KM_VEH,   2297.000,   2297.000,   2322.000,   2398.000,   2454.000,   2528.000,   2649.000
AZE,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
AZE,KM_VEH_TRUCK,  20750.000,  20750.000,  20941.000,  21365.000,  22157.000,  23078.000,  24625.000
BDI,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
BDI,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BDI,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
BEL,KM_VEH,  20050.000,  20050.000,  20849.000,  20849.000,  20849.000,  20849.000,  20849.000
BEL,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BEL,KM_VEH_TRUCK,  79385.000,  79385.000,  80076.000,  80076.000,  80076.000,  80076.000,  80076.000
BEN,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
BEN,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BEN,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
BES,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BES,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BES,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BFA,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
BFA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BFA,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
BGD,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
BGD,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BGD,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
BGR,KM_VEH,   2831.000,   2831.000,   2739.000,   2121.000,   1638.000,   2458.000,   2757.000
BGR,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BGR,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
BHR,KM_VEH,   7696.000,   7696.000,   7702.333,   7660.333,   7617.667,   7515.667,   7659.000
BHR,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BHR,KM_VEH_TRUCK,  45550.333,  45550.333,  46297.667,  46838.667,  47526.333,  45041.667,  47693.000
BHS,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BHS,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BHS,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BIH,KM_VEH,  23159.200,  23159.200,  25369.200,  23340.200,  23508.400,  24268.200,  25916.000
BIH,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BIH,KM_VEH_TRUCK,  48928.800,  48928.800,  51114.600,  53983.000,  53166.600,  50912.200,  54989.400
BLM,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BLM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BLM,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BLR,KM_VEH,    852.000,    852.000,    885.000,    931.000,   1023.000,    925.000,    935.000
BLR,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BLR,KM_VEH_TRUCK,     43.000,     43.000,     29.000,     38.000,    140.000,    176.000,    244.000
BLZ,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BLZ,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BLZ,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BMU,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BMU,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BMU,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BOL,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BOL,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BOL,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BRA,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BRA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BRA,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BRB,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BRB,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BRB,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BRN,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
BRN,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BRN,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
BTN,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
BTN,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BTN,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
BVT,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
BVT,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BVT,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
BWA,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
BWA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
BWA,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
CAF,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
CAF,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CAF,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
CAN,KM_VEH,  39530.000,  39530.000,  40976.500,  42515.500,  42975.000,  42898.500,  43821.500
CAN,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
CAN,KM_VEH_TRUCK, 106251.500, 106251.500, 107056.000, 107510.500, 106567.500,  99016.500,  99626.000
CCK,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
