dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
RAS,BASELOAD,44.6694881323173,46.9969814634077,48.2795634153571,49.8264772394451,51.9043677463731,55.5621693849167,58.9327882703316,61.4270295692332,65.5175355628732
RWO,BASELOAD,50.855152959792,50.9159834255887,51.9070930234665,52.7255932755116,53.9646845520214,53.9729232859054,54.1671626247814,54.4298949094032,55.0171013286148
REU,BASELOAD,32.8589870850277,32.9528936902015,33.3613389774323,33.6621544424906,34.5544036796537,34.2711010290174,34.3951252753254,34.5381968221372,34.5925756529778
REP,BASELOAD,36.4898715766725,41.8192113976352,45.2236700312697,49.046930510462,49.1267003446811,51.7397300374091,53.3282711696229,54.4401590194379,56.1396099639173
RAF,BASELOAD,9.63556237304208,10.2904411247626,11.2552084922674,12.0734331998846,12.767082238561,13.5348410070431,14.0962643452845,15.2768871154851,16.0486983404376
RLA,BASELOAD,20.6024504387376,21.1430283520107,21.8851401289078,22.5557158134959,23.2241832960406,24.0462510369162,26.0354959968309,26.5924883045889,27.8914780507979
ARG,BASELOAD,7.79891424976487,8.18670138151304,8.54666823407478,8.56798574025913,8.72948113420696,9.07052357088,9.17632152613252,9.73251615703461,10.2302701425031
OCE,BASELOAD,18.6969978053328,19.0726422387528,19.2256643656128,19.2083703093048,19.4956908719808,19.2939258357408,19.0138388291088,18.8129709325968,19.0385905976568
AUT,BASELOAD,5.29964643849336,5.60116307412792,5.64327035236512,5.71526123221368,5.68109542581576,5.67928208753136,5.68923874604784,5.5811968469208,5.67580592684088
BEL,BASELOAD,4.6435026924,4.9212827964,4.7770276716,4.6867161492,4.6284244884,4.626763794,4.61852469,4.66440394752,4.66125442128
BRA,BASELOAD,25.0080432254609,25.868358291193,27.1164247616348,27.9692892873391,28.9778733511886,30.6447326136,31.8743147773565,32.9636711131826,33.8341313313391
BGR,BASELOAD,3.0132495288,3.0270146256,3.218737932,2.6954840232,3.1631336352,2.9299476816,2.8204158744,2.7582846624,2.87780380848
CAN,BASELOAD,30.4451545477464,30.259065530088,30.80553023394,29.9142359340588,30.6324819703224,31.2712924667544,31.875319538748,31.8117194200224,31.7993289597936
CHA,BASELOAD,80.0748962253052,87.4231587904492,93.214538280319,103.3794852447,112.77973972137,124.014107198568,134.085040206674,142.72408754751,153.493260902651
HRV,BASELOAD,2.6728261810944,2.6009881648516,2.5661412178988,2.4835456310564,2.445958932836,2.5099638802108,2.4674526033736,2.4328689485992,2.4343875998688
CYP,BASELOAD,2.1809481964224,2.1404670513796,2.0991610330988,1.9980081518564,1.952558902436,1.9442930686108,1.8974916645736,1.8610015905592,1.8750403971408
CZE,BASELOAD,5.93785598056375,5.99409774909182,6.06407428875331,6.03872370333593,5.99328580428582,5.91231609175709,5.80097984776567,5.77866716339069,5.83072915902764
DNK,BASELOAD,2.8635576155928,2.8728133992792,2.8829599845912,2.6591472540936,2.5872869476296,2.6033016094776,2.622628008144,2.5942861437192,2.6460918531144
EGY,BASELOAD,6.6982048848,7.2389604528,7.74041292,7.857047736,8.357315832,9.010007352,9.896161608,11.487660408,14.1610372416
EST,BASELOAD,2.1256614913344,2.0870869264516,2.0612708098988,2.0039074790564,1.964843535236,1.9190270194108,1.8765109149736,1.8461259848392,1.8936531123888
FIN,BASELOAD,4.0064812659072,4.046640942258,4.0591754097948,4.2510443922432,4.1010990042888,4.1258197921608,3.925446828174,4.065978537738,4.0495583542716
FRA,BASELOAD,31.7612036196,32.054668596,32.2246918404,31.788048294,31.4209125324,31.199258106,31.273627284,30.80708093952,30.89009634912
DEU,BASELOAD,36.24347348352,35.6283444119904,34.0671832159104,35.1915638422104,35.9578541504556,36.9157228083648,37.4699625261552,37.1497243209386,37.759863106854
GRC,BASELOAD,3.5729164152,3.7798852824,3.891705372,3.9640196016,3.93022768896,3.92274394344,3.92529549096,3.9453110424,3.92440737348
HUN,BASELOAD,2.3213739888,2.4824710008,2.4136809192,2.1526316676,2.208570678,2.1845244024,2.1987899604,2.2002704244,2.2256957844
NSI,BASELOAD,12.5399483241186,12.6655950052136,12.9013922415706,13.1371446834277,13.2385505224652,13.3143816523935,13.591710661802,13.8394789198466,14.0987969935089
IND,BASELOAD,18.8349422727613,19.5378631081639,20.3558075757869,21.2140451657982,22.5284553485698,23.6460139882752,25.5490746151337,28.2949677207074,28.9757315159217
