dummy,2015,2016,2017,2018,2019,2020,2021
RAS,9.64387586666667,9.64387586666667,9.70657377777778,9.70673322222222,9.33469340000001,10.5238228,9.27802093333333
RWO,6.34365941954023,6.34365941954023,6.88981106321839,8.34788436781609,8.68677067816092,8.5484061954023,9.39617882183908
REU,1.41178898484848,1.41178898484848,1.54223686363636,1.7839413030303,1.85268909090909,1.96904890909091,2.25169634848485
REP,3.89638881730769,3.89638881730769,4.12577122115385,3.41220969230769,3.41473581730769,3.27329427884615,3.46951970192308
RAF,2.446445975,2.446445975,2.618563125,2.4506952,2.392001575,2.21219690833333,2.374035875
RLA,7.09930030769231,7.09930030769231,7.86137815384615,8.6707643076923,8.8312603076923,6.47361884615385,6.27696092307692
ARG,0.167975692307692,0.167975692307692,0.185735846153846,0.205113692307692,0.210876692307692,0.153217153846154,0.146986076923077
OCE,2.40551333333333,2.40551333333333,2.41452455555556,2.38286844444444,2.223731,2.324774,2.25989966666667
AUT,0.329604,0.329604,0.35332,0.341068,0.329363,0.24874,0.239803
BEL,0.539519,0.539519,0.546558,0.549632,0.55797,0.439038,0.383123
BRA,1.46746,1.46746,1.61115,1.790034,1.923451,1.340456,1.219329
BGR,0.02637,0.02637,0.031244,0.034332,0.035371,0.022368,0.024537
CAN,0.661088,0.661088,0.64696,0.586357,0.496851,0.320116,0.320116
CHA,23.498908,23.498908,24.497051,23.654137,21.591907,20.22795,20.615612
HRV,0.096455,0.096455,0.093802,0.140644,0.149137,0.095577,0.112345
CYP,0.027956,0.027956,0.036067,0.040683,0.037802,0.030828,0.026634
CZE,0.278932,0.278932,0.290993,0.281662,0.270351,0.220112,0.226536
DNK,0.222473,0.222473,0.221471,0.218476,0.225619,0.198979,0.186592
EGY,0.387939125,0.387939125,0.410495375,0.328295,0.324982125,0.314989125,0.333608625
EST,0.047204,0.047204,0.049396,0.050432,0.052981,0.039259,0.049249
FIN,0.14371,0.14371,0.147955,0.160194,0.160117,0.140322,0.143852
FRA,1.983729,1.983729,2.078986,2.141369,2.183953,1.690707,1.63
DEU,3.351607,3.351607,3.441262,3.435778,3.607258,2.917678,2.622132
GRC,0.106617,0.106617,0.130227,0.1635,0.18512,0.136015,0.166574
HUN,0.238655,0.238655,0.27172,0.295431,0.314498,0.258511,0.254191
NSI,0.510679,0.510679,0.526623,0.471884,0.470763,0.392166,0.435883
IND,3.01,3.01,3.3,3.464,3.07241,2.491242,3.689204
IDN,0.241814066666667,0.241814066666667,0.241485111111111,0.240254888888889,0.2281098,0.2825036,0.250053533333333
IRN,1.314118,1.314118,1.479186,0.849204,0.827849,0.82095,0.859911
IRL,0.213423,0.213423,0.22129,0.222607,0.22422,0.163608,0.170339
ISR,0.282563,0.282563,0.280238,0.26565,0.258139,0.220202,0.295688
ITA,1.849608,1.849608,1.994407,1.94512,1.949554,1.441385,1.519136
JPN,4.146458,4.146458,4.386377,4.39116,4.301091,3.839981,3.695698
KOR,0.748714,0.748714,0.671363,0.618656,0.468598,1.618333,1.468873
LVA,0.060625,0.060625,0.068081,0.067656,0.068074,0.05673,0.056057
LTU,0.139871,0.139871,0.161115,0.169143,0.163925,0.135274,0.139657
LUX,0.050561,0.050561,0.052775,0.052811,0.055008,0.045189,0.044372
MLT,0.016712,0.016712,0.018729,0.019479,0.018889,0.013211,0.012877
MEX,0.167975692307692,0.167975692307692,0.185735846153846,0.205113692307692,0.210876692307692,0.153217153846154,0.146986076923077
MAR,0.139897,0.139897,0.148534,0.142529,0.141316,0.106208,0.140717
NLD,0.382512,0.382512,0.414306,0.443529,0.445218,0.355432,0.322318
NGA,0.0253744,0.0253744,0.027506,0.0291128,0.0281178,0.0250601333333333,0.027223
POL,1.36127,1.36127,1.336787,1.430332,1.453505,1.179776,1.29112
PRT,0.20733,0.20733,0.222129,0.228327,0.223799,0.145417,0.146637
ROU,0.095181,0.095181,0.106873,0.130921,0.161564,0.126329,0.12121
RUS,1.977958,1.977958,2.497645,4.284361,4.758011,5.696109,6.748303
SAU,1.037359,1.037359,1.037359,1.037359,1.037359,1.037359,1.037359
SVK,0.088163,0.088163,0.096085,0.09808,0.101568,0.076305,0.0757
SVN,0.064899,0.064899,0.072477,0.074518,0.07271,0.053367,0.053428
ZAF,0.0253744,0.0253744,0.027506,0.0291128,0.0281178,0.0250601333333333,0.027223
ESP,1.147009,1.147009,1.234932,1.321437,1.258246,0.85121,0.859476
SWE,0.388014,0.388014,0.392728,0.365535,0.366961,0.303196,0.314313
TUN,0.059207,0.059207,0.061535,0.061535,0.061535,0.061535,0.061535
TUR,0.746074,0.746074,0.741902,0.526235,0.386748,0.601525,0.614037
GBR,2.723774,2.723774,2.56433,2.394042,2.346576,1.656403,1.677245
USA,14.395,14.395,13.958,13.91,13.464,11.234,11.858
