dummy,dummy,2015,2016,2017,2018,2019,2020,2021
RAS,KM_VEH,19.8538009312469,18.9646421534926,18.7835675320801,18.3411358315748,18.4799731894384,17.6728661839272,17.6728661839272
RWO,KM_VEH,11.1336283326249,10.9794970585295,11.0870289779522,10.9789509854565,10.7913852745247,10.4031445384698,10.4031445384698
REU,KM_VEH,8.1402009170154,7.89848758085182,7.904753129638,7.98552754718173,7.87427876915655,7.49502749157922,7.49502749157922
REP,KM_VEH,12.2954728931762,11.7288656046485,11.7410166666023,11.5777474183673,11.577176110268,10.3855117300755,10.3855117300755
RAF,KM_VEH,11.1993156591681,9.58355073280785,9.46813153822515,8.4174085552789,8.41650094477222,8.29235324316147,8.29235324316147
RLA,KM_VEH,19.713097753012,18.6610296644532,19.9362972465719,18.5426801319866,17.9834728328458,17.7682466343073,17.7682466343073
ARG,KM_VEH,19.4219138459286,18.3846324750361,19.6318442334793,18.2619865252175,17.7105040688039,17.4985972088745,17.4985972088745
OCE,KM_VEH,17.9603765726834,17.2103654456588,17.0361139199291,16.6675149750284,16.6903316631364,15.8848590997247,15.8848590997247
AUT,KM_VEH,13.7052110677904,13.4962627217722,13.5365814324075,13.1150715064437,12.6255370521325,11.7044432185147,11.7044432185147
BEL,KM_VEH,14.1164550191257,13.8977857554392,13.8409357133511,13.6793614794675,13.5970698956227,13.5985038181473,13.5985038181473
BRA,KM_VEH,19.4219138459286,18.3846324750361,19.6318442334793,18.2619865252175,17.7105040688039,17.4985972088745,17.4985972088745
BGR,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
CAN,KM_VEH,12.2801034969926,11.9475353221571,11.7937530834763,11.6466524053891,11.3214070842303,10.520837847117,10.520837847117
CHA,KM_VEH,14.5522933565347,14.2581178636599,14.0244851712311,13.904310108502,13.911965442053,13.3646714604456,13.3646714604456
HRV,KM_VEH,12.9083705715821,12.4669651182559,12.4711246943306,12.1878549915297,12.0818598179605,9.62614922535554,9.62614922535554
CYP,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
CZE,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
DNK,KM_VEH,16.6712466794907,16.1660457068599,16.0344847348686,15.8884149319186,15.7946182976673,14.2102540435376,14.2102540435376
EGY,KM_VEH,11.0954394945722,10.5309606722069,10.431921180514,10.3635025745403,10.412995257422,9.02390631639012,9.02390631639012
EST,KM_VEH,12.8141461078694,12.3302107228746,12.2268384338186,11.9550306511767,11.8212261267087,11.4543415330244,11.4543415330244
FIN,KM_VEH,11.6406077181026,11.5675172432677,11.5177243314737,11.4685346845013,11.3748190921098,10.410602638289,10.410602638289
FRA,KM_VEH,12.8974851834054,12.7356461222123,12.6811654635011,12.6929517946578,12.7108988617035,10.2226381051026,10.2226381051026
DEU,KM_VEH,14.4127485020426,14.1823037335963,13.8312128127467,13.6360401177311,13.5132934614333,11.9816987789735,11.9816987789735
GRC,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
HUN,KM_VEH,8.86277017169369,8.55153588397462,8.71112503841449,8.67093211284568,8.64005448040182,7.37171173528661,7.37171173528661
NSI,KM_VEH,11.730296208275,11.4499737393746,11.4507434054629,11.5458912215594,11.3766859116169,10.5399489984503,10.5399489984503
IND,KM_VEH,14.7865778137078,13.9175039284808,14.0675776152022,13.419202715254,13.2810343799547,12.6902118906424,12.6902118906424
IDN,KM_VEH,19.8538009312469,18.9646421534926,18.7835675320801,18.3411358315748,18.4799731894384,17.6728661839272,17.6728661839272
IRN,KM_VEH,11.0954394945722,10.5309606722069,10.431921180514,10.3635025745403,10.412995257422,9.02390631639012,9.02390631639012
IRL,KM_VEH,18.6776290451879,18.2988618857668,18.222650813885,17.3028317484428,16.5263859474047,11.9289508216091,11.9289508216091
ISR,KM_VEH,17.5372238278532,16.6192317913151,16.6446221502792,16.5077849383318,16.6067703040952,13.8285924220315,13.8285924220315
ITA,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
JPN,KM_VEH,7.86410727655585,7.81079229355007,7.76030426167172,7.73242913494417,7.71817402425714,7.71150004128195,7.71150004128195
KOR,KM_VEH,19.8538009312469,18.9646421534926,18.7835675320801,18.3411358315748,18.4799731894384,17.6728661839272,17.6728661839272
LVA,KM_VEH,14.6204686561186,14.9478226436628,15.5162312047522,15.396112968873,15.2262763283111,14.2790654883348,14.2790654883348
LTU,KM_VEH,7.21506869025122,6.91133000753809,6.93005902046224,6.77795486955792,6.66382862877397,6.03526747643671,6.03526747643671
LUX,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
MLT,KM_VEH,9.74645410045171,9.47967807267753,9.40808601678644,8.73589412975901,7.84032819978511,6.09356656872856,6.09356656872856
MEX,KM_VEH,4.86271849176122,4.56477300418517,4.40919357884455,4.22730618676016,4.06206586671049,4.01612593723581,4.01612593723581
MAR,KM_VEH,11.0954394945722,10.5309606722069,10.431921180514,10.3635025745403,10.412995257422,9.02390631639012,9.02390631639012
NLD,KM_VEH,13.29586572494,13.0984240008542,13.0100114125421,12.8170591837558,12.5706520843553,10.4306636014043,10.4306636014043
NGA,KM_VEH,11.2077953460739,9.50621114591813,9.38945483273218,8.25854373738001,8.25352181720898,8.23263462493873,8.23263462493873
POL,KM_VEH,9.02741791257168,8.6309412315941,8.63391513705819,8.52191146226542,8.36336665357699,7.43712775040334,7.43712775040334
PRT,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
ROU,KM_VEH,7.94326505283451,7.48260870915863,7.02428097524021,6.71890865854914,6.46285722232588,6.31102633665479,6.31102633665479
RUS,KM_VEH,8.94970681854985,8.9241915534592,9.13700788665276,9.1239901607439,9.02443293055528,9.5160021208882,9.5160021208882
SAU,KM_VEH,11.0954394945722,10.5309606722069,10.431921180514,10.3635025745403,10.412995257422,9.02390631639012,9.02390631639012
SVK,KM_VEH,12.0520308912981,11.7950935443895,11.7624918434925,11.5551541983558,11.3569196001126,9.82363126617295,9.82363126617295
SVN,KM_VEH,10.4826292228782,10.312597182184,10.3816411508719,10.3206053448804,10.3623652896803,7.98845125524263,7.98845125524263
ZAF,KM_VEH,11.2077953460739,9.50621114591813,9.38945483273218,8.25854373738001,8.25352181720898,8.23263462493873,8.23263462493873
ESP,KM_VEH,4.41246153248126,4.31191734169463,4.26813993514409,4.29219705401034,4.22239058468875,3.10180508897193,3.10180508897193
SWE,KM_VEH,14.4337311362044,14.1340503265479,14.0962673628846,14.0919847999798,13.8742495760964,12.5730496775226,12.5730496775226
TUN,KM_VEH,4.65365516129116,4.44268955309871,4.21922021074875,4.21922021074875,4.21922021074875,4.21922021074875,4.21922021074875
TUR,KM_VEH,14.0193857273595,13.116807407105,13.1068700856715,13.7762850867748,13.325149729478,12.4743483129796,12.4743483129796
GBR,KM_VEH,13.1565857309401,12.8993664778587,12.9073611853106,12.8334314767697,12.8663144015142,9.71330816191913,9.71330816191913
USA,KM_VEH,31.252541770808,31.2256946553697,18.4539642903115,18.6304240935232,18.6672555734389,15.739298005691,15.739298005691
RAS,KM_VEH_TRUCK,32.815098221079,32.815098221079,34.9273216031418,34.1788039284432,34.5711974605479,35.1290161524322,35.9443553438556
RWO,KM_VEH_TRUCK,17.9744202550369,17.9744202550369,17.9784174887183,17.8334643419762,17.5589919757476,17.7402132610726,17.8379005804919
REU,KM_VEH_TRUCK,12.8014417324745,12.8014417324745,12.8604171549791,12.6700685095953,11.9961151449849,11.864733091899,11.7740178438978
REP,KM_VEH_TRUCK,16.2047204668074,16.2047204668074,16.2467696354127,16.2381422062484,16.0051087473767,15.8573224840663,16.4038256451688
RAF,KM_VEH_TRUCK,10.6903087843764,10.6903087843764,12.0472032489869,13.6947189995605,13.3413850694491,13.5904909246914,13.2518974197165
RLA,KM_VEH_TRUCK,23.2633657349054,23.2633657349054,23.248458466259,22.7614100189778,19.2609145023144,18.4275615135393,18.7131549407142
ARG,KM_VEH_TRUCK,22.87357886181,22.87357886181,22.8577437669976,22.379804052179,18.9476361513586,18.1304962434561,18.4092460969262
OCE,KM_VEH_TRUCK,28.9634150929873,28.9634150929873,30.5515846367065,29.9847384038636,30.1666059708985,30.4582821802814,31.0517760515974
AUT,KM_VEH_TRUCK,26.7598979908752,26.7598979908752,26.3723255921715,25.8667167443072,25.4651024772386,24.3174815756705,24.3193744937132
BEL,KM_VEH_TRUCK,23.7931644196663,23.7931644196663,23.848687973279,23.0038639518231,22.2227906981702,21.6465003665027,20.8422054410262
BRA,KM_VEH_TRUCK,22.87357886181,22.87357886181,22.8577437669976,22.379804052179,18.9476361513586,18.1304962434561,18.4092460969262
BGR,KM_VEH_TRUCK,6.19641610324004,6.19641610324004,6.47139849780388,4.83884214560786,3.62002550372058,5.32690694816776,6.01290255041286
CAN,KM_VEH_TRUCK,17.4083657087122,17.4083657087122,17.4243737374004,17.4025418301246,16.9528315019502,16.4460802638288,16.3740381748226
CHA,KM_VEH_TRUCK,23.7123160655494,23.7123160655494,23.6407310459523,23.5771102851805,23.6021206537598,22.5431424202075,23.3618530256159
HRV,KM_VEH_TRUCK,12.9569230180057,12.9569230180057,13.6262480810196,14.1672730480034,14.7689129873483,12.9025241489772,14.8198707819469
CYP,KM_VEH_TRUCK,18.3417898410449,18.3417898410449,18.2845537817144,17.9771619581239,17.7236328313446,16.4558479657503,16.9707617030883
CZE,KM_VEH_TRUCK,18.3417898410449,18.3417898410449,18.2845537817144,17.9771619581239,17.7236328313446,16.4558479657503,16.9707617030883
DNK,KM_VEH_TRUCK,21.0630867468397,21.0630867468397,21.3682727503145,21.5678832927586,21.7423192122609,21.1338765506418,22.2194485582681
EGY,KM_VEH_TRUCK,15.6863482694153,15.6863482694153,15.7372855445535,15.7700555407235,15.8066311949084,15.7055008997862,16.3177431183176
EST,KM_VEH_TRUCK,13.5191328534334,13.5191328534334,14.3143404774351,16.2977337762721,15.2080234908287,12.7076068325551,13.4610443372256
FIN,KM_VEH_TRUCK,17.0500989767479,17.0500989767479,17.1614412818241,17.1753689326142,17.0215963852592,16.1632954650411,16.6241924968885
FRA,KM_VEH_TRUCK,17.4659159159159,17.4659159159159,17.6180225653207,17.7659387366261,17.7623259860789,16.4496972102697,17.6479537501902
DEU,KM_VEH_TRUCK,18.3010858147781,18.3010858147781,16.0701431923873,15.9394112575475,15.6799968844974,14.6162052950435,14.8552439893613
GRC,KM_VEH_TRUCK,18.3417898410449,18.3417898410449,18.2845537817144,17.9771619581239,17.7236328313446,16.4558479657503,16.9707617030883
HUN,KM_VEH_TRUCK,20.9330120407366,20.9330120407366,21.0404274810286,20.7195757921031,20.1383204423581,17.6123877908667,19.2028707068394
NSI,KM_VEH_TRUCK,14.0081564481428,14.0081564481428,14.0968555923954,13.9346939494596,13.6517896640876,13.3754523659753,13.4224111739429
IND,KM_VEH_TRUCK,19.8825424844604,19.8825424844604,20.637425297598,20.6812154291953,19.8414161688151,19.6590303643922,19.9221788196344
IDN,KM_VEH_TRUCK,32.815098221079,32.815098221079,34.9273216031419,34.1788039284432,34.5711974605479,35.1290161524323,35.9443553438556
IRN,KM_VEH_TRUCK,15.6863482694153,15.6863482694153,15.7372855445535,15.7700555407235,15.8066311949084,15.7055008997862,16.3177431183176
IRL,KM_VEH_TRUCK,25.984965737154,25.984965737154,26.5386077161138,26.1384670263772,25.4600275390636,22.4765989815539,25.9337981803572
ISR,KM_VEH_TRUCK,26.7658402879551,26.7658402879551,27.0349609725046,27.1005009648445,27.1736522732144,26.97139168297,28.1958761200328
ITA,KM_VEH_TRUCK,18.3417898410449,18.3417898410449,18.2845537817144,17.9771619581239,17.7236328313446,16.4558479657503,16.9707617030883
JPN,KM_VEH_TRUCK,12.4185112177371,12.4185112177371,12.4972357350487,12.5191371948445,12.5181985125044,12.530201829539,12.5179104563213
KOR,KM_VEH_TRUCK,32.815098221079,32.815098221079,34.9273216031419,34.1788039284432,34.5711974605479,35.1290161524323,35.9443553438556
LVA,KM_VEH_TRUCK,33.8539498257342,33.8539498257342,34.517976200039,34.3455403481633,33.6651662997886,33.8814473669986,29.7961207032939
LTU,KM_VEH_TRUCK,23.6114665984131,23.6114665984131,22.5378443642406,21.1335407433341,20.1813524891807,18.4475574261365,18.2760804696019
LUX,KM_VEH_TRUCK,18.3417898410449,18.3417898410449,18.2845537817144,17.9771619581239,17.7236328313446,16.4558479657503,16.9707617030883
MLT,KM_VEH_TRUCK,13.3442145661476,13.3442145661476,12.4492787491237,10.7075587584964,12.4995063386122,8.85788947813389,9.51135868432521
MEX,KM_VEH_TRUCK,3.38423520704318,3.38423520704318,3.32200880392907,3.29950571223964,3.28371860356864,3.27723273929793,3.21380390752953
MAR,KM_VEH_TRUCK,15.6863482694153,15.6863482694153,15.7372855445535,15.7700555407235,15.8066311949084,15.7055008997862,16.3177431183176
NLD,KM_VEH_TRUCK,24.7470943018488,24.7470943018488,24.5541081870488,24.605992649349,24.5165393807027,23.6016335909909,23.8593321676602
NGA,KM_VEH_TRUCK,10.2824688264141,10.2824688264141,11.7459720411856,13.5253037717104,13.1401404877789,13.4178370491735,13.0016243014634
POL,KM_VEH_TRUCK,10.2771948213894,10.2771948213894,10.2668795100169,10.1882087229735,10.0442977038478,9.16365833184761,9.59996908066926
PRT,KM_VEH_TRUCK,18.3417898410449,18.3417898410449,18.2845537817144,17.9771619581239,17.7236328313446,16.4558479657503,16.9707617030883
ROU,KM_VEH_TRUCK,9.81934508484975,9.81934508484975,9.43908941755537,9.13930257830235,8.90727407505266,8.73516983300514,8.59686879912437
RUS,KM_VEH_TRUCK,7.11709370763328,7.11709370763328,3.38072461596523,2.86712471014027,3.06398259935579,3.5713932074368,3.49335647031742
SAU,KM_VEH_TRUCK,15.6863482694153,15.6863482694153,15.7372855445535,15.7700555407235,15.8066311949084,15.7055008997862,16.3177431183176
SVK,KM_VEH_TRUCK,11.8158179593374,11.8158179593374,12.3654820590232,11.1389173763767,11.5141668186415,10.9388590995673,9.79359077666894
SVN,KM_VEH_TRUCK,21.6086772784899,21.6086772784899,21.2561832168571,20.7084243948703,20.3090991654009,17.6361433588418,19.601392057086
ZAF,KM_VEH_TRUCK,10.2824688264141,10.2824688264141,11.7459720411856,13.5253037717104,13.1401404877789,13.4178370491735,13.0016243014634
ESP,KM_VEH_TRUCK,3.68176767827697,3.68176767827697,4.04540204433082,4.11958238544991,4.14460484892816,3.26932413804581,4.33871154932829
SWE,KM_VEH_TRUCK,22.0244799392383,22.0244799392383,21.809620481588,21.7254120100236,21.2015348662072,20.6761747458866,21.2449835219365
TUN,KM_VEH_TRUCK,4.60685625087554,4.60685625087554,4.43961011660245,4.43961011660245,4.43961011660245,4.43961011660245,4.43961011660245
TUR,KM_VEH_TRUCK,23.2381097877439,23.2381097877439,24.546436191115,21.6337951272777,21.617184470203,21.7339022449557,22.3854485487177
GBR,KM_VEH_TRUCK,24.7116688318687,24.7116688318687,24.5884033591949,24.2040084073462,23.8469386963939,21.4677167117633,22.7994443720183
USA,KM_VEH_TRUCK,10.4129792041273,10.4129792041273,22.219388096911,21.9451641828938,21.5122154326393,21.8702247365046,21.9849153318378
