dummy,dummy,dummy,2015,2016,2017,2018
RAS,PC,LPG,0.168177777777778,0.172577777777778,0.188385185185185,0.220488888888889
RWO,PC,LPG,0.84728,0.91157,0.9723,1.24028
REU,PC,LPG,1.44830666666667,1.92386,2.19921333333333,2.257
REP,PC,LPG,1.08438,1.31188428571429,1.56375714285714,2.12552285714286
RAF,PC,LPG,0.2426,0.284642857142857,0.327471428571429,0.425528571428572
RLA,PC,LPG,2.12895555555556,2.20263333333333,2.26272222222222,2.33283333333333
ARG,PC,LPG,0.0649472222222222,0.0695583333333333,0.0715388888888889,0.0729833333333333
OCE,PC,LPG,1.19636666666667,1.04616666666667,0.803644444444444,0.487533333333333
AUT,PC,LPG,0.0134,0.0122,0.0116,0.0082
BEL,PC,LPG,0.0637,0.0648,0.0588,0.0552
BRA,PC,LPG,0.0649472222222222,0.0695583333333333,0.0715388888888889,0.0729833333333333
BGR,PC,LPG,0.4625,0.4955,0.4789,0.457
CAN,PC,LPG,0.2406,0.2711,0.2745,0.2632
CHA,PC,LPG,3.0688,3.1362,3.5386,3.535
HRV,PC,LPG,0.075,0.0795,0.0792,0.0788
CYP,PC,LPG,0,0,0,5e-04
CZE,PC,LPG,0.1036,0.1036,0.1004,0.0962
DNK,PC,LPG,0,0,0,0
EGY,PC,LPG,0.0624,0.0764142857142857,0.0883571428571429,0.121042857142857
EST,PC,LPG,0.0054,0.0061,0.0073,0.0088
FIN,PC,LPG,0,0,0,0
FRA,PC,LPG,0.089,0.0791,0.0703,0.0637
DEU,PC,LPG,0.5938,0.536,0.4969,0.5514
GRC,PC,LPG,0.2571,0.2615,0.2459,0.2356
HUN,PC,LPG,0.0303,0.0276,0.0264,0.0231
NSI,PC,LPG,0.0066,0.0066,0.0099,0.0094
IND,PC,LPG,0.1932,0.1887,0.2083,0.2037
IDN,PC,LPG,0.00382222222222222,0.00392222222222222,0.00428148148148148,0.00501111111111111
IRN,PC,LPG,0.0271,0.0407,0.0052,0.0056
IRL,PC,LPG,0.0025,0.0025,0.0023,0.0019
ISR,PC,LPG,0.0113,0.0305,0.0303,0.0305
ITA,PC,LPG,1.8172,1.7557,1.8319,1.7733
JPN,PC,LPG,1.0539,0.9627,0.9072,0.8187
KOR,PC,LPG,0.00382222222222222,0.00392222222222222,0.00428148148148148,0.00501111111111111
LVA,PC,LPG,0.0642,0.062,0.0583,0.0552
LTU,PC,LPG,0.1333,0.1257,0.1165,0.1092
LUX,PC,LPG,7e-04,8e-04,7e-04,4e-04
MLT,PC,LPG,0,0.0011,7e-04,5e-04
MEX,PC,LPG,1.2483,1.4144,1.4573,1.4623
MAR,PC,LPG,0.0624,0.0764142857142857,0.0883571428571429,0.121042857142857
NLD,PC,LPG,0.1921,0.1814,0.163,0.1481
NGA,PC,LPG,0.00113,0.00113,0.0013,0.0013
POL,PC,LPG,1.7909,1.8963,2.0123,2.0395
PRT,PC,LPG,0.0396,0.0407,0.0406,0.0399
ROU,PC,LPG,0.0632,0.0747,0.0901,0.0937
RUS,PC,LPG,0.4461,0.4395,0.4366,0.8695
SAU,PC,LPG,0.0624,0.0764142857142857,0.0883571428571429,0.121042857142857
SVK,PC,LPG,0.0374,0.0363,0.0341,0.0352
SVN,PC,LPG,0.0143,0.0154,0.0151,0.0149
ZAF,PC,LPG,0.0011,0.0011,0.0026,0.0026
ESP,PC,LPG,0.0486,0.0531,0.0576,0.07
SWE,PC,LPG,0.0021,7e-04,0,0
TUN,PC,LPG,0.0166,0.0155,0.0126,0.0129
TUR,PC,LPG,3.4122,3.5995,3.5225,3.7011
GBR,PC,LPG,0.0901,0.078,0.0743,0.0648
USA,PC,LPG,0.1028,0.1005,0.0829,0.0734
RAS,PC,GSL,17.1240454434695,23.0688919088283,31.0817033883718,31.1001076733077
RWO,PC,GSL,8.999410663034,8.7726910651218,8.55337549324961,8.31560251197585
REU,PC,GSL,3.49737650215252,3.37917650395105,3.29344934252125,3.06523932427385
REP,PC,GSL,34.6874276779837,35.9695527920738,35.8337899884477,35.3896119821493
RAF,PC,GSL,132.190255680313,137.400125110643,137.434944486459,135.754043969135
RLA,PC,GSL,321.623387354523,331.982188390702,324.514657987267,320.486475185433
ARG,PC,GSL,6.7752610480226,6.99522204230409,6.83371237790092,6.74548461787482
OCE,PC,GSL,5.16849285309288,6.02951261693263,7.19459557852772,7.09341428881104
AUT,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
BEL,PC,GSL,0.285957009109787,0.287051120136682,0.287342008609724,0.32302290120892
BRA,PC,GSL,6.7752610480226,6.99522204230409,6.83371237790092,6.74548461787482
BGR,PC,GSL,0.1555182175175,0.135914837398374,0.124690336920917,0.14232716254108
CAN,PC,GSL,1.33126749165843,1.32678860782034,1.3230268096269,1.27108950977325
CHA,PC,GSL,0,0,0,0
HRV,PC,GSL,0.136414570063694,0.140964568333443,0.139873928549083,0.121974086661003
CYP,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
CZE,PC,GSL,0.483242592230125,0.573529501827245,0.63338733850376,0.660821702776948
DNK,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
EGY,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
EST,PC,GSL,0.0840695634008774,0.0800558072487644,0.0874395481465234,0.0918136671643505
FIN,PC,GSL,0.362751875021602,0.351095602992155,0.317061600393872,0.309317318731785
FRA,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
DEU,PC,GSL,2.57902813645623,2.52784852515509,2.46090209693786,2.69849995857384
GRC,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
HUN,PC,GSL,0.458107165930291,0.455536488912114,0.474646531172158,0.519814543199076
NSI,PC,GSL,1.2934048408552,1.28720193780737,1.27403311955705,1.25098947538155
IND,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
IDN,PC,GSL,0.417659644962671,0.562655900215324,0.758090326545654,0.758539211544091
IRN,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
IRL,PC,GSL,0.72520421196979,0.69395625433319,0.685584749404602,0.687571504703873
ISR,PC,GSL,2.49415576755307,2.59245519076684,2.59311216012186,2.56139705602142
ITA,PC,GSL,3.96903890086428,3.85107167233899,3.62294474809392,3.64071107910145
JPN,PC,GSL,10.6528593851878,10.140554656549,9.93603246996194,9.74547516003251
KOR,PC,GSL,0.417659644962671,0.562655900215324,0.758090326545654,0.758539211544091
LVA,PC,GSL,0.0279758420990427,0.0275673388570732,0.0249351209253417,0.0239946598262695
