dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RAS,BM,ELC,1356.29218455284,1316.40251544715,1371.56070406504,1399.22663414634,1362.32620813008,1296.47851626016,1277.05130487805,1259.04150894309,1236.61738943089,1216.28269674797,1170.15565203252,1130.06806747967
RWO,BM,ELC,942.171715079365,983.026152063492,1012.1660868254,1030.75746555556,1012.61962619048,1002.7774447619,992.120172063492,988.040882063492,978.413467936508,1021.71914619048,1039.23346301587,1061.31827349206
REU,BM,ELC,906.678528571429,915.241510000001,912.530957142858,947.384955714286,893.05761,927.905738571429,917.95371,892.155538571429,927.490348571429,997.699557142858,948.283651428572,1215.95634714286
REP,BM,ELC,771.170388846154,781.075740769231,755.350479102564,740.72070525641,775.316612692308,778.947847948718,792.613205512821,806.114450384616,812.147750384616,819.219835897436,748.695084230769,700.829261410257
RAF,BM,ELC,1347.95550943396,1356.13464559748,1312.83648301887,1305.17810251572,1314.55125031447,1275.74918710692,1357.36102012579,1324.94639685535,1302.50849339623,1286.33829150943,1276.14401603774,1226.93860377358
RLA,BM,ELC,2565.22394114286,2516.67364807857,2500.30594101428,2501.62856545,2410.46812574286,2344.82259778571,2297.4020345,2272.57363435714,2284.92749014286,2294.51702542857,2281.178258,2285.26271885714
ARG,BM,ELC,146.5619,150.429,144.0237,165.7582,197.9433,151.1232,770.9466,849.5692,789.5372,732.0227,515.4545,371.7355
OCE,BM,ELC,1271.84358333333,1248.66699166667,1320.65902083333,1365.091025,1333.78951666667,1285.32175833333,1269.4796,1272.56564583333,1281.14553333333,1271.97050833333,1255.17512916667,1234.37060833333
AUT,BM,ELC,1559.5554,1509.2607,1449.1346,1406.5317,1325.72,1263.3367,1221.655,1136.2008,1147.3467,1184.0868,1241.4398,1250.7955
BEL,BM,ELC,1497.7595,1557.5378,1528.4842,1485.229,1479.4178,1454.1268,1495.5709,1497.2817,1404.3154,1443.1287,1434.8652,1453.3813
BRA,BM,ELC,1489.7752,1452.9826,1468.0969,1203.0677,1233.3199,1720.2772,1848.1753,1696.4954,1855.3215,1881.0168,1825.2824,1987.8046
BGR,BM,ELC,840.9799,781.3115,941.1677,977.0963,967.6413,950.4457,1162.8311,988.4657,1025.8096,1053.8757,979.8055,1599.7811
CAN,BM,ELC,743.0861,769.1078,804.9171,931.4339,817.457,743.8013,936.1907,959.4187,938.8586,1015.8371,1010.9165,943.4176
CHA,BM,ELC,1739.09775,1695.60255,1741.90385,1749.54315,1742.71605,1701.86935,1650.47775,1578.4355,1532.4353,1478.7469,1471.79575,1415.02315
HRV,BM,ELC,1192.3973,1185.4796,1185.0972,1202.6162,1201.2551,1187.0004,1144.4952,1130.8989,1238.2733,1278.8266,1282.92,1282.92
CYP,BM,ELC,2144.6722,2167.8635,2602.9177,2355.5962,2149.0084,1682.5582,1425.893,1647.5732,1861.5862,2022.1884,1679.4302,2020.2252
CZE,BM,ELC,1394.7904,1407.6303,1366.1366,1385.1914,1209.0984,1135.6397,1025.7805,948.167,939.619,1040.0809,1090.6243,1082.5829
