"allCy","PGALL","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"AUT","PGLHYD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60054567242885e-13,7.15338148519409e-10,5.78599380904561e-10,1.67933086396727e-09,1.79739976649525e-09,4.67313588573381e-09,5.08442871170945e-09,0.0734036883974688,0.0765491621294627,0.0867703340152596,0.0769078343686688,0.0731465620793959,0.0208131327769361,0.0244852954508925,0.027089696246431,0.02415613195352,0.0219679612952464,0.0793375193441839,0.0799431182148842,0.0860616907441612,0.0927945592729663,0.0752199535790283,0.000139936508368322,1.4880876263623e-06,1.95185192452002e-06,2.48067091921173e-06,3.08134195862357e-06,8.42734142667105e-06,1.00765847747092e-05,1.25214013625522e-05,1.37379352780716e-05,1.29880922832151e-05,2.54968724902745e-05,2.1523704088926e-05,1.70567514580056e-05,1.35752699120073e-05,1.1950830722352e-05,0.104703443759752,0.107004551695298,0.0952386776265094,0.11430882092433,0.117398053371027,0.129271266103935,0.133186279292998,0.110287479934534,0.138546680109546,0.129381845395296,0.112463399568376,0.0997603091570941,0.11602685294947,0.110594425392396,0.115449085853432,0.109050198610132,0.12523742086311,0.124235510914574,0.120311987904219,0.114827859402994,0.129694993014305,0.134609516362904,0.129737739490467,0.122379653657675,0.14805345988485,0.13736911278813,0.145095133427801,0.133556530111101,0.154426648049524,0.147870509916068,0.1649970013776,0.162332664698512,0.171900204232268,0.171821620966399,0.16676320428301,0.167318924929084,0.190648546509917,0.188947273712395,0.193313649751954,0.189720430601534
"AUT","PGSHYD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84093839167002e-07,0.0760215077209367,0.0226988264593917,0.0226612329075565,0.00583285876736367,0.00315549326174304,7.60663782443537e-08,3.17053427557438e-06,3.18619461546353e-06,3.50608206305277e-06,3.01228536337545e-06,2.80196965899618e-06,0.0230252554895833,0.0287510629040477,0.0319145604710598,0.0283902459955243,0.025873479548491,0.160742814241284,0.159954286122332,0.170964906448781,0.183180766088367,0.14802532762403,0.0266520759950159,0.0300556129116775,0.0314201450177451,0.0313537627024738,0.0307998427341844,1.64748611333501e-05,1.8641434136435e-05,2.18800066589723e-05,2.25856139839666e-05,2.02486540978711e-05,3.82731026780778e-05,3.10817076632184e-05,2.36029682127454e-05,1.81170905288766e-05,1.54759306943441e-05,0.115991027854696,0.11758243223008,0.104408667717378,0.125015358011629,0.127479527470476,0.140003084234298,0.144670817723105,0.119420464438712,0.150406927360958,0.141747423451279,0.123178594682169,0.109680629832039,0.128653560042875,0.122460231840412,0.128269537124496,0.121511998217091,0.139906983381265,0.139034902654477,0.134800094517709,0.128780281573465,0.145557481045706,0.150512713792471,0.145761672758007,0.137534920279234,0.165736301479806,0.153802615799402,0.163224692379559,0.149575481592253,0.17300491769429,0.16646255080241,0.184841110444274,0.181814671371256,0.193544352513703,0.192549381675488,0.186787329947107,0.188351984226245,0.213601522815822,0.211645595867638,0.216549789681507,0.212560182464651
"AUT","ATHCOAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98859541006084e-14,9.52233485623482e-09,5.16193502834386e-09,1.37121899338527e-08,1.14084558501523e-08,2.50478747028281e-08,1.94614684858675e-08,7.86294793000497e-07,7.73799024927854e-07,8.30941978731483e-07,7.01855351068964e-07,6.4078204141752e-07,4.41683711601253e-07,1.35654351510938e-05,1.57660297519571e-05,1.50940550076202e-05,1.50306748005969e-05,9.68819501189014e-07,9.27099034338055e-07,9.57310323877276e-07,9.91906960780145e-07,7.77817688233919e-07,1.12641976247233e-06,1.3210803843977e-06,1.51414206789149e-06,1.67964990838727e-06,1.85486886749904e-06,4.54057356181413e-06,4.96479747928659e-06,5.60510576711916e-06,5.60603118444425e-06,4.86536977207043e-06,8.95645863826163e-06,7.05255505941309e-06,5.23058308680625e-06,3.91441508736774e-06,3.26787802522455e-06,2.84635969370738e-06,2.74407775845839e-06,2.36252451843458e-06,2.64410550671176e-06,2.46973489513166e-06,2.62200069031798e-06,2.57904422550609e-06,2.06490822615744e-06,2.48029117100849e-06,2.27955209727622e-06,1.94476099916672e-06,8.98545129200994e-06,1.9530644150504e-06,1.82282185696417e-06,2.04980755116556e-06,1.95441042948836e-06,5.36189973450293e-06,2.14140768009605e-06,2.00072832261875e-06,1.87395521761527e-06,2.10860367338589e-06,1.07555892455566e-05,2.06153638884761e-06,1.9185559167663e-06,2.18906316292037e-06,2.00588812945818e-06,2.09224714188054e-06,7.63363084410005e-06,2.16287682195601e-06,2.0550571576373e-06,1.48788348020384e-05,2.15438709535103e-06,8.95614372769911e-06,2.0514938913536e-06,1.96618990724738e-06,2.12902888493133e-06,2.36245434108528e-06,2.3662026723596e-06,2.38885231134305e-06,1.14331156731366e-05
"AUT","ATHLGN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36287655876846e-11,1.55323693058624e-07,1.0416101979412e-07,2.78310885158131e-07,2.33506017176569e-07,5.18171783276227e-07,4.04813677722934e-07,1.64865012734031e-05,1.63138421799552e-05,1.7660759859379e-05,1.4961616652844e-05,1.37359601014469e-05,9.52113486143591e-06,1.85209018944083e-05,2.47228580617209e-05,2.07832091708044e-05,2.01240615114412e-05,2.15397354309401e-05,2.06776517504831e-05,2.1474911119389e-05,2.23801832142963e-05,1.76974411457366e-05,2.57129833484924e-05,3.0333798120264e-05,3.49719490137751e-05,3.91248916514128e-05,4.33519364474362e-05,0.000106756004379446,0.000117430129400322,0.000133715906908755,0.000134201198928931,0.000117177194672861,0.000217020013731561,0.000172373340793796,0.000128296654340833,9.66045358016003e-05,8.11468179690705e-05,7.13006000928451e-05,6.89891230493224e-05,5.9767340837796e-05,6.73099250697224e-05,6.3428526559115e-05,6.75905877730861e-05,6.6904054572724e-05,5.39068118585686e-05,6.53302400279806e-05,6.02722830101161e-05,5.17499790665346e-05,4.55743428199018e-05,5.27772663358979e-05,4.94501350110218e-05,5.59688583030283e-05,5.37115385369935e-05,5.9892270187211e-05,5.96228619800518e-05,5.60718110594137e-05,5.28648093853617e-05,6.00296192823104e-05,6.21071305697898e-05,5.93196422617482e-05,5.55730247600826e-05,6.39939624289614e-05,5.88820429821646e-05,6.1829178947317e-05,5.73528807643564e-05,6.49443015756977e-05,6.19669845217317e-05,6.7527635959652e-05,6.58464364573099e-05,6.99646271026374e-05,6.35590924769635e-05,6.13327139123644e-05,6.68673208233782e-05,7.48960913394313e-05,7.53415128482909e-05,7.65871402485275e-05,7.35170683712216e-05
"AUT","ATHGAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89744054038006e-14,1.25319517124097e-08,8.12007641557982e-09,2.18375713137043e-08,1.83231000864665e-08,4.05370713749926e-08,3.17754020749557e-08,0.125452524874596,0.128108489231912,0.145735611024225,0.12969352014908,0.123397498560974,0.139633888968225,0.172825737127815,0.191143935296905,0.169449243171613,0.153838537449419,0.035465328910135,0.0362874180898784,0.0399517376428428,0.0440387482412371,0.0365276163448253,2.01669373079412e-06,2.37837542954033e-06,2.74112508818036e-06,3.0556324547982e-06,3.39543875964544e-06,0.102182586451645,0.109399542657288,0.120572039083236,0.115138261554602,0.0956874920671155,1.67622309324444e-05,1.32346309114886e-05,9.85487598895335e-06,7.39989663143827e-06,6.19848485681933e-06,5.41376211822156e-06,5.24019413253032e-06,4.52686446502136e-06,5.08362049813801e-06,4.76160311765163e-06,5.07553878382378e-06,5.00944769353302e-06,4.02453989791096e-06,4.84779740945377e-06,4.47344142075009e-06,3.82957574200084e-06,9.12083360097743e-06,3.87024702127998e-06,3.62676761682006e-06,4.09251448256183e-06,3.91558571546745e-06,9.23771566773545e-06,4.32010481983271e-06,4.05035462384963e-06,3.80694023085936e-06,4.29620445011504e-06,7.89021421900631e-06,4.23208568163151e-06,3.95236294299401e-06,4.5230052360147e-06,4.16132402265479e-06,4.35573273807935e-06,9.80551880727234e-06,4.53214042263322e-06,4.32364736353174e-06,1.79361679837421e-05,4.56465566428863e-06,1.06519074248215e-05,4.37740203266352e-06,4.2102118651906e-06,4.57502114602135e-06,5.09206678091088e-06,5.12072761712186e-06,5.18804827216795e-06,2.09872858779575e-05
"AUT","ATHOIL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62767347657704e-10,5.0036273230723e-09,2.65628072880706e-09,7.09107845693309e-09,5.88124663233149e-09,1.28692062734117e-08,9.97290148507223e-09,4.01752541118276e-07,3.94574544788615e-07,4.22712157834962e-07,3.56452505619443e-07,3.24780532292619e-07,2.23416910709436e-07,1.19453672283995e-05,6.63016452942644e-06,1.32127452297313e-05,1.33127750033982e-05,4.84967882621445e-07,4.63308824448741e-07,4.77440413363403e-07,4.93695428321506e-07,3.86221489094133e-07,5.58381844866816e-07,6.53554012832222e-07,7.47549566132957e-07,8.2730035172247e-07,9.12071203729673e-07,2.22816512342388e-06,2.43141674230209e-06,2.73850872961984e-06,2.73436332357968e-06,2.36830856834738e-06,4.35091639459269e-06,3.4179483438772e-06,2.53069275313978e-06,1.89007571216097e-06,1.57471367659837e-06,1.36836840775359e-06,1.31698401568352e-06,1.13158033483869e-06,1.26390206329612e-06,1.17778529509625e-06,1.24830455995243e-06,1.22538953432379e-06,9.79139384665922e-07,1.17336187627839e-06,1.07659542169117e-06,9.16642899441079e-07,8.39753948019475e-06,9.16585623948808e-07,8.54037087270639e-07,9.58474359848937e-07,9.12051127431654e-07,9.28267666053708e-06,9.95355491910856e-07,9.28125076952453e-07,8.67597665456367e-07,9.73996004153704e-07,5.32437197814452e-06,9.48812560897236e-07,8.81272193727443e-07,1.00323847089097e-06,9.177810087885e-07,9.55423643696843e-07,1.32357646663068e-06,9.83524459598142e-07,9.3297143891285e-07,1.26219862583588e-05,9.74280716182982e-07,3.70145054465302e-05,9.24173464556488e-07,8.84041967957262e-07,9.5542142752084e-07,1.05782230941356e-06,1.05779876960291e-06,1.06588948081062e-06,1.076760761108e-05
"AUT","ATHBMSWAS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58948411921942e-08,0.0194463481876844,0.0196870676545065,0.0632393549987642,0.0573988391169589,0.128352199684427,0.0948809487164766,0.0159765815709601,0.0142363679930097,0.0145384018867892,0.0132895607576165,0.0133391313366952,0.0162348987428897,0.0212546487503728,0.0242773146596705,0.0207812798050383,0.0182344864280989,2.52572718279838e-06,2.43703724069671e-06,2.53992632841018e-06,2.65639638645952e-06,2.10475253244151e-06,3.07392394357204e-06,3.63948136827629e-06,4.21129446356104e-06,4.72130581632831e-06,5.25900671519358e-06,1.29988243431372e-05,1.43426572097744e-05,1.63572787113204e-05,1.6493660963116e-05,1.44469507341809e-05,0.499109087097951,0.54246856456148,0.512396256065795,0.472739477568634,0.477171044773323,0.0878862120570596,0.110184687002855,0.0971070954143137,0.110669734345559,0.111126919602786,0.118924003371298,0.119257329103137,0.0946601350535995,0.115229596197809,0.104255272434998,0.0873820215647933,0.0744768839802033,0.0847698632558021,0.0796542241604366,0.0801196338734696,0.0759064552650362,0.087352866692112,0.0865872179188414,0.0834906870091771,0.079690345927535,0.0879014802809426,0.0919671017835959,0.0892066561978231,0.0818533639223467,0.0982454199685932,0.0910120988282359,0.0961623902112113,0.0883725919154136,0.102091046586474,0.0971227275007463,0.108283292989653,0.103697291714223,0.109656292287076,0.110802110226162,0.106823655099483,0.106250279350134,0.122053862349856,0.122694051599909,0.124297637188527,0.124350546727105
"AUT","ATHCOALCCS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00133305908183795,0.00126702883834849,0.00180333066800077,0.00171592879610875,0.00163254975703852,0.00155433438520453,0.00147228459364349,0.00139778921803347,0.00132385440375856,0.00125593485765695,0.00118540265538224,0.00112065017279866,0.00105845831924864,0.00102047595528814,0.000971777403744313,0.000911040460338591,0.000860139267488677,0.000792359261759525,0.000743941874390974,0.000699622147582602,0.000657505127606054,0.000618144539441045,0.000579580958977199,0.000543923373960815,0.000510141729578006,0.000479094786462916,0.000447975868254792,0.000425579024072402,0.000398027133702379,0.000373571202776146,0.000347859125284886,0.00032267810669163,0.000311030146127755,0.00028649333208094,0.000262316346515757,0.000241101956949858,0.000222682176859488,0.00020627736350602,0.000190921627820401,0.000176209734828322,0.000164173586537056,0.000152090648923535,0.000141125473534861,0.000130716072418282,0.000119737794369621,0.000112185602472592,0.000103157855312551,9.45594773903185e-05,9.14618362354647e-05,8.11621215456274e-05,7.45251447992983e-05,6.95371542944507e-05,6.40469517560212e-05,6.59624546235597e-05,5.54046074290599e-05,5.08900463952237e-05,4.67313037868913e-05,4.40471573683749e-05,4.535247911229e-05,3.78784413214253e-05,3.47260399889986e-05,3.31545446282579e-05,3.02474276969333e-05,2.84492977440867e-05,3.62406424633365e-05,2.52178906290483e-05,2.3235425751796e-05,3.25392882495387e-05,2.1095719447325e-05,2.67814613473581e-05,1.85785598306223e-05,1.72667770495686e-05,1.69150280619546e-05,1.69403853572252e-05,1.62021195994535e-05,1.56325259349122e-05,2.14328460528587e-05
"AUT","ATHLGNCCS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12392084182492e-13,6.76109482045731e-08,4.96631645612363e-08,1.33105658961621e-07,1.12261794048379e-07,2.50105300037941e-07,1.96307855848386e-07,8.00511495885736e-06,8.10022983980912e-06,8.97404848584766e-06,7.77504216354998e-06,7.30597606118968e-06,5.19416411223488e-06,2.49421533779595e-05,2.78868158038788e-05,2.37086590886759e-05,2.27993558684318e-05,1.31813079097282e-05,1.29162129726709e-05,1.36968965237298e-05,1.4576918959248e-05,1.18177625887985e-05,1.74608755934342e-05,2.10238621179178e-05,2.47508207432785e-05,2.831190207672e-05,3.20326231687649e-05,8.02812893206104e-05,8.86052399025393e-05,0.00010129530285118,0.000101966720943333,8.94534823672847e-05,0.000165690691223711,0.000132410340387432,9.91117905863916e-05,7.5187699908511e-05,6.35818994117604e-05,5.62741346863867e-05,5.46425074166994e-05,4.7686356424367e-05,5.37345142375462e-05,5.09521113304513e-05,5.4355275967639e-05,5.4021547615117e-05,4.3976658977672e-05,5.32297341129975e-05,4.93668652111259e-05,4.27679220577444e-05,3.7992997862114e-05,4.39522710506384e-05,4.13975456626877e-05,4.68157867094105e-05,4.51702288404456e-05,5.04222564435152e-05,5.03514539923135e-05,4.76479497100432e-05,4.52049803932768e-05,5.1345930474261e-05,5.32201332230923e-05,5.11276257062169e-05,4.82184560922225e-05,5.55208893711678e-05,5.14058473392446e-05,5.41063690532064e-05,5.0553502787499e-05,5.727792950866e-05,5.49275722676416e-05,5.99248625993873e-05,5.87495126386965e-05,6.26353387519222e-05,5.73046604916091e-05,5.56287154076277e-05,6.07077970411994e-05,6.81000993574095e-05,6.87331443820603e-05,7.01600988333985e-05,6.77745733818281e-05
"AUT","ATHGASCCS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00306192055506776,0.00283671648590291,0.00317971185335142,0.00295286006604936,0.00274253007382797,0.00254792799056637,0.00235990483364163,0.00218886334629603,0.00328532786425473,0.00434495554035512,0.00550659413826964,0.00643487004578254,0.00723864729906195,0.00819070478915162,0.00940976164483733,0.0107319779690771,0.0117456308480919,0.0125163927179818,0.01193017817669,0.0114105166007294,0.010970697012386,0.0106207996053755,0.0101911576778592,0.00938452917076911,0.0086371350761385,0.00795430535113737,0.00730732926765478,0.00672517354930726,0.00738765750861393,0.00809645041199039,0.00886990266443824,0.00952418779738625,0.00990320382777155,0.00906041100017614,0.00827000670934126,0.00755445836873136,0.00689923476719679,0.00630470666858327,0.00574783949829929,0.00524307282094453,0.00478314125524245,0.00436529830818411,0.00397544856505504,0.00362294601829987,0.00329925004644467,0.00300920448418151,0.00273643869993946,0.00248993167886601,0.00226928185813424,0.0020635216154279,0.00187426566516176,0.00170493194611689,0.00154952213644615,0.00141571081444707,0.0012798836543356,0.00116208118549593,0.00105480279985495,0.000959310092274677,0.000874918981246551,0.00078915978196656,0.000715426601323127,0.000650498249467138,0.000588622914005636,0.000534014618438905,0.0004963210883398,0.000439611432254096,0.000397607908951814,0.000368818402040925,0.000327120610169381,0.000301428502183106,0.000268304862485977,0.000242775485074552,0.000220657097843763,0.000201204169386402,0.000182372461766127,0.000165624159379873,0.000162721905015017
