dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GHG000,AUT,a,3.86616,3.87337,3.88059,3.88781,3.89502,3.90224,3.90945,3.91667,3.92388,3.9311,3.93832,3.54448,3.15065,2.75682,2.36299,1.96916,1.57533,1.18149,0.787663,0.393832,1.50147e-17,4.1281e-16,8.10606e-16,1.2084e-15,1.6062e-15,2.00399e-15,2.40179e-15,2.79958e-15,3.19738e-15,3.59517e-15,3.99297e-15,3.59413e-15,3.19529e-15,2.79646e-15,2.39762e-15,1.99878e-15,1.59995e-15,1.20111e-15,8.02272e-16,4.03435e-16,4.59788e-18,6.14859e-16,1.22512e-15,1.83538e-15,2.44564e-15,3.0559e-15,3.66616e-15,4.27642e-15,4.88668e-15,5.49694e-15,6.1072e-15,5.51722e-15,4.92724e-15,4.33725e-15,3.74727e-15,3.15728e-15,2.5673e-15,1.97731e-15,1.38733e-15,7.97346e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16,2.07362e-16
GHG000,AUT,b,1.52408,1.5514,1.57871,1.60603,1.63334,1.66066,1.68798,1.71529,1.74261,1.76992,1.79724,149.511,297.225,444.938,592.652,740.366,888.079,1035.79,1183.51,1331.22,1478.93,1372.42,1265.91,1159.39,1052.88,946.365,839.851,733.337,626.823,520.309,413.795,389.264,364.733,340.203,315.672,291.141,266.61,242.08,217.549,193.018,168.487,161.219,153.95,146.681,139.412,132.143,124.875,117.606,110.337,103.068,95.7993,93.6426,91.4859,89.3292,87.1725,85.0158,82.8592,80.7025,78.5458,76.3891,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324,74.2324
GHG000,AUT,c,1.20778,1.20835,1.20893,1.2095,1.21008,1.21066,1.21123,1.21181,1.21238,1.21296,1.21354,1.41865,1.62376,1.82887,2.03398,2.2391,2.44421,2.64932,2.85443,3.05954,3.26466,3.19305,3.12145,3.04984,2.97824,2.90664,2.83503,2.76343,2.69182,2.62022,2.54861,2.49014,2.43167,2.3732,2.31474,2.25627,2.1978,2.13933,2.08086,2.02239,1.96392,1.92972,1.89553,1.86133,1.82714,1.79294,1.75875,1.72456,1.69036,1.65617,1.62197,1.60533,1.5887,1.57206,1.55542,1.53878,1.52214,1.50551,1.48887,1.47223,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559,1.45559
GHG000,BEL,a,2.24267,2.204,2.16534,2.12667,2.08801,2.04934,2.01068,1.97201,1.93335,1.89468,1.85602,1.67041,1.48481,1.29921,1.11361,0.928008,0.742406,0.556805,0.371203,0.185602,2.01611e-15,6.61554e-15,1.1215e-14,1.58144e-14,2.04138e-14,2.50133e-14,2.96127e-14,3.42121e-14,3.88115e-14,4.3411e-14,4.80104e-14,4.32094e-14,3.84083e-14,3.36073e-14,2.88062e-14,2.40052e-14,1.92042e-14,1.44031e-14,9.60208e-15,4.80104e-15,9.24245e-24,1.8642e-19,3.7283e-19,5.5924e-19,7.4565e-19,9.32061e-19,1.11847e-18,1.30488e-18,1.49129e-18,1.6777e-18,1.86411e-18,2.1918e-18,2.51949e-18,2.84718e-18,3.17487e-18,3.50256e-18,3.83024e-18,4.15793e-18,4.48562e-18,4.81331e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18,5.141e-18
GHG000,BEL,b,1.11762,1.09809,1.07857,1.05904,1.03951,1.01998,1.00045,0.980926,0.961398,0.941869,0.922341,126.102,251.282,376.462,501.643,626.823,752.003,877.183,1002.36,1127.54,1252.72,1166.61,1080.49,994.377,908.261,822.146,736.031,649.915,563.8,477.685,391.569,369.43,347.29,325.151,303.011,280.871,258.732,236.592,214.452,192.313,170.173,163.464,156.754,150.044,143.335,136.625,129.915,123.205,116.496,109.786,103.076,100.077,97.0777,94.0784,91.0791,88.0797,85.0804,82.081,79.0817,76.0823,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083,73.083
GHG000,BEL,c,0.821384,0.880641,0.939898,0.999155,1.05841,1.11767,1.17693,1.23618,1.29544,1.3547,1.41395,1.43878,1.4636,1.48843,1.51326,1.53808,1.56291,1.58773,1.61256,1.63738,1.66221,1.63,1.59779,1.56558,1.53338,1.50117,1.46896,1.43676,1.40455,1.37234,1.34013,1.31807,1.29601,1.27394,1.25188,1.22981,1.20775,1.18569,1.16362,1.14156,1.11949,1.10632,1.09315,1.07997,1.0668,1.05363,1.04045,1.02728,1.01411,1.00093,0.987762,0.97882,0.969877,0.960935,0.951993,0.943051,0.934109,0.925166,0.916224,0.907282,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834,0.89834
GHG000,BGR,a,4.51593e-11,0.411843,0.823686,1.23553,1.64737,2.05921,2.47106,2.8829,3.29474,3.70659,4.11843,3.70659,3.29474,2.8829,2.47106,2.05921,1.64737,1.23553,0.823686,0.411843,3.99151e-17,1.84344e-16,3.28772e-16,4.73201e-16,6.1763e-16,7.62058e-16,9.06487e-16,1.05092e-15,1.19534e-15,1.33977e-15,1.4842e-15,1.336e-15,1.1878e-15,1.0396e-15,8.91401e-16,7.43201e-16,5.95001e-16,4.46801e-16,2.98601e-16,1.50401e-16,2.20075e-18,1.74665e-17,3.27323e-17,4.7998e-17,6.32638e-17,7.85296e-17,9.37953e-17,1.09061e-16,1.24327e-16,1.39593e-16,1.54858e-16,1.39468e-16,1.24077e-16,1.08687e-16,9.32959e-17,7.79053e-17,6.25147e-17,4.7124e-17,3.17334e-17,1.63428e-17,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19,9.52199e-19
GHG000,BGR,b,0.451593,0.520403,0.589213,0.658023,0.726832,0.795642,0.864452,0.933262,1.00207,1.07088,1.13969,102.223,203.307,304.39,405.474,506.557,607.641,708.724,809.808,910.892,1011.98,954.418,896.861,839.304,781.747,724.19,666.633,609.076,551.519,493.962,436.405,406.838,377.27,347.702,318.135,288.567,258.999,229.431,199.864,170.296,140.728,135.265,129.802,124.338,118.875,113.412,107.948,102.485,97.0216,91.5583,86.095,83.0293,79.9636,76.8978,73.8321,70.7664,67.7007,64.635,61.5693,58.5036,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378,55.4378
GHG000,BGR,c,3.19363,2.9926,2.79158,2.59056,2.38954,2.18851,1.98749,1.78647,1.58545,1.38442,1.1834,1.24262,1.30183,1.36105,1.42026,1.47948,1.53869,1.59791,1.65713,1.71634,1.77556,1.74833,1.72109,1.69386,1.66663,1.6394,1.61217,1.58494,1.5577,1.53047,1.50324,1.46694,1.43065,1.39435,1.35806,1.32176,1.28546,1.24917,1.21287,1.17658,1.14028,1.12658,1.11288,1.09918,1.08548,1.07178,1.05808,1.04438,1.03068,1.01697,1.00327,0.988899,0.974524,0.960149,0.945774,0.931399,0.917024,0.902649,0.888274,0.873899,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524,0.859524
GHG000,CAZ,a,1.07678e-14,9.69246e-15,8.61708e-15,7.54171e-15,6.46634e-15,5.39096e-15,4.31559e-15,3.24021e-15,2.16484e-15,1.08946e-15,1.4088e-17,1.11805e-14,2.2347e-14,3.35134e-14,4.46798e-14,5.58463e-14,6.70127e-14,7.81792e-14,8.93456e-14,1.00512e-13,1.11678e-13,2.79136e-11,5.57154e-11,8.35173e-11,1.11319e-10,1.39121e-10,1.66923e-10,1.94725e-10,2.22527e-10,2.50329e-10,2.7813e-10,2.50317e-10,2.22504e-10,1.94691e-10,1.66878e-10,1.39065e-10,1.11252e-10,8.34391e-11,5.56261e-11,2.7813e-11,3.26556e-22,7.31361e-16,1.46272e-15,2.19408e-15,2.92544e-15,3.6568e-15,4.38816e-15,5.11952e-15,5.85088e-15,6.58224e-15,7.3136e-15,0.0370812,0.0741623,0.111243,0.148325,0.185406,0.222487,0.259568,0.296649,0.33373,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812,0.370812
