"allCy","DSBS","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"AUT","HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03213100121294177,0.0339174974732006,0.03553835711927191,0.03760937664649062,0.03971217175044453,0.04151479552751148,0.04513039342939301,0.04794232684267957,0.05041154029063893,0.05291505901579523,0.05513431283688713,0.05699229924819413,0.05850828168334747,0.0594673695604243,0.06178197269096529,0.06275917601600418,0.06274750960091732,0.06473459292478453,0.06961156718888249,0.06983000208681735,0.07204696848341269,0.07437666019979956,0.0763839239488589,0.07514817797294826,0.0767254020590916,0.07693964147095518,0.07812532375479851,0.07734225142938528,0.0773868152714188,0.07890020335944374,0.07653964397462161,0.07674949854623624,0.07661189143838194,0.07674323299238127,0.0767419108363523,0.07695698963062812,0.07562359646020422,0.07602661286132475,0.07790436647521105,0.07766177607476542,0.0749426886533283,0.07443519649918275,0.07383443139097297,0.074909669012344,0.07396237583635258,0.07302053878274073,0.07301500654500993,0.07185193421951244,0.07074198449736556,0.06950930894923418,0.06753493173477865,0.06618977403371845,0.0647534223035681,0.06210436808756552,0.06029265579993899,0.0584543563723386,0.05617779056128298,0.05346662867160874,0.05016875026015895,0.04798194409354135,0.04584958975854069,0.04331825580968201,0.04098528119942509,0.03813583874070509,0.03496890965206683,0.03173341326110991,0.0287541000372109,0.0250395613763795,0.02129793545312196,0.01743429542117638,0.01341762407400895
"AUT","SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02029046269275697,0.02113679818884545,0.02193022695019156,0.02266955772261965,0.02394119091481806,0.02546783025013028,0.02605830434891551,0.02772723074142869,0.02875777504375184,0.02983478922144538,0.03023916289294603,0.03064422861066788,0.03240464419974299,0.03433216151032821,0.03575010143068322,0.03689889851589961,0.03693187446199903,0.03740319206528247,0.0366992994907519,0.03833600546943362,0.03926937357207828,0.04025576135483312,0.03952624232402232,0.04121306122422157,0.04037272274973416,0.04058877816112604,0.03982099879742951,0.04023237627790583,0.04174274314858929,0.04321311146694213,0.04294499552806996,0.04406859126906425,0.0431343011403739,0.04328293465934591,0.04425520780755912,0.04294321690870666,0.04324810755836121,0.04177500216222464,0.04031975387449888,0.03889603377899619,0.03937965581912562,0.03955238266934853,0.03949470190696911,0.03827670077678982,0.03746767563404388,0.03727811492869888,0.03522531892566191,0.03456015408325289,0.03257941810407106,0.03120245525553202,0.02958026415293633,0.02927378449549903,0.02715368451240977,0.02580480330831271,0.02401156176982299,0.02188628297135985,0.0206804197737735,0.01881434983549904,0.01655664602288763,0.01477363242405536,0.0127580806376548,0.01050061765974343,0.008271288400166919,0.005909094992726826,0.003494401415040362,0.0009645719678369807,0.0007882142228347864,0.000587084538979375,0.0003894597949386405,0.0002006570425913777,0.0
"BEL","HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02435325885584079,0.0254746282807397,0.02683503388510539,0.02823825147082399,0.02957038261838102,0.03093587675229143,0.03309583816088925,0.03650432728801194,0.04113935889436406,0.04894420203569493,0.05153565976020905,0.05515652972629036,0.05527031701196181,0.05803260401458882,0.05842824389349136,0.06092111510198998,0.0642188181789732,0.06513683957494902,0.06822955271776264,0.06824880667358241,0.06916508974407619,0.06989823777039542,0.07124569121127972,0.0726187551918017,0.07578755939367554,0.07423754688235502,0.07529277406258046,0.080136068460017,0.0806812497980117,0.0817340199475833,0.08204165564580354,0.08009440502342564,0.07993246913633414,0.07976673805023651,0.08148343612256405,0.08235100807853506,0.08140870972280438,0.07972197360083161,0.08246474180321806,0.08234330705004139,0.08495629104135838,0.08272491874304749,0.07936348564105418,0.0798830416361943,0.07636570242729825,0.07414540301370848,0.07234748685086302,0.07003495841540648,0.06677881187159874,0.0645814259232733,0.06393471640472703,0.06104940600960491,0.06093933502355973,0.05936620081604747,0.05891760529264117,0.05657720257394324,0.05369624640415254,0.05086592077917549,0.04782704235033077,0.04557632115462803,0.04245488119913787,0.03953746586256797,0.0367697929799348,0.03409237252331063,0.03180265588654866,0.0284786070531943,0.02475164830383944,0.02160673020698981,0.01851167799522654,0.0149870327106436,0.0119242063757781
"BEL","SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03547523166612437,0.0369620175582142,0.04094314334220268,0.04228570179515023,0.04518785275583484,0.04714531433905309,0.04933351782990923,0.05219532035677944,0.05575398776802549,0.05602154363595734,0.05811991335696051,0.061548911783928,0.06419156366071332,0.06489904437592814,0.06891922399670662,0.07033772730937402,0.07461248363563495,0.07697879175051824,0.07738073529840517,0.07822419779109534,0.08203183752637402,0.08259274945781919,0.08046227709265694,0.08179522149009093,0.08344712797165779,0.08255883841318895,0.08102555291316445,0.0826925610718556,0.08554245169238711,0.08437118569094162,0.08577973998937038,0.08426388931447981,0.08517267054816013,0.08513552999988709,0.08567519554590944,0.08482804907919023,0.0845957538473875,0.08242061354936481,0.08260842161840222,0.08223917001159756,0.08080881045411654,0.0811946476679162,0.08013489478271811,0.07873692180197375,0.07444569626222176,0.07145912681922616,0.06966382389066515,0.0672284134267584,0.06462338891392536,0.06227639201339486,0.06006461353072501,0.05713352471325246,0.05260679250378328,0.04980718435868804,0.04685393387624999,0.04370105630528854,0.04038640080507493,0.03735886252348732,0.03332898740487449,0.02956864079933682,0.02511449538729158,0.02077893586941532,0.01626063705785401,0.01156545192577048,0.006764862110847261,0.00178688058151353,0.001431189626488313,0.001101643018068102,0.0007487280487002368,0.0003787415751549429,0.0
"BGR","HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01911841115417654,0.02091165440396944,0.02283957734648847,0.02437341760174019,0.02600832493301409,0.02824160169517988,0.03065293514922529,0.03225529253515205,0.0343495415682435,0.03699727886646006,0.0399037801787795,0.04082185731444725,0.04120342106715737,0.04232100262411681,0.04302511212594581,0.04286384798947884,0.04338415131747061,0.04390160654939209,0.0432274786667286,0.04345278653097019,0.04277100193543374,0.04347189380001358,0.04450406742724889,0.04536492492336354,0.04623924120402998,0.04689495049462467,0.04610753930865943,0.04482683682348021,0.04350811632917806,0.04117742122250067,0.03993586759141154,0.03970253519902417,0.03862006580524117,0.03847754819082468,0.03798502987364965,0.03708446716279747,0.03646025124907724,0.03529479189775711,0.03375641790254908,0.03236598851406355,0.03066599841143368,0.02908489663866574,0.02728435331686566,0.02572334922453504,0.02385920021593581,0.02163066133407587,0.01965153126139304,0.01749117691799345,0.01537206981448258,0.01291775074673192,0.01055187404375739,0.00869622253347029,0.006595654092972307,0.004485903163879418,0.00230223212936041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BGR","SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01520618669945375,0.01652693723620148,0.01788518547199494,0.01855370644832154,0.01933447648501703,0.02119641588332954,0.0220281068719194,0.02237993807644134,0.02269495790963665,0.02340397097850152,0.02394384769258966,0.02449149132756041,0.02544282171140725,0.02580325270802983,0.02676663002293016,0.02740044436176327,0.02796026176925494,0.02839025981734688,0.02889520868521402,0.02947179490020522,0.0299099513857365,0.0299759359336813,0.03042501487911124,0.03104492591335398,0.0312882731706504,0.03158307144244648,0.03169518620466231,0.0314465889410536,0.03154831241604134,0.03118375071343093,0.03104564849531537,0.03114295016810463,0.03107705928891056,0.0312561877811161,0.03183694917560422,0.03141786088955396,0.03086766649741118,0.03060814167004485,0.03038747842270066,0.03001485057337664,0.02929121617700065,0.02878857100119369,0.02862011052339957,0.02786382996927469,0.02707488805922101,0.02648873910350938,0.0263043903975193,0.02542964646888346,0.0245245063062992,0.02392630832649352,0.02297044451262612,0.02204333604019272,0.02107938085038092,0.02036178827015671,0.0193367548487092,0.01829347854909914,0.01721196066457084,0.01611155463891309,0.01526797987094562,0.01425739307960801,0.01317895923652372,0.01191485106058016,0.01060841083238102,0.009287877771799334,0.007937036080335748,0.006556110660109105,0.005314221344195996,0.004037943810424739,0.002723590984528864,0.001379845316981821,0.0
"CAZ","HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2791802301782232,0.293267501117679,0.3018919997331088,0.3088546991028263,0.3178975088482625,0.3340118380023457,0.3439162916674723,0.3884005184418023,0.4262663044929226,0.4681526397093084,0.4769046925732024,0.4967519147124749,0.5517018108193534,0.5689967768553311,0.5803919212437956,0.6316468540367253,0.6600890463229684,0.6896040500680084,0.7354758051754777,0.7731622725263292,0.7892300903088713,0.8261509566566115,0.8465610544283085,0.8652485760083433,0.8876587613229875,0.8997045493546191,0.9096744307842324,0.922392269981595,0.9380122584617063,0.9423377620715324,0.9527225330264356,0.9729808565127759,0.9793317624959643,0.9896118889387936,0.9829114910994632,0.9912490940042682,0.9895169224649997,0.9789214523099017,1.002135593958611,1.003667497393896,0.9821062560436246,0.9989287689251534,1.005519316895147,0.9978803190175677,1.005232830894232,1.001318185975723,0.9985595804850976,0.9857275376340415,0.9830780206935553,0.978188451701414,0.9803849025304254,0.959708012580496,0.9639324839441706,0.9488421752682682,0.9166464580198169,0.913583889420194,0.9199689523954199,0.9037210705468792,0.8848892447195723,0.8690997219277122,0.8379078312998485,0.803058666806248,0.7935036009780959,0.776904504999817,0.7505102132109324,0.7321522557311674,0.7065135138681248,0.690999978561606,0.6740542988583013,0.6475361577036142,0.6104239284612631
"CAZ","SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4446311123333729,0.4584099305315535,0.4652016297017894,0.4669588457779437,0.4718629222252644,0.5015925585471166,0.5151918101910405,0.5600279253153547,0.6089827362081641,0.6728469406277638,0.6872007504586035,0.7188559480035062,0.7896198873122975,0.8278605553963911,0.8447137109087944,0.9137816643710766,0.9606029756740624,0.9888057305861594,1.033636294847036,1.075205057680981,1.094446171717602,1.137432035392052,1.15800510629225,1.164466172358399,1.193530428523738,1.199661407629943,1.221611180253484,1.230016568158677,1.228329550328048,1.226467236913457,1.233747760612367,1.258186221930997,1.258244558183576,1.234335145031852,1.232662550320405,1.237659115324952,1.23211473673395,1.20082110518396,1.214154919290143,1.192769213374851,1.177855664192759,1.171023807113124,1.158841853916087,1.158104028621441,1.127034059960849,1.108766065779879,1.071323423663803,1.039263715825864,1.00800586232192,0.9840637857527512,0.9551306760336064,0.9384611660364405,0.9105464509855529,0.8442327042558047,0.8122831306328616,0.7734398143228727,0.7347390587339767,0.6961999235386931,0.6461154282818784,0.6019152575984257,0.5512953506304704,0.4882439282759928,0.4424909344956307,0.3934552113504897,0.3367899035689799,0.2818365696982975,0.2332329191731905,0.1851755233989846,0.1348922429230774,0.08082614548773513,0.02359434696631138
"CHA","HOU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.810389975004293,8.66553671172165,9.412020944991697,10.31806615549365,11.40135688190183,12.63458056039355,13.06852807564309,13.85065425795232,14.33845359656832,14.40216042041665,15.34437253245696,16.1624081093613,17.07407111309712,17.7062330679745,18.56775272938576,19.63591468444382,19.81414010977472,20.48929323011888,21.11344916966708,21.86222882741001,22.19008350395871,22.88139559736532,22.72678742824204,23.2627076106947,23.44985584749075,23.07895049968871,24.11217723338775,25.12901759907051,25.22170028706785,25.79254079118291,26.11158524651482,26.68287422679185,26.67198638926997,27.06101044220055,27.46640500222066,28.16981894099705,28.14261166735606,28.48314767466949,28.9295974357499,29.04879010832332,29.31308027054585,29.22039118022019,29.79441166983809,30.11480884312594,30.32416463840214,30.68124776312776,31.01598112486438,31.07674161803824,30.96922839233629,31.18798160107724,31.09659957819151,31.28454063550698,31.41657638700898,31.60837528445325,31.82605915596403,32.0006951227947,32.34885500581886,31.94258623328124,32.16407510002485,32.47315263009089,32.67318828947703,32.53060976340818,32.71023420259495,32.8287749702102,32.78292442683254,32.93587941971259,32.89870678521088,32.97958631976309,33.07023064288803,33.04297167029588,32.13334874860166
"CHA","SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.864667721102574,11.02671302411645,11.66856297297367,12.8733276120018,13.79974424841889,14.57081660291381,15.01855638904905,15.87477187199636,16.33219528902396,17.16522163598945,17.52350743442004,18.8753277517542,20.04387672280316,20.80208033433613,21.67831492503112,22.06723614775782,23.06357837921768,23.93272703367738,24.77738265679093,25.47806071398954,26.12099200088224,26.60886650593791,26.70724712090363,26.80814132984506,27.30900743357802,27.79155176541781,28.10629356797172,28.39507680216192,28.84105061809312,29.13786030335094,29.55040700439621,29.66056216761348,29.91960688198197,29.88201926459296,29.68355924491046,30.09686002109569,30.21901278122127,30.45085325306078,30.43650447124189,30.41370060896599,30.13132614555108,30.10362893802309,30.25191993368663,29.91783840098169,29.89916018747001,29.90616377409885,29.89545316039595,29.57836289483553,29.14812612214396,28.96906001284376,28.54944796333995,28.38347220520934,28.28664257586371,27.89961350765446,27.6434048271833,26.82114038036181,26.53487867476245,26.2552387956263,25.78476065424986,25.4786279027022,25.05627694487728,24.34411566570401,23.81845957549821,23.43723450497701,23.02808597773014,22.21356190091185,21.70941089070909,21.08369529855096,20.40410543993059,19.77598689834356,18.68905271709311
