metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
Deviation to historical data;;;;;;;;;;;;;;;
relative;yes;Emissions|CO2;Mt CO2/yr;;;;2010-2022;-70%;-30%;30%;70%;range(PIK,IEA_CO2, EDGAR);historical;;
relative;yes;Secondary Energy|Electricity|Oil;TWh;;;;2010-2024;-70%;-30%;30%;70%;EmberSE;historical;;
relative;yes;Capacity|Electricity;GW;;;;2010-2024;-70%;-30%;30%;70%;EmberCapacity;historical;;
relative;yes;Capacity|Electricity|Oil;GW;;;;2010-2024;-70%;-30%;30%;70%;EmberCapacity;historical;;
relative;yes;Final Energy;Mtoe;;;;2010-2023;-70%;-30%;30%;70%;IEA_CONS_TOTAL;historical;;
relative;yes;Final Energy|Industry;Mtoe;;;;2010-2023;-70%;-30%;30%;70%;IEA_CONS_TOTAL;historical;;
relative;yes;Final Energy|Transportation;Mtoe;;;;2010-2023;-70%;-30%;30%;70%;IEA_CONS_TOTAL;historical;;
post 2030;;;;;;;;;;;;;;;
relative;yes;Secondary Energy|Electricity;TWh;OPEN-PROM;;;;-70%;-30%;30%;70%;;Validation;;
